source_dataset,model,ood_set,rank_fid,rank_kid_mean,rank_img_centroid_dist_mean,rank_text_alignment_mean,avg_rank,group
cifar10,ViT-B-32,cifar100,1.0,1.0,1.0,3.0,1.5,1
cifar10,ViT-B-32,tinyimagenet,2.0,2.0,6.0,6.0,4.0,1
cifar10,ViT-B-32,isun,3.0,4.0,3.0,4.0,3.5,2
cifar10,ViT-B-32,lsun_cropped,4.0,3.0,2.0,2.0,2.75,2
cifar10,ViT-B-32,lsun_resize,5.0,5.0,5.0,5.0,5.0,2
cifar10,ViT-B-32,places365,6.0,8.0,8.0,8.0,7.5,3
cifar10,ViT-B-32,textures,7.0,6.0,7.0,7.0,6.75,3
cifar10,ViT-B-32,svhn,8.0,7.0,4.0,1.0,5.0,2
cifar10,ViT-B-16,cifar100,1.0,1.0,1.0,5.0,2.0,1
cifar10,ViT-B-16,tinyimagenet,2.0,2.0,6.0,6.0,4.0,1
cifar10,ViT-B-16,isun,3.0,3.0,2.0,2.0,2.5,2
cifar10,ViT-B-16,lsun_resize,4.0,4.0,4.0,4.0,4.0,2
cifar10,ViT-B-16,lsun_cropped,5.0,5.0,3.0,3.0,4.0,2
cifar10,ViT-B-16,textures,6.0,7.0,7.0,7.0,6.75,3
cifar10,ViT-B-16,svhn,7.0,6.0,5.0,1.0,4.75,2
cifar10,ViT-B-16,places365,8.0,8.0,8.0,8.0,8.0,3
cifar10,ViT-L-14,cifar100,1.0,1.0,1.0,1.0,1.0,1
cifar10,ViT-L-14,isun,2.0,4.0,2.0,4.0,3.0,2
cifar10,ViT-L-14,tinyimagenet,3.0,2.0,6.0,6.0,4.25,2
cifar10,ViT-L-14,lsun_cropped,4.0,3.0,4.0,3.0,3.5,1
cifar10,ViT-L-14,lsun_resize,5.0,5.0,3.0,7.0,5.0,2
cifar10,ViT-L-14,svhn,6.0,8.0,5.0,2.0,5.25,3
cifar10,ViT-L-14,textures,7.0,6.0,7.0,8.0,7.0,3
cifar10,ViT-L-14,places365,8.0,7.0,8.0,5.0,7.0,3
