source_dataset,model,linkage,k,cluster_assignments,suggested_k_gap
cifar10,ViT-B-32,ward,2,"{'cifar100': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",3
cifar10,ViT-B-32,ward,3,"{'cifar100': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 3, 'textures': 1, 'tinyimagenet': 2}",3
cifar10,ViT-B-32,ward,4,"{'cifar100': 2, 'isun': 3, 'lsun_cropped': 3, 'lsun_resize': 3, 'places365': 1, 'svhn': 4, 'textures': 1, 'tinyimagenet': 2}",3
cifar10,ViT-B-32,average,2,"{'cifar100': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",2
cifar10,ViT-B-32,average,3,"{'cifar100': 3, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 3}",2
cifar10,ViT-B-32,average,4,"{'cifar100': 3, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 4}",2
cifar10,ViT-B-16,ward,2,"{'cifar100': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",2
cifar10,ViT-B-16,ward,3,"{'cifar100': 3, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 3}",2
cifar10,ViT-B-16,ward,4,"{'cifar100': 3, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 4}",2
cifar10,ViT-B-16,average,2,"{'cifar100': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",3
cifar10,ViT-B-16,average,3,"{'cifar100': 3, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 2}",3
cifar10,ViT-B-16,average,4,"{'cifar100': 4, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 3}",3
cifar10,ViT-L-14,ward,2,"{'cifar100': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 1, 'textures': 1, 'tinyimagenet': 2}",2
cifar10,ViT-L-14,ward,3,"{'cifar100': 3, 'isun': 2, 'lsun_cropped': 3, 'lsun_resize': 2, 'places365': 1, 'svhn': 1, 'textures': 1, 'tinyimagenet': 2}",2
cifar10,ViT-L-14,ward,4,"{'cifar100': 4, 'isun': 3, 'lsun_cropped': 4, 'lsun_resize': 3, 'places365': 1, 'svhn': 2, 'textures': 1, 'tinyimagenet': 3}",2
cifar10,ViT-L-14,average,2,"{'cifar100': 2, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 1, 'textures': 1, 'tinyimagenet': 2}",4
cifar10,ViT-L-14,average,3,"{'cifar100': 3, 'isun': 2, 'lsun_cropped': 2, 'lsun_resize': 2, 'places365': 1, 'svhn': 1, 'textures': 1, 'tinyimagenet': 2}",4
