source_dataset,model,ood_set,fid,rank
cifar10,ViT-B-32,cifar100,0.15923754314251395,1.0
cifar10,ViT-B-32,tinyimagenet,0.32331411662488696,2.0
cifar10,ViT-B-32,isun,0.4890181942449503,3.0
cifar10,ViT-B-32,lsun_cropped,0.5128567852607525,4.0
cifar10,ViT-B-32,lsun_resize,0.5248251385153396,5.0
cifar10,ViT-B-32,places365,0.6379347322356036,6.0
cifar10,ViT-B-32,textures,0.6697883870880548,7.0
cifar10,ViT-B-32,svhn,0.7008833923786746,8.0
cifar10,ViT-B-16,cifar100,0.15923754314251395,1.0
cifar10,ViT-B-16,tinyimagenet,0.32331411662488696,2.0
cifar10,ViT-B-16,isun,0.4890181942449503,3.0
cifar10,ViT-B-16,lsun_cropped,0.5128567852607525,4.0
cifar10,ViT-B-16,lsun_resize,0.5248251385153396,5.0
cifar10,ViT-B-16,places365,0.6379347322356036,6.0
cifar10,ViT-B-16,textures,0.6697883870880548,7.0
cifar10,ViT-B-16,svhn,0.7008833923786746,8.0
cifar10,ViT-L-14,cifar100,0.15923754314251395,1.0
cifar10,ViT-L-14,tinyimagenet,0.32331411662488696,2.0
cifar10,ViT-L-14,isun,0.4890181942449503,3.0
cifar10,ViT-L-14,lsun_cropped,0.5128567852607525,4.0
cifar10,ViT-L-14,lsun_resize,0.5248251385153396,5.0
cifar10,ViT-L-14,places365,0.6379347322356036,6.0
cifar10,ViT-L-14,textures,0.6697883870880548,7.0
cifar10,ViT-L-14,svhn,0.7008833923786746,8.0
cifar100,ViT-B-32,cifar10,0.15898852108271927,1.0
cifar100,ViT-B-32,tinyimagenet,0.22347466420191014,2.0
cifar100,ViT-B-32,isun,0.3829410114298599,3.0
cifar100,ViT-B-32,lsun_cropped,0.3999149475727106,4.0
cifar100,ViT-B-32,lsun_resize,0.42041101001106856,5.0
cifar100,ViT-B-32,textures,0.5232132694932965,6.0
cifar100,ViT-B-32,places365,0.5456193644620301,7.0
cifar100,ViT-B-32,svhn,0.6222221326384915,8.0
cifar100,ViT-B-16,cifar10,0.15898852108271927,1.0
cifar100,ViT-B-16,tinyimagenet,0.22347466420191014,2.0
cifar100,ViT-B-16,isun,0.3829410114298599,3.0
cifar100,ViT-B-16,lsun_cropped,0.3999149475727106,4.0
cifar100,ViT-B-16,lsun_resize,0.42041101001106856,5.0
cifar100,ViT-B-16,textures,0.5232132694932965,6.0
cifar100,ViT-B-16,places365,0.5456193644620301,7.0
cifar100,ViT-B-16,svhn,0.6222221326384915,8.0
cifar100,ViT-L-14,cifar10,0.15898852108271927,1.0
