source_dataset,model,ood_set,img_centroid_dist_mean,rank
cifar10,ViT-B-32,cifar100,0.8084829449653625,1.0
cifar10,ViT-B-32,lsun_cropped,0.8168303966522217,2.0
cifar10,ViT-B-32,isun,0.8393130898475647,3.0
cifar10,ViT-B-32,svhn,0.8606947660446167,4.0
cifar10,ViT-B-32,lsun_resize,0.8633573055267334,5.0
cifar10,ViT-B-32,tinyimagenet,0.9256400465965271,6.0
cifar10,ViT-B-32,textures,1.0646812915802002,7.0
cifar10,ViT-B-32,places365,1.1470528841018677,8.0
cifar10,ViT-B-16,cifar100,0.780785858631134,1.0
cifar10,ViT-B-16,isun,0.7962857484817505,2.0
cifar10,ViT-B-16,lsun_cropped,0.7963371276855469,3.0
cifar10,ViT-B-16,lsun_resize,0.8142002820968628,4.0
cifar10,ViT-B-16,svhn,0.8272116780281067,5.0
cifar10,ViT-B-16,tinyimagenet,0.9072083234786987,6.0
cifar10,ViT-B-16,textures,1.029525637626648,7.0
cifar10,ViT-B-16,places365,1.1192132234573364,8.0
cifar10,ViT-L-14,cifar100,0.522698163986206,1.0
cifar10,ViT-L-14,isun,0.5669589042663574,2.0
cifar10,ViT-L-14,lsun_resize,0.5819493532180786,3.0
cifar10,ViT-L-14,lsun_cropped,0.5903245806694031,4.0
cifar10,ViT-L-14,svhn,0.6776358485221863,5.0
cifar10,ViT-L-14,tinyimagenet,0.6962762475013733,6.0
cifar10,ViT-L-14,textures,0.821533739566803,7.0
cifar10,ViT-L-14,places365,0.8948527574539185,8.0
cifar100,ViT-B-32,lsun_cropped,0.7120368480682373,1.0
cifar100,ViT-B-32,isun,0.7128493189811707,2.0
cifar100,ViT-B-32,cifar10,0.7268065214157104,3.0
cifar100,ViT-B-32,lsun_resize,0.738822340965271,4.0
cifar100,ViT-B-32,svhn,0.7788575291633606,5.0
cifar100,ViT-B-32,tinyimagenet,0.8435523509979248,6.0
cifar100,ViT-B-32,textures,0.9779684543609619,7.0
cifar100,ViT-B-32,places365,1.0567599534988403,8.0
cifar100,ViT-B-16,isun,0.6731007099151611,1.0
cifar100,ViT-B-16,lsun_cropped,0.6803044676780701,2.0
cifar100,ViT-B-16,lsun_resize,0.6941823959350586,3.0
cifar100,ViT-B-16,cifar10,0.6973020434379578,4.0
cifar100,ViT-B-16,svhn,0.7412283420562744,5.0
cifar100,ViT-B-16,tinyimagenet,0.8241748213768005,6.0
cifar100,ViT-B-16,textures,0.9527385234832764,7.0
cifar100,ViT-B-16,places365,1.0340044498443604,8.0
cifar100,ViT-L-14,cifar10,0.4787977635860443,1.0
cifar100,ViT-L-14,isun,0.509586751461029,2.0
cifar100,ViT-L-14,lsun_cropped,0.5251415371894836,3.0
cifar100,ViT-L-14,lsun_resize,0.5254493355751038,4.0
cifar100,ViT-L-14,svhn,0.6258585453033447,5.0
cifar100,ViT-L-14,tinyimagenet,0.6503474712371826,6.0
cifar100,ViT-L-14,textures,0.7708507180213928,7.0
cifar100,ViT-L-14,places365,0.8529473543167114,8.0
supercifar100,ViT-B-32,lsun_cropped,0.7351154088973999,1.0
supercifar100,ViT-B-32,isun,0.7424600124359131,2.0
supercifar100,ViT-B-32,cifar10,0.7510776519775391,3.0
supercifar100,ViT-B-32,lsun_resize,0.7720305919647217,4.0
supercifar100,ViT-B-32,svhn,0.8011883497238159,5.0
supercifar100,ViT-B-32,tinyimagenet,0.8737947344779968,6.0
supercifar100,ViT-B-32,textures,1.0002655982971191,7.0
supercifar100,ViT-B-32,places365,1.0964276790618896,8.0
supercifar100,ViT-B-16,lsun_cropped,0.6953732371330261,1.0
supercifar100,ViT-B-16,isun,0.700477123260498,2.0
supercifar100,ViT-B-16,cifar10,0.7192564606666565,3.0
supercifar100,ViT-B-16,lsun_resize,0.7233009934425354,4.0
supercifar100,ViT-B-16,svhn,0.7482365965843201,5.0
supercifar100,ViT-B-16,tinyimagenet,0.8544917702674866,6.0
supercifar100,ViT-B-16,textures,0.9709604382514954,7.0
supercifar100,ViT-B-16,places365,1.071298599243164,8.0
supercifar100,ViT-L-14,cifar10,0.48852789402008057,1.0
supercifar100,ViT-L-14,isun,0.515822172164917,2.0
supercifar100,ViT-L-14,lsun_resize,0.5313782691955566,3.0
supercifar100,ViT-L-14,lsun_cropped,0.53348308801651,4.0
supercifar100,ViT-L-14,svhn,0.6340394020080566,5.0
supercifar100,ViT-L-14,tinyimagenet,0.6679964065551758,6.0
supercifar100,ViT-L-14,textures,0.7792532444000244,7.0
supercifar100,ViT-L-14,places365,0.8714261651039124,8.0
tinyimagenet,ViT-B-32,isun,0.7063448429107666,1.0
tinyimagenet,ViT-B-32,lsun_resize,0.7186059355735779,2.0
tinyimagenet,ViT-B-32,lsun_cropped,0.7503055930137634,3.0
tinyimagenet,ViT-B-32,cifar100,0.795621931552887,4.0
tinyimagenet,ViT-B-32,cifar10,0.7979236245155334,5.0
tinyimagenet,ViT-B-32,svhn,0.8725507259368896,6.0
tinyimagenet,ViT-B-32,textures,0.9317408204078674,7.0
tinyimagenet,ViT-B-32,places365,0.984641969203949,8.0
tinyimagenet,ViT-B-16,isun,0.7094922065734863,1.0
tinyimagenet,ViT-B-16,lsun_cropped,0.7139785885810852,2.0
tinyimagenet,ViT-B-16,lsun_resize,0.722119927406311,3.0
tinyimagenet,ViT-B-16,cifar100,0.7670151591300964,4.0
tinyimagenet,ViT-B-16,cifar10,0.7720748782157898,5.0
tinyimagenet,ViT-B-16,svhn,0.8393139839172363,6.0
tinyimagenet,ViT-B-16,textures,0.919743537902832,7.0
tinyimagenet,ViT-B-16,places365,0.9598549008369446,8.0
tinyimagenet,ViT-L-14,isun,0.5275534987449646,1.0
tinyimagenet,ViT-L-14,lsun_resize,0.5378270745277405,2.0
tinyimagenet,ViT-L-14,cifar10,0.570241391658783,3.0
tinyimagenet,ViT-L-14,cifar100,0.5713291764259338,4.0
tinyimagenet,ViT-L-14,lsun_cropped,0.5940973162651062,5.0
tinyimagenet,ViT-L-14,svhn,0.7015846967697144,6.0
tinyimagenet,ViT-L-14,textures,0.7565755248069763,7.0
