source_dataset,model,ood_set,kid_mean,rank
cifar10,ViT-B-32,cifar100,0.00016239072641211828,1.0
cifar10,ViT-B-32,tinyimagenet,0.0009149031101642802,2.0
cifar10,ViT-B-32,lsun_cropped,0.0014954241121996948,3.0
cifar10,ViT-B-32,isun,0.0015071826002714683,4.0
cifar10,ViT-B-32,lsun_resize,0.0016188686643109928,5.0
cifar10,ViT-B-32,textures,0.0020055308677436566,6.0
cifar10,ViT-B-32,svhn,0.002033209630605306,7.0
cifar10,ViT-B-32,places365,0.002075925146108615,8.0
cifar10,ViT-B-16,cifar100,0.00014742860708151007,1.0
cifar10,ViT-B-16,tinyimagenet,0.0009196995547870391,2.0
cifar10,ViT-B-16,isun,0.0012759524377663745,3.0
cifar10,ViT-B-16,lsun_resize,0.0013804391108713787,4.0
cifar10,ViT-B-16,lsun_cropped,0.0014013003518655775,5.0
cifar10,ViT-B-16,svhn,0.001725021056136109,6.0
cifar10,ViT-B-16,textures,0.001813003776176112,7.0
cifar10,ViT-B-16,places365,0.0020800604105234567,8.0
cifar10,ViT-L-14,cifar100,4.1622311054654306e-05,1.0
cifar10,ViT-L-14,tinyimagenet,0.00038766150217754534,2.0
cifar10,ViT-L-14,lsun_cropped,0.00041045577132309497,3.0
cifar10,ViT-L-14,isun,0.00044648237001189807,4.0
cifar10,ViT-L-14,lsun_resize,0.0004888642861152981,5.0
cifar10,ViT-L-14,textures,0.0008423168390481894,6.0
cifar10,ViT-L-14,places365,0.0008801911826987841,7.0
cifar10,ViT-L-14,svhn,0.0008823581317905127,8.0
cifar100,ViT-B-32,cifar10,0.0001660989768225729,1.0
cifar100,ViT-B-32,tinyimagenet,0.0007542847251319618,2.0
cifar100,ViT-B-32,lsun_cropped,0.0011399808523198996,3.0
cifar100,ViT-B-32,isun,0.0011828549734274319,4.0
cifar100,ViT-B-32,lsun_resize,0.0012965941971558247,5.0
cifar100,ViT-B-32,textures,0.001611239246181313,6.0
cifar100,ViT-B-32,svhn,0.0017063464099246594,7.0
cifar100,ViT-B-32,places365,0.0019294271605819091,8.0
cifar100,ViT-B-16,cifar10,0.00015012507097854843,1.0
cifar100,ViT-B-16,tinyimagenet,0.00076163499181094,2.0
cifar100,ViT-B-16,isun,0.001045602743360714,3.0
cifar100,ViT-B-16,lsun_cropped,0.0010739776712136617,4.0
cifar100,ViT-B-16,lsun_resize,0.0011463142527903792,5.0
cifar100,ViT-B-16,svhn,0.0014510741345516998,6.0
cifar100,ViT-B-16,textures,0.0014593076158739126,7.0
cifar100,ViT-B-16,places365,0.0019537150553110474,8.0
