source_dataset,model_1,model_2,spearman_rho,spearman_p,kendall_tau,kendall_p,n_ood_sets
cifar10,ViT-B-32,ViT-B-16,0.880952380952381,0.0038503204637324014,0.7857142857142856,0.005505952380952381,8
cifar10,ViT-B-32,ViT-L-14,0.7619047619047621,0.028004939153071794,0.5714285714285714,0.06101190476190476,8
cifar10,ViT-B-16,ViT-L-14,0.523809523809524,0.18272075053971484,0.3571428571428571,0.27509920634920637,8
cifar100,ViT-B-32,ViT-B-16,0.7380952380952381,0.03655276105286081,0.4999999999999999,0.10868055555555556,8
cifar100,ViT-B-32,ViT-L-14,0.3571428571428572,0.38512064355625636,0.2857142857142857,0.39875992063492066,8
cifar100,ViT-B-16,ViT-L-14,-0.3333333333333334,0.4197530864197531,-0.21428571428571427,0.5484126984126985,8
supercifar100,ViT-B-32,ViT-B-16,0.8333333333333335,0.01017554012345675,0.7142857142857142,0.014136904761904762,8
supercifar100,ViT-B-32,ViT-L-14,0.30952380952380953,0.4556448907375822,0.21428571428571427,0.5484126984126985,8
supercifar100,ViT-B-16,ViT-L-14,0.19047619047619052,0.6514014957024814,0.21428571428571427,0.5484126984126985,8
tinyimagenet,ViT-B-32,ViT-B-16,0.8095238095238096,0.014902667686230067,0.7142857142857142,0.014136904761904762,8
tinyimagenet,ViT-B-32,ViT-L-14,0.7857142857142858,0.020815127253525276,0.6428571428571428,0.03115079365079365,8
tinyimagenet,ViT-B-16,ViT-L-14,0.38095238095238104,0.35181255311756476,0.3571428571428571,0.27509920634920637,8
