,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,-3.648874395523194e-08,0.002259741790739327,0.749294251203537,0.4094856083393097,0
cifar10,4.2208720294096835e-05,0.07370137791472507,0.7758265435695648,0.4787977635860443,1
lsun cropped,0.00032451310464214344,0.17709571366968624,0.7808887958526611,0.5251415371894836,1
tinyimagenet,0.00036389363255467266,0.17772349705007176,0.7942138165235519,0.6503474712371826,2
isun,0.00041905623526659495,0.19529317895267095,0.7994835525751114,0.509586751461029,2
lsun resize,0.00045636075975418855,0.21720923543807447,0.8057574033737183,0.5254493355751038,2
places365,0.0008584832495994199,0.4129624166901795,0.7925240695476532,0.8529473543167114,3
svhn,0.000801240943397028,0.3752512741139332,0.7838442027568817,0.6258585453033447,3
textures,0.0007454170240415348,0.34749536225043476,0.7918066531419754,0.7708507180213928,3
