,global,global,class-aware,class-aware,group
,kid mean,fid,inv text alignment mean,img centroid dist mean,
test,2.687946976361211e-05,0.0748331445520922,0.7581098228693008,0.7031069397926331,0
cifar10,0.0001813944040476,0.1705391142617781,0.7700642347335815,0.7510776519775391,1
tinyimagenet,0.0007612590981484,0.2307052476039373,0.7839941382408142,0.8737947344779968,1
isun,0.0011879105912553,0.3855838179597816,0.7607467323541641,0.7424600124359131,3
lsun resize,0.0013029729139769,0.4243764115462906,0.7624936103820801,0.7720305919647217,3
lsun cropped,0.0011330723078806,0.399892117632081,0.7696039974689484,0.7351154088973999,3
svhn,0.0017170535078993,0.6207963586462417,0.7566021084785461,0.8011883497238159,3
places365,0.0019591798046902,0.5562486451404531,0.7939131408929825,1.0964277982711792,3
textures,0.0016093886221731,0.5245911410325305,0.797978401184082,1.0002655982971191,3
