test,label,n_models,n_methods,r,p,significant,ood_group
full_NC_vs_spearman_rank,group_near,20,22,0.8555753454690265,0.0001,True,near
full_NC_vs_jaccard_top1,group_near,20,22,0.5280189237835382,0.0001,True,near
full_NC_vs_jaccard_top3,group_near,20,22,0.7914334166570329,0.0001,True,near
full_NC_vs_jaccard_top5,group_near,20,22,0.7737730257072496,0.0001,True,near
full_NC_vs_spearman_rank,group_mid,20,22,0.6678867124689232,0.0001,True,mid
full_NC_vs_jaccard_top1,group_mid,20,22,0.3298453634926941,0.0014,True,mid
full_NC_vs_jaccard_top3,group_mid,20,22,0.6738783717752151,0.0001,True,mid
full_NC_vs_jaccard_top5,group_mid,20,22,0.6268049194062709,0.0001,True,mid
full_NC_vs_spearman_rank,group_far,20,22,0.7177736896774144,0.0001,True,far
full_NC_vs_jaccard_top1,group_far,20,22,0.5589828871031546,0.0001,True,far
full_NC_vs_jaccard_top3,group_far,20,22,0.7370057967969773,0.0001,True,far
full_NC_vs_jaccard_top5,group_far,20,22,0.6206982643823409,0.0001,True,far
full_NC_vs_spearman_rank,group_all,20,22,0.7312698719036966,0.0001,True,all
full_NC_vs_jaccard_top1,group_all,20,22,0.4236556510579557,0.0004,True,all
full_NC_vs_jaccard_top3,group_all,20,22,0.6864923215591239,0.0001,True,all
full_NC_vs_jaccard_top5,group_all,20,22,0.6622830233561545,0.0001,True,all
