test,label,n_models,n_methods,r,p,significant,ood_group
full_NC_vs_spearman_rank,group_near,20,22,0.5402003379914928,0.0001,True,near
full_NC_vs_jaccard_top1,group_near,20,22,0.3253750866275649,0.0011,True,near
full_NC_vs_jaccard_top3,group_near,20,22,0.301810968004445,0.0006,True,near
full_NC_vs_jaccard_top5,group_near,20,22,0.4664213706275804,0.0001,True,near
full_NC_vs_spearman_rank,group_mid,20,22,0.355228402115799,0.0006,True,mid
full_NC_vs_jaccard_top1,group_mid,20,22,0.3881632709966641,0.0002,True,mid
full_NC_vs_jaccard_top3,group_mid,20,22,0.3865248269877581,0.0003,True,mid
full_NC_vs_jaccard_top5,group_mid,20,22,0.4895225740752151,0.0001,True,mid
full_NC_vs_spearman_rank,group_far,20,22,0.5719664463369433,0.0001,True,far
full_NC_vs_jaccard_top1,group_far,20,22,0.6175249454224229,0.0001,True,far
full_NC_vs_jaccard_top3,group_far,20,22,0.7396132650448537,0.0001,True,far
full_NC_vs_jaccard_top5,group_far,20,22,0.6360568204119245,0.0001,True,far
full_NC_vs_spearman_rank,group_all,20,22,0.3426778850381679,0.0007,True,all
full_NC_vs_jaccard_top1,group_all,20,22,0.3425331269857417,0.0004,True,all
full_NC_vs_jaccard_top3,group_all,20,22,0.4064116807863229,0.0001,True,all
full_NC_vs_jaccard_top5,group_all,20,22,0.4339066649293615,0.0001,True,all
