nc_metric,method_distance,r,p,significant
var_collapse,spearman_rank,0.490001692788937,0.0002,True
var_collapse,jaccard_top1,0.23889350098869408,0.0054,True
cdnv_score,spearman_rank,0.6902862652316456,0.0001,True
cdnv_score,jaccard_top1,0.11035905639905362,0.0748,False
bias_collapse,spearman_rank,0.23798057684163038,0.0073,True
bias_collapse,jaccard_top1,0.23366659196656456,0.0071,True
equiangular_uc,spearman_rank,0.23857544080374002,0.0096,True
equiangular_uc,jaccard_top1,0.3420061607888863,0.0008,True
equiangular_wc,spearman_rank,0.24764274222619076,0.0056,True
equiangular_wc,jaccard_top1,0.2165603442577769,0.0141,True
equinorm_uc,spearman_rank,0.4055231369698685,0.0002,True
equinorm_uc,jaccard_top1,0.10156834577092663,0.1086,False
equinorm_wc,spearman_rank,0.16193771688524322,0.0332,True
equinorm_wc,jaccard_top1,0.21584758393657744,0.0104,True
max_equiangular_uc,spearman_rank,0.1899706810996604,0.0227,True
max_equiangular_uc,jaccard_top1,0.34533237562115054,0.0005,True
max_equiangular_wc,spearman_rank,0.046823667017527805,0.2392,False
max_equiangular_wc,jaccard_top1,0.27904566574959844,0.0034,True
self_duality,spearman_rank,0.2457181823487772,0.0099,True
self_duality,jaccard_top1,0.38025763135992535,0.0003,True
w_etf_diff,spearman_rank,0.730515690269199,0.0001,True
w_etf_diff,jaccard_top1,0.1773585265918052,0.023,True
M_etf_diff,spearman_rank,0.7209392552791779,0.0001,True
M_etf_diff,jaccard_top1,0.12200080831197856,0.0615,False
wM_etf_diff,spearman_rank,0.7257357833736592,0.0001,True
wM_etf_diff,jaccard_top1,0.1277028908815744,0.0535,False
