dropped_metric,method_distance,r,p,significant,r_full,delta_r
var_collapse,spearman_rank,0.6528978145681424,0.0001,True,0.6792408266070935,0.026343012038951064
var_collapse,jaccard_top1,0.4403058731519365,0.0002,True,0.359829799697696,-0.08047607345424046
equiangular_uc,spearman_rank,0.5572457281154164,0.0001,True,0.6792408266070935,0.12199509849167711
equiangular_uc,jaccard_top1,0.39197397846246446,0.0002,True,0.359829799697696,-0.03214417876476844
equiangular_wc,spearman_rank,0.5685035975382325,0.0001,True,0.6792408266070935,0.11073722906886097
equiangular_wc,jaccard_top1,0.34803589238112626,0.0007,True,0.359829799697696,0.011793907316569763
equinorm_uc,spearman_rank,0.7003839959349388,0.0001,True,0.6792408266070935,-0.021143169327845324
equinorm_uc,jaccard_top1,0.34433584302690834,0.0008,True,0.359829799697696,0.015493956670787679
equinorm_wc,spearman_rank,0.7453866050512592,0.0001,True,0.6792408266070935,-0.06614577844416569
equinorm_wc,jaccard_top1,0.31658547287027367,0.001,True,0.359829799697696,0.04324432682742235
max_equiangular_uc,spearman_rank,0.5976906016118073,0.0001,True,0.6792408266070935,0.08155022499528619
max_equiangular_uc,jaccard_top1,0.43637457071307995,0.0001,True,0.359829799697696,-0.07654477101538393
max_equiangular_wc,spearman_rank,0.5200271365703306,0.0001,True,0.6792408266070935,0.1592136900367629
max_equiangular_wc,jaccard_top1,0.33022940486395236,0.001,True,0.359829799697696,0.02960039483374366
self_duality,spearman_rank,0.7846391189219372,0.0001,True,0.6792408266070935,-0.10539829231484366
self_duality,jaccard_top1,0.3730112255220974,0.0007,True,0.359829799697696,-0.013181425824401405
