dropped_metric,method_distance,r,p,significant,r_full,delta_r
var_collapse,spearman_rank,0.6335956694381794,0.0001,True,0.5897037642103791,-0.04389190522780029
var_collapse,jaccard_top1,0.32112727570231864,0.0009,True,0.37475966657574283,0.053632390873424196
equiangular_uc,spearman_rank,0.571939326065903,0.0001,True,0.5897037642103791,0.017764438144476036
equiangular_uc,jaccard_top1,0.409980938194111,0.0001,True,0.37475966657574283,-0.03522127161836819
equiangular_wc,spearman_rank,0.5974561870614327,0.0001,True,0.5897037642103791,-0.0077524228510535975
equiangular_wc,jaccard_top1,0.38116353414271886,0.0003,True,0.37475966657574283,-0.006403867566976029
equinorm_uc,spearman_rank,0.6175703214119491,0.0001,True,0.5897037642103791,-0.027866557201570052
equinorm_uc,jaccard_top1,0.33927156714208406,0.0007,True,0.37475966657574283,0.03548809943365877
equinorm_wc,spearman_rank,0.5840823391098519,0.0001,True,0.5897037642103791,0.005621425100527211
equinorm_wc,jaccard_top1,0.36088462018062817,0.0004,True,0.37475966657574283,0.013875046395114665
max_equiangular_uc,spearman_rank,0.5635579264567916,0.0001,True,0.5897037642103791,0.026145837753587475
max_equiangular_uc,jaccard_top1,0.41851942828341243,0.0001,True,0.37475966657574283,-0.0437597617076696
max_equiangular_wc,spearman_rank,0.5746896778424446,0.0001,True,0.5897037642103791,0.015014086367934443
max_equiangular_wc,jaccard_top1,0.3560817195053962,0.0005,True,0.37475966657574283,0.018677947070346645
self_duality,spearman_rank,0.5979653170658689,0.0001,True,0.5897037642103791,-0.008261552855489795
self_duality,jaccard_top1,0.3651538652252789,0.0004,True,0.37475966657574283,0.00960580135046396
