dropped_metric,method_distance,r,p,significant,r_full,delta_r
var_collapse,spearman_rank,0.8012532362718418,0.0001,True,0.7833872282686233,-0.01786600800321847
var_collapse,jaccard_top1,0.10298771492728154,0.1432,False,0.22757117622794457,0.12458346130066303
equiangular_uc,spearman_rank,0.82799232458533,0.0001,True,0.7833872282686233,-0.04460509631670673
equiangular_uc,jaccard_top1,0.2590529753855852,0.0158,True,0.22757117622794457,-0.03148179915764063
equiangular_wc,spearman_rank,0.7765585518511958,0.0001,True,0.7833872282686233,0.0068286764174274595
equiangular_wc,jaccard_top1,0.26135652166541257,0.0097,True,0.22757117622794457,-0.033785345437468
equinorm_uc,spearman_rank,0.8200780233364872,0.0001,True,0.7833872282686233,-0.03669079506786388
equinorm_uc,jaccard_top1,0.1170009547962313,0.1205,False,0.22757117622794457,0.11057022143171327
equinorm_wc,spearman_rank,0.7314460724545365,0.0001,True,0.7833872282686233,0.05194115581408676
equinorm_wc,jaccard_top1,0.18226809939133984,0.0261,True,0.22757117622794457,0.04530307683660473
max_equiangular_uc,spearman_rank,0.8367070663827184,0.0001,True,0.7833872282686233,-0.05331983811409513
max_equiangular_uc,jaccard_top1,0.25924493757557077,0.0158,True,0.22757117622794457,-0.0316737613476262
max_equiangular_wc,spearman_rank,0.7046964865600837,0.0001,True,0.7833872282686233,0.07869074170853962
max_equiangular_wc,jaccard_top1,0.28957496359329765,0.0028,True,0.22757117622794457,-0.062003787365353086
self_duality,spearman_rank,0.7617079739800389,0.0001,True,0.7833872282686233,0.021679254288584415
self_duality,jaccard_top1,0.25886101319559957,0.0106,True,0.22757117622794457,-0.031289836967655
