dropped_metric,method_distance,r,p,significant,r_full,delta_r
var_collapse,spearman_rank,0.251548723977396,0.0078,True,0.3196405272402323,0.06809180326283626
var_collapse,jaccard_top1,0.34533237562115054,0.0006,True,0.3702789868631325,0.024946611241981942
equiangular_uc,spearman_rank,0.3331649343787841,0.0018,True,0.3196405272402323,-0.013524407138551797
equiangular_uc,jaccard_top1,0.36624001170966874,0.0005,True,0.3702789868631325,0.004038975153463742
equiangular_wc,spearman_rank,0.2907546330801432,0.005,True,0.3196405272402323,0.028885894160089076
equiangular_wc,jaccard_top1,0.379782457812459,0.0004,True,0.3702789868631325,-0.00950347094932652
equinorm_uc,spearman_rank,0.3041390722276103,0.0039,True,0.3196405272402323,0.015501455012622012
equinorm_uc,jaccard_top1,0.37883211071752637,0.0004,True,0.3702789868631325,-0.008553123854393885
equinorm_wc,spearman_rank,0.3244781709320946,0.0027,True,0.3196405272402323,-0.004837643691862292
equinorm_wc,jaccard_top1,0.35198480528567905,0.0005,True,0.3702789868631325,0.01829418157745344
max_equiangular_uc,spearman_rank,0.3370306753325525,0.0017,True,0.3196405272402323,-0.0173901480923202
max_equiangular_uc,jaccard_top1,0.368140705899534,0.0005,True,0.3702789868631325,0.002138280963598471
max_equiangular_wc,spearman_rank,0.3284436390795108,0.0022,True,0.3196405272402323,-0.00880311183927851
max_equiangular_wc,jaccard_top1,0.38904834198805227,0.0005,True,0.3702789868631325,-0.018769355124919784
self_duality,spearman_rank,0.3322297732383499,0.0017,True,0.3196405272402323,-0.012589245998117615
self_duality,jaccard_top1,0.3498465243220806,0.0006,True,0.3702789868631325,0.02043246254105191
