method,nc_metric,rho,p,significant
CTM,var_collapse,0.41035132072110236,0.07232077885167057,False
CTM,equiangular_uc,-0.3771213644291863,0.10118814441533167,False
CTM,equiangular_wc,0.7967461613247769,2.6176524672461972e-05,True
CTM,equinorm_uc,-0.3593472017614173,0.11968915237784422,False
CTM,equinorm_wc,-0.09737149983212597,0.6829855434230406,False
CTM,max_equiangular_uc,-0.40726016199627296,0.07471037999795709,False
CTM,max_equiangular_wc,0.8168386930361679,1.109705491524021e-05,True
CTM,self_duality,0.19010626157700786,0.42209053182387546,False
CTMmean,var_collapse,0.5257315882971619,0.01727675321015979,True
CTMmean,equiangular_uc,-0.4518366651982929,0.045501209824618735,True
CTMmean,equiangular_wc,0.7705085210621656,7.037488165014051e-05,True
CTMmean,equinorm_uc,-0.7720479986267254,6.664488934938258e-05,True
CTMmean,equinorm_wc,-0.6042449440897102,0.00477652535337944,True
CTMmean,max_equiangular_uc,-0.4225865914716572,0.06341994029239084,False
CTMmean,max_equiangular_wc,0.7828243415786437,4.498091864428455e-05,True
CTMmean,self_duality,-0.3756325257525842,0.10265258775750376,False
CTMmeanOC,var_collapse,0.7679913499215429,7.68611531286588e-05,True
CTMmeanOC,equiangular_uc,-0.12927344435930355,0.5869981894337829,False
CTMmeanOC,equiangular_wc,0.9301568540882433,2.9096443661588877e-09,True
CTMmeanOC,equinorm_uc,-0.4474849997052815,0.0478856980090232,True
CTMmeanOC,equinorm_wc,-0.16981482040097862,0.47413958560554637,False
CTMmeanOC,max_equiangular_uc,-0.11550467513760258,0.627732692862826,False
CTMmeanOC,max_equiangular_wc,0.9324516489585267,2.172461405982212e-09,True
CTMmeanOC,self_duality,0.14533700845128802,0.5409505465473381,False
Confidence,var_collapse,0.26282985204491427,0.2629043665409585,False
Confidence,equiangular_uc,0.9115000392139032,2.2858610047259357e-08,True
Confidence,equiangular_wc,-0.19635834876611327,0.40669639969087124,False
Confidence,equinorm_uc,0.7602200662345631,0.00010023656954197334,True
Confidence,equinorm_wc,0.7716806702481495,6.75190537891214e-05,True
Confidence,max_equiangular_uc,0.9076798378760411,3.2962863505356726e-08,True
Confidence,max_equiangular_wc,-0.2635938923124867,0.26146816847658644,False
Confidence,self_duality,0.6547825093095684,0.0017305455822148282,True
Energy,var_collapse,-0.5909984168284127,0.006067902381964858,True
Energy,equiangular_uc,0.30433728616911754,0.1920262497184798,False
Energy,equiangular_wc,-0.7162685623980242,0.0003818275393777084,True
Energy,equinorm_uc,0.7554635159198045,0.00011736614878781416,True
Energy,equinorm_wc,0.5333587792963829,0.015445879967158262,True
Energy,max_equiangular_uc,0.25745704764306665,0.27314410321882093,False
Energy,max_equiangular_wc,-0.7231853189018678,0.0003145019262459491,True
Energy,self_duality,0.3758104367088346,0.1024767866832466,False
GE,var_collapse,-0.6440859455635545,0.0021773890065449174,True
GE,equiangular_uc,0.1398193689657538,0.5565797960958009,False
GE,equiangular_wc,-0.688400281082755,0.0007914833953122203,True
GE,equinorm_uc,0.668535234125872,0.0012712702531094014,True
GE,equinorm_wc,0.4614803216137448,0.04054299030896951,True
GE,max_equiangular_uc,0.09092079184111859,0.703040053539497,False
GE,max_equiangular_wc,-0.6777037173367412,0.0010260002425773393,True
GE,self_duality,0.3262451942534256,0.1603703231488173,False
GEN,var_collapse,0.8025857593393927,2.0602666175454586e-05,True
GEN,equiangular_uc,0.05207617522431173,0.8273953791156451,False
GEN,equiangular_wc,0.7903325416395546,3.375827353035319e-05,True
GEN,equinorm_uc,-0.2818240070962753,0.22867007220815722,False
GEN,equinorm_wc,-0.13019043806077935,0.5843255441840672,False
GEN,max_equiangular_uc,0.0857725238988664,0.7191828067778705,False
GEN,max_equiangular_wc,0.8041174115518726,1.9323516324291733e-05,True
GEN,self_duality,0.26497583275899794,0.2588830887878278,False
GradNorm,var_collapse,-0.2572172725028855,0.27360680295520545,False
GradNorm,equiangular_uc,0.3345355597730982,0.1493918120229632,False
GradNorm,equiangular_wc,-0.6216084085486401,0.0034353557633673413,True
GradNorm,equinorm_uc,0.19291295437716413,0.4151415590871679,False
GradNorm,equinorm_wc,0.1201878326873602,0.6137531810918079,False
GradNorm,max_equiangular_uc,0.3651566636424893,0.1133948347915484,False
GradNorm,max_equiangular_wc,-0.6399810708702747,0.002372695080399016,True
GradNorm,self_duality,-0.10181517036572552,0.6692877433363034,False
KPCA RecError global,var_collapse,-0.0573371844425676,0.8102481012690855,False
KPCA RecError global,equiangular_uc,-0.35760296612864534,0.12162680274379674,False
KPCA RecError global,equiangular_wc,0.25575402007934755,0.27644107733318574,False
KPCA RecError global,equinorm_uc,0.006789929736619848,0.9773348067264014,False
KPCA RecError global,equinorm_wc,0.18483697616354028,0.4353031657642753,False
KPCA RecError global,max_equiangular_uc,-0.3930614880865489,0.08644889832389312,False
KPCA RecError global,max_equiangular_wc,0.2731060627395983,0.24400312926136408,False
KPCA RecError global,self_duality,0.15465951066745207,0.5150088383004706,False
MLS,var_collapse,-0.1000892750519877,0.6745962356829528,False
MLS,equiangular_uc,0.657838670379858,0.001618024789470743,True
MLS,equiangular_wc,-0.4973902141896488,0.02565403022712541,True
MLS,equinorm_uc,0.7884895561347428,3.6260305376481604e-05,True
MLS,equinorm_wc,0.683051999209748,0.0009023249626391086,True
MLS,max_equiangular_uc,0.6448499858311268,0.00214256332560825,True
MLS,max_equiangular_wc,-0.5126710195410973,0.020812002928667268,True
MLS,self_duality,0.596715448974064,0.005479272803854196,True
MSR,var_collapse,0.8229361186348325,8.37866247568473e-06,True
MSR,equiangular_uc,0.2669801970133282,0.2551625475524725,False
MSR,equiangular_wc,0.7539156699751369,0.0001234563788521019,True
MSR,equinorm_uc,-0.18203195250908738,0.4424245583357609,False
MSR,equinorm_wc,0.09632524153605873,0.6862247920878829,False
MSR,max_equiangular_uc,0.279115660513934,0.2333646775709195,False
MSR,max_equiangular_wc,0.7493648711624097,0.00014295844939309443,True
MSR,self_duality,0.3473776427048418,0.13343822429088856,False
Maha,var_collapse,0.17463856746031678,0.46148312458602647,False
Maha,equiangular_uc,-0.5511000076931696,0.011785473935804468,True
Maha,equiangular_wc,0.5494524740378834,0.012092536552346095,True
Maha,equinorm_uc,-0.49590763024108825,0.026167479307288282,True
Maha,equinorm_wc,-0.46542825761829715,0.03863831471897841,True
Maha,max_equiangular_uc,-0.5272107696915224,0.01690874881122851,True
Maha,max_equiangular_wc,0.5758130125224596,0.007887802229601915,True
Maha,self_duality,-0.2528964160864021,0.2820286910991312,False
NNGuide,var_collapse,0.28515939236551174,0.22297356503541454,False
NNGuide,equiangular_uc,0.8122019549489239,1.364809421039309e-05,True
NNGuide,equiangular_wc,-0.04327622214761155,0.8562423270092789,False
NNGuide,equinorm_uc,0.4829935507545931,0.030990715252604214,True
NNGuide,equinorm_wc,0.4157608484895538,0.06827712352170519,False
NNGuide,max_equiangular_uc,0.7990645303683989,2.3824704712574588e-05,True
NNGuide,max_equiangular_wc,-0.12364634899317585,0.6035107064449462,False
NNGuide,self_duality,0.44126290796939627,0.051460204138228265,False
NeCo,var_collapse,-0.24827589973587075,0.29121033115396927,False
NeCo,equiangular_uc,0.5584224709714154,0.01049611082117969,True
NeCo,equiangular_wc,-0.625052424894141,0.00321065895224902,True
NeCo,equinorm_uc,0.7249973557782295,0.00029864028014845465,True
NeCo,equinorm_wc,0.5449378374394351,0.012967241538511753,True
NeCo,max_equiangular_uc,0.547317478650961,0.012500041224320763,True
NeCo,max_equiangular_wc,-0.6369506309517706,0.0025260810819362762,True
NeCo,self_duality,0.3966068685876529,0.08339824394739302,False
PCA RecError global,var_collapse,-0.051170837326051204,0.8303539810615616,False
PCA RecError global,equiangular_uc,0.40172926020153626,0.07913226806763778,False
PCA RecError global,equiangular_wc,-0.43533398919177885,0.0550526436127538,False
PCA RecError global,equinorm_uc,0.28869517177981124,0.21703698485219658,False
PCA RecError global,equinorm_wc,0.11150660074035039,0.639764802014428,False
PCA RecError global,max_equiangular_uc,0.45977379209377345,0.041388448807160035,True
PCA RecError global,max_equiangular_wc,-0.4735211812261454,0.03495133674095452,True
PCA RecError global,self_duality,0.0030549753627493255,0.9898013088214906,False
PCE,var_collapse,0.5616123514435283,0.009971466953672733,True
PCE,equiangular_uc,0.3880935007906313,0.09086104874234148,False
PCE,equiangular_wc,0.4430927793457906,0.05038846860129585,False
PCE,equinorm_uc,-0.06816811989935241,0.7752154798756438,False
PCE,equinorm_wc,-0.12239276072838272,0.6072151238708916,False
PCE,max_equiangular_uc,0.3718261085419222,0.10646654764774946,False
PCE,max_equiangular_wc,0.4028116175870824,0.0782520079617993,False
PCE,self_duality,0.11232247028870566,0.6373022951096731,False
PE,var_collapse,-0.003901312192953164,0.9869761131014907,False
PE,equiangular_uc,0.4080772553829009,0.07407308470770885,False
PE,equiangular_wc,-0.38388911978659135,0.09472239304914479,False
PE,equinorm_uc,0.34487599785705975,0.13644714723476103,False
PE,equinorm_wc,0.30430235105034675,0.1920798490728492,False
PE,max_equiangular_uc,0.4197811919617604,0.06538363934097231,False
PE,max_equiangular_wc,-0.37608649540068506,0.10220443504976241,False
PE,self_duality,0.25670634229631817,0.2745943888306671,False
REN,var_collapse,0.5220898209731188,0.018210149270085227,True
REN,equiangular_uc,-0.30085234551676787,0.19742260642863,False
REN,equiangular_wc,0.7785415658792696,5.272247382109894e-05,True
REN,equinorm_uc,-0.4286954541714759,0.05929816458312443,False
REN,equinorm_wc,-0.2786520452114593,0.23417451138570924,False
REN,max_equiangular_uc,-0.2824796831951332,0.22754284018031268,False
REN,max_equiangular_wc,0.8229421664898867,8.376283955840006e-06,True
REN,self_duality,0.04516612820735193,0.8500309777489278,False
Residual,var_collapse,-0.914814039747281,1.6415341516353635e-08,True
Residual,equiangular_uc,-0.19340849903666865,0.4139211142903916,False
Residual,equiangular_wc,-0.763841160752413,8.86799668204754e-05,True
Residual,equinorm_uc,0.40558659924567225,0.07602843692144212,False
Residual,equinorm_wc,0.1297550689739676,0.5855938140858385,False
Residual,max_equiangular_uc,-0.25053337216986193,0.2867017301069692,False
Residual,max_equiangular_wc,-0.7401751418829472,0.00019050414939135603,True
Residual,self_duality,-0.07263019584077432,0.7608996264380575,False
ViM,var_collapse,-0.4988853528844703,0.0251443213516706,True
ViM,equiangular_uc,-0.7851559435046307,4.119459945687591e-05,True
ViM,equiangular_wc,-0.06074707493266002,0.7991779874492693,False
ViM,equinorm_uc,-0.5938026574667516,0.005773003444297856,True
ViM,equinorm_wc,-0.6978320232889319,0.0006239823737301078,True
ViM,max_equiangular_uc,-0.7950273431811878,2.8047347679568804e-05,True
ViM,max_equiangular_wc,-0.03492956808627951,0.8837670971801008,False
ViM,self_duality,-0.7365582835585026,0.00021261908123188124,True
fDBD,var_collapse,0.5119713484699464,0.021016489895572057,True
fDBD,equiangular_uc,-0.46598589800857404,0.03837497586575377,True
fDBD,equiangular_wc,0.7357672073819591,0.0002177380728158177,True
fDBD,equinorm_uc,-0.8430665917918281,3.056717237789201e-06,True
fDBD,equinorm_wc,-0.5970444318234855,0.005446885520278208,True
fDBD,max_equiangular_uc,-0.4276646892907637,0.059979006055474446,False
fDBD,max_equiangular_wc,0.7480299941716583,0.00014915715995503194,True
fDBD,self_duality,-0.43762820355739435,0.05364058381330173,False
pNML,var_collapse,-0.7384638912139458,0.00020070870180679702,True
pNML,equiangular_uc,-0.23351835574321897,0.3217485518058436,False
pNML,equiangular_wc,-0.6884242435546846,0.0007910139878349904,True
pNML,equinorm_uc,-0.018196235512458622,0.9393060045603434,False
pNML,equinorm_wc,-0.22442023798698968,0.34149072846729867,False
pNML,max_equiangular_uc,-0.23579288518227634,0.3169217364268708,False
pNML,max_equiangular_wc,-0.6755352434000264,0.0010800651938292023,True
pNML,self_duality,-0.47765118220203884,0.03317867008279719,True
