method,nc_metric,rho,p,significant
CTM,var_collapse,0.1924168434378321,0.4163653422948639,False
CTM,equiangular_uc,0.6770818633105307,0.0010412656698460163,True
CTM,equiangular_wc,0.3292823806111855,0.15628559821992338,False
CTM,equinorm_uc,0.5225043154441551,0.018101924888834792,True
CTM,equinorm_wc,0.6352171107633873,0.0026174805826699706,True
CTM,max_equiangular_uc,0.690768417027866,0.0007462167541324523,True
CTM,max_equiangular_wc,0.5643690679912984,0.00953541936767257,True
CTM,self_duality,0.8381001423380052,3.969362939708783e-06,True
CTMmean,var_collapse,0.6698033482827895,0.0012346632455156078,True
CTMmean,equiangular_uc,-0.5453131022507545,0.01289264328885926,True
CTMmean,equiangular_wc,0.5155270924639487,0.0199936398708325,True
CTMmean,equinorm_uc,-0.8088047272878839,1.5826458850203192e-05,True
CTMmean,equinorm_wc,-0.6438360576994203,0.0021888812714983812,True
CTMmean,max_equiangular_uc,-0.5384394076845685,0.014315265794173398,True
CTMmean,max_equiangular_wc,0.07026443334323448,0.768480794722528,False
CTMmean,self_duality,-0.09241300472316709,0.6983835491923911,False
CTMmeanOC,var_collapse,0.666774536755992,0.0013236077202865568,True
CTMmeanOC,equiangular_uc,-0.5419935384882232,0.013564703149299948,True
CTMmeanOC,equiangular_wc,0.5052482138449538,0.023063949501887927,True
CTMmeanOC,equinorm_uc,-0.8466735219886649,2.5141883861621014e-06,True
CTMmeanOC,equinorm_wc,-0.6193118257584357,0.0035923251803156586,True
CTMmeanOC,max_equiangular_uc,-0.5351037901176101,0.015049747428585164,True
CTMmeanOC,max_equiangular_wc,0.09339436680164295,0.6953268063359067,False
CTMmeanOC,self_duality,-0.134732857025321,0.5711633693348276,False
Confidence,var_collapse,-0.011420771710765073,0.9618853491974256,False
Confidence,equiangular_uc,0.20252835167090066,0.3918095580897426,False
Confidence,equiangular_wc,-0.04644447162377796,0.8458343801868767,False
Confidence,equinorm_uc,0.20709666035520663,0.3809849394781608,False
Confidence,equinorm_wc,0.16978880610004074,0.47420831021223664,False
Confidence,max_equiangular_uc,0.18273234737224117,0.44064071690766116,False
Confidence,max_equiangular_wc,0.20176696689018295,0.39363007353442514,False
Confidence,self_duality,-0.18958481039870023,0.42338839368720216,False
Energy,var_collapse,-0.6964195164862258,0.0006469630416476617,True
Energy,equiangular_uc,0.5323337020698187,0.015682457547650942,True
Energy,equiangular_wc,-0.40151874403277515,0.079304327524168,False
Energy,equinorm_uc,0.8347960327913065,4.700516863545647e-06,True
Energy,equinorm_wc,0.5966069473481348,0.005489989132410979,True
Energy,max_equiangular_uc,0.5398952603378558,0.014003877837830057,True
Energy,max_equiangular_wc,-0.005293090787626038,0.982330492905011,False
Energy,self_duality,0.186014333393715,0.43233221138001476,False
GE,var_collapse,-0.6654425333431777,0.0013643955987972486,True
GE,equiangular_uc,0.32321494476668633,0.1645185863179728,False
GE,equiangular_wc,-0.43120676160637916,0.05766391400184841,False
GE,equinorm_uc,0.5703793142941523,0.008638387626258681,True
GE,equinorm_wc,0.3886184394724158,0.09038718569929323,False
GE,max_equiangular_uc,0.3026812894520968,0.19457802867653282,False
GE,max_equiangular_wc,-0.12548344914471352,0.5980988354671126,False
GE,self_duality,-0.03802528761961015,0.8735416960764198,False
GEN,var_collapse,0.7415968768588941,0.00018236691971589128,True
GEN,equiangular_uc,0.2383704247046445,0.3115046728889841,False
GEN,equiangular_wc,0.6803016247919855,0.0009642507414472696,True
GEN,equinorm_uc,-0.21112809045268519,0.3715734909654057,False
GEN,equinorm_wc,0.18161556167972917,0.4434868537660711,False
GEN,max_equiangular_uc,0.264856027449605,0.25910655557689194,False
GEN,max_equiangular_wc,0.5403062959971943,0.013916957403513997,True
GEN,self_duality,0.5342524439412033,0.015241977487821464,True
GradNorm,var_collapse,0.2959134192506422,0.20524260356368101,False
GradNorm,equiangular_uc,-0.37849390834384466,0.09985160815603518,False
GradNorm,equiangular_wc,0.22403780837322523,0.34233575166745533,False
GradNorm,equinorm_uc,-0.5031292761419187,0.02374100150594648,True
GradNorm,equinorm_wc,-0.41213781130774196,0.07096606361129804,False
GradNorm,max_equiangular_uc,-0.3884341524013598,0.09055333463956775,False
GradNorm,max_equiangular_wc,0.08105122077666167,0.7340882915364861,False
GradNorm,self_duality,-0.25768171133712253,0.27271100831813283,False
KPCA RecError global,var_collapse,0.27838711920141374,0.23463809448940437,False
KPCA RecError global,equiangular_uc,0.003017746549608821,0.9899255869476427,False
KPCA RecError global,equiangular_wc,0.1425885244690168,0.5487107932787987,False
KPCA RecError global,equinorm_uc,-0.01810647929765293,0.9396048641348376,False
KPCA RecError global,equinorm_wc,-0.07846141028982934,0.7423039529360627,False
KPCA RecError global,max_equiangular_uc,0.030177465496088213,0.8994976165191358,False
KPCA RecError global,max_equiangular_wc,0.04375732496932791,0.8546603516386708,False
KPCA RecError global,self_duality,0.2436830338809123,0.30051676132370775,False
MLS,var_collapse,-0.21302355856997177,0.3671944665113305,False
MLS,equiangular_uc,0.36214004956895196,0.1166327631814749,False
