method,nc_metric,rho,p,significant
CTM,var_collapse,0.28401073838860275,0.22492477416859136,False
CTM,equiangular_uc,0.15846421252409912,0.5045942477812745,False
CTM,equiangular_wc,0.11559466710695153,0.6274628877509933,False
CTM,equinorm_uc,-0.1270775810579732,0.5934191145874947,False
CTM,equinorm_wc,0.3643911360457545,0.11421032913588011,False
CTM,max_equiangular_uc,0.15310551934695568,0.5192916970534363,False
CTM,max_equiangular_wc,0.6912714198515049,0.0007368895116487394,True
CTM,self_duality,-0.1699471264751208,0.47379013669962844,False
CTMmean,var_collapse,0.18893811098667446,0.42500095134247295,False
CTMmean,equiangular_uc,-0.14916166656842716,0.5302359401878447,False
CTMmean,equiangular_wc,-0.1529863246855663,0.5196208942133984,False
CTMmean,equinorm_uc,0.3572230681407974,0.12205178035129517,False
CTMmean,equinorm_wc,-0.6670203756290691,0.0013161930288781896,True
CTMmean,max_equiangular_uc,-0.1529863246855663,0.5196208942133984,False
CTMmean,max_equiangular_wc,-0.7488680593358471,0.00014523915546864558,True
CTMmean,self_duality,0.4023540339230395,0.07862325921947892,False
CTMmeanOC,var_collapse,0.1883932221350101,0.42636218288129835,False
CTMmeanOC,equiangular_uc,-0.19605148319740887,0.4074447468529334,False
CTMmeanOC,equiangular_wc,-0.12482965531710018,0.6000225234528742,False
CTMmeanOC,equinorm_uc,0.3293052256831478,0.1562551496807684,False
CTMmeanOC,equinorm_wc,-0.6341040159666194,0.0026776087381642773,True
CTMmeanOC,max_equiangular_uc,-0.1998806137286083,0.3981605590276659,False
CTMmeanOC,max_equiangular_wc,-0.7367247142027632,0.00021155532715397304,True
CTMmeanOC,self_duality,0.36070409603898274,0.11819714299838655,False
Confidence,var_collapse,0.08671099695241201,0.716231383316418,False
Confidence,equiangular_uc,0.404651319111256,0.07677254419692725,False
Confidence,equiangular_wc,-0.5202659817144719,0.018692511424374024,True
Confidence,equinorm_uc,0.375747653460452,0.10253880037605502,False
Confidence,equinorm_wc,-0.5202659817144719,0.018692511424374024,True
Confidence,max_equiangular_uc,0.46245865041286394,0.040064365635000404,True
Confidence,max_equiangular_wc,-0.43355498476205995,0.056166935591136946,False
Confidence,self_duality,0.43355498476205995,0.056166935591136946,False
Energy,var_collapse,-0.4755584759299908,0.034067897592342355,True
Energy,equiangular_uc,0.2518108676375709,0.28416952204056295,False
Energy,equiangular_wc,0.02654632640757524,0.9115421714935001,False
Energy,equinorm_uc,-0.29731885576484274,0.20299670792593638,False
Energy,equinorm_wc,0.3981948961136287,0.08205794088548125,False
Energy,max_equiangular_uc,0.25105240116878297,0.28567125497739654,False
Energy,max_equiangular_wc,0.3815086338002956,0.09696118264578533,False
Energy,self_duality,-0.25863706585666163,0.2708741221682909,False
GE,var_collapse,-0.4029131119761475,0.07816983940793211,False
GE,equiangular_uc,-0.341335825051491,0.14078645529282668,False
GE,equiangular_wc,0.5838439056560024,0.006876746212810804,True
GE,equinorm_uc,-0.6477018328371277,0.0020166567492749003,True
GE,equinorm_wc,0.8643626572016598,8.926393502059554e-07,True
GE,max_equiangular_uc,-0.3390551847950222,0.14363270603185063,False
GE,max_equiangular_wc,0.8544798827569619,1.6186825399330205e-06,True
GE,self_duality,-0.683431863521805,0.0008940422854636877,True
GEN,var_collapse,-0.8216290366281322,8.906693352667455e-06,True
GEN,equiangular_uc,-0.6568497082151306,0.0016537437255551518,True
GEN,equiangular_wc,0.8246525105439672,7.72672491396221e-06,True
GEN,equinorm_uc,-0.7724975854958152,6.558824716560435e-05,True
GEN,equinorm_wc,0.5585868059504965,0.010468546229300378,True
GEN,max_equiangular_uc,-0.6772581571470161,0.001036918640913745,True
GEN,max_equiangular_wc,0.44898587650148164,0.04705271061249756,True
GEN,self_duality,-0.7845914811591548,4.208502063099028e-05,True
GradNorm,var_collapse,-0.3894202508039156,0.08966689785298922,False
GradNorm,equiangular_uc,-0.9028500572036413,5.1224518238024804e-08,True
GradNorm,equiangular_wc,0.7153234121563188,0.00039191594384003326,True
GradNorm,equinorm_uc,-0.6102177522306018,0.004273528550239058,True
GradNorm,equinorm_wc,0.35614939442455196,0.12325858887776137,False
GradNorm,max_equiangular_uc,-0.8922638756283892,1.2487042752462017e-07,True
GradNorm,max_equiangular_wc,0.2941446166266469,0.20809252685175522,False
GradNorm,self_duality,-0.660880192626451,0.00151220192467055,True
KPCA RecError global,var_collapse,0.484165694054048,0.030526153138535322,True
KPCA RecError global,equiangular_uc,-0.11930951125338228,0.616365455515427,False
KPCA RecError global,equiangular_wc,-0.11777003368882251,0.6209548307054763,False
KPCA RecError global,equinorm_uc,0.4264352853830566,0.06079877340751553,False
KPCA RecError global,equinorm_wc,-0.18088861383577315,0.4453446285546787,False
KPCA RecError global,max_equiangular_uc,-0.13239507055214034,0.5779212649909815,False
KPCA RecError global,max_equiangular_wc,-0.3817904360108233,0.09669415718937031,False
KPCA RecError global,self_duality,0.3533101010664675,0.1264909137651658,False
MLS,var_collapse,-0.41080209423211334,0.07197714331212067,False
MLS,equiangular_uc,0.05315369056607751,0.823877028058286,False
MLS,equiangular_wc,0.19742799353114504,0.40409374458625447,False
MLS,equinorm_uc,-0.4290262167119114,0.059080935016394165,False
MLS,equinorm_wc,0.631010240863006,0.002850805795517565,True
MLS,max_equiangular_uc,0.05391302900273576,0.8213995399103284,False
MLS,max_equiangular_wc,0.6431596558495378,0.0022202433351954476,True
MLS,self_duality,-0.43282290889520264,0.05663042321390586,False
MSR,var_collapse,-0.6442037995070249,0.0021719864639416237,True
MSR,equiangular_uc,-0.7874444090444692,3.774914237995786e-05,True
MSR,equiangular_wc,0.8442859207656773,2.8628986362144097e-06,True
MSR,equinorm_uc,-0.7442448601363512,0.00016800235975118928,True
MSR,equinorm_wc,0.4691319434057039,0.036915287878623526,True
MSR,max_equiangular_uc,-0.8010863718575592,2.192525449743265e-05,True
MSR,max_equiangular_wc,0.3562068067862373,0.12319384290977911,False
MSR,self_duality,-0.7374238787298062,0.00020713613094831918,True
Maha,var_collapse,0.6866069937936581,0.0008272877022271096,True
Maha,equiangular_uc,0.7581927005456874,0.00010725474835433312,True
Maha,equiangular_wc,-0.5834619969681533,0.006922290248849142,True
Maha,equinorm_uc,0.5411263639427596,0.013744838643006786,True
Maha,equinorm_wc,-0.30096786387143526,0.1972421214638321,False
Maha,max_equiangular_uc,0.7628111332393667,9.184423614724668e-05,True
Maha,max_equiangular_wc,0.018473730774717256,0.9383820834037183,False
Maha,self_duality,0.5680672213225556,0.008974947020962328,True
NNGuide,var_collapse,0.7615003346630156,9.601102149570672e-05,True
NNGuide,equiangular_uc,0.6788274895651383,0.0009988921642464599,True
NNGuide,equiangular_wc,-0.6848952213154412,0.0008627322592688155,True
NNGuide,equinorm_uc,0.596913110936049,0.005459794678534446,True
NNGuide,equinorm_wc,-0.36027157267423543,0.11867128121770419,False
