method,nc_metric,rho,p,significant
CTM,var_collapse,0.29296667831194895,0.21000490960655901,False
CTM,equiangular_uc,-0.16730138477245665,0.4808026179962138,False
CTM,equiangular_wc,0.23770422994819634,0.31289939668330613,False
CTM,equinorm_uc,-0.17638562285964884,0.4569421942790146,False
CTM,equinorm_wc,0.3936503171116627,0.08593662087638426,False
CTM,max_equiangular_uc,-0.14534780939507544,0.5409201496530816,False
CTM,max_equiangular_wc,0.5972886542328882,0.005422944694274464,True
CTM,self_duality,-0.19985323791822873,0.3982265184678624,False
CTMmean,var_collapse,0.12793635306129036,0.5909044801248615,False
CTMmean,equiangular_uc,-0.14231973003267803,0.5494724106725457,False
CTMmean,equiangular_wc,-0.15746012684466504,0.5073328308421571,False
CTMmean,equinorm_uc,0.336116809226112,0.1473589119059576,False
CTMmean,equinorm_wc,-0.6427098446688492,0.002241306415388554,True
CTMmean,max_equiangular_uc,-0.1597311863664631,0.50114884850074,False
CTMmean,max_equiangular_wc,-0.7388513644249668,0.0001983580845268594,True
CTMmean,self_duality,0.32627555129832037,0.160329134825353,False
CTMmeanOC,var_collapse,-0.6901838012256418,0.0007571826980115094,True
CTMmeanOC,equiangular_uc,-0.3808706595392337,0.09756769265114179,False
CTMmeanOC,equiangular_wc,0.5216773882173747,0.01831834785344731,True
CTMmeanOC,equinorm_uc,-0.5047498033489644,0.023221809954655385,True
CTMmeanOC,equinorm_wc,0.13234293624393578,0.5780723618397294,False
CTMmeanOC,max_equiangular_uc,-0.41472582927605456,0.06903735709530771,False
CTMmeanOC,max_equiangular_wc,0.04231896217102597,0.859391580336453,False
CTMmeanOC,self_duality,-0.47166406928798044,0.035772104078804344,True
Confidence,var_collapse,0.08671099695241201,0.716231383316418,False
Confidence,equiangular_uc,0.404651319111256,0.07677254419692725,False
Confidence,equiangular_wc,-0.5202659817144719,0.018692511424374024,True
Confidence,equinorm_uc,0.375747653460452,0.10253880037605502,False
Confidence,equinorm_wc,-0.5202659817144719,0.018692511424374024,True
Confidence,max_equiangular_uc,0.46245865041286394,0.040064365635000404,True
Confidence,max_equiangular_wc,-0.43355498476205995,0.056166935591136946,False
Confidence,self_duality,0.43355498476205995,0.056166935591136946,False
Energy,var_collapse,-0.2417183930031948,0.3045523168713898,False
Energy,equiangular_uc,-0.018358358962267958,0.9387662049947147,False
Energy,equiangular_wc,0.11703453838445825,0.6231522156490781,False
Energy,equinorm_uc,-0.2600767519654628,0.26812066833846143,False
Energy,equinorm_wc,0.4780822646423947,0.032997768972255224,True
Energy,max_equiangular_uc,-0.0045895897405669895,0.9846786508665725,False
Energy,max_equiangular_wc,0.5576351534788893,0.010628989216046835,True
Energy,self_duality,-0.3013830596305657,0.19659433397726853,False
GE,var_collapse,-0.25715421627265367,0.27372856528852907,False
GE,equiangular_uc,-0.30781743500099734,0.1867370891613573,False
GE,equiangular_wc,0.6616923415732163,0.0014849495207266198,True
GE,equinorm_uc,-0.5534572833808457,0.01135713282511409,True
GE,equinorm_wc,0.5473162871713495,0.012500271698696783,True
GE,max_equiangular_uc,-0.327008048155673,0.15933749933261435,False
GE,max_equiangular_wc,0.5595982795903418,0.010300178394280232,True
GE,self_duality,-0.48590632507638737,0.029846372455301827,True
GEN,var_collapse,-0.23789806372016672,0.31249320562702565,False
GEN,equiangular_uc,0.36461352721372636,0.11397298907959495,False
GEN,equiangular_wc,-0.24443821667467305,0.29897425234982905,False
GEN,equinorm_uc,0.033518283891844795,0.888434654166218,False
GEN,equinorm_wc,-0.14388336499913867,0.5450486077635587,False
GEN,max_equiangular_uc,0.36461352721372636,0.11397298907959495,False
GEN,max_equiangular_wc,-0.09237966048240151,0.6984874885850711,False
GEN,self_duality,0.08583950752789522,0.7189720211332147,False
GradNorm,var_collapse,0.09479009826560532,0.690987180817775,False
GradNorm,equiangular_uc,-0.5066367321092697,0.022628648951238936,True
GradNorm,equiangular_wc,0.3440226842225848,0.1374843461201477,False
GradNorm,equinorm_uc,-0.2214492812929228,0.3480874676376088,False
GradNorm,equinorm_wc,0.29907910314837544,0.20020696826724546,False
GradNorm,max_equiangular_uc,-0.5066367321092697,0.022628648951238936,True
GradNorm,max_equiangular_wc,0.3611829606327376,0.11767378955624527,False
GradNorm,self_duality,-0.30888497538274845,0.18513453864689972,False
KPCA RecError global,var_collapse,0.45536783787492896,0.043634338704425644,True
KPCA RecError global,equiangular_uc,0.4401635694984706,0.052112397967625915,False
KPCA RecError global,equiangular_wc,-0.5450730212960335,0.012940328532967576,True
KPCA RecError global,equinorm_uc,0.5275881126631063,0.016815882345124947,True
KPCA RecError global,equinorm_wc,-0.25847256239979277,0.27118986394297523,False
KPCA RecError global,max_equiangular_uc,0.4584086915502207,0.04207451459335687,True
KPCA RecError global,max_equiangular_wc,-0.40443353881379335,0.0769465852208758,False
KPCA RecError global,self_duality,0.5085827771925333,0.02202955743333498,True
MLS,var_collapse,-0.24102322337882146,0.3059880936788543,False
MLS,equiangular_uc,-0.31956753259492304,0.16960887127535598,False
MLS,equiangular_wc,0.3827109968666909,0.09582561076759046,False
MLS,equinorm_uc,-0.421213109227525,0.06437569987151293,False
MLS,equinorm_wc,0.2972363074256392,0.20312816672264883,False
MLS,max_equiangular_uc,-0.27644516675078884,0.23805435961714008,False
MLS,max_equiangular_wc,0.4789662777687762,0.032629209445356515,True
MLS,self_duality,-0.3827109968666909,0.09582561076759046,False
MSR,var_collapse,-0.42233902670023465,0.06359141632968512,False
MSR,equiangular_uc,-0.3868076363086279,0.0920295060535849,False
MSR,equiangular_wc,0.32220510832388843,0.16591724942702474,False
MSR,equinorm_uc,-0.40941852110328675,0.07303576803793345,False
MSR,equinorm_wc,0.17604188875841523,0.4578338074125651,False
MSR,max_equiangular_uc,-0.43525953229718256,0.055098940130948376,False
MSR,max_equiangular_wc,-0.032301263992369766,0.8924625649522022,False
MSR,self_duality,-0.3851925731090095,0.09351267569801172,False
Maha,var_collapse,-0.17524409212836536,0.4599066483689289,False
Maha,equiangular_uc,-0.3770654873283312,0.10124282988663998,False
Maha,equiangular_wc,0.6918404205825988,0.0007264575765897205,True
Maha,equinorm_uc,-0.5896839119011347,0.006210337064519925,True
Maha,equinorm_wc,0.7433339452838247,0.00017283031336299634,True
Maha,max_equiangular_uc,-0.3770654873283312,0.10124282988663998,False
Maha,max_equiangular_wc,0.8920007343405895,1.2751578879655049e-07,True
Maha,self_duality,-0.5971587783900223,0.005435665455276497,True
NNGuide,var_collapse,-0.32033757484213965,0.1685253374292225,False
NNGuide,equiangular_uc,0.14630802697116957,0.5382209489564764,False
NNGuide,equiangular_wc,-0.040042196855267456,0.8668899592572994,False
NNGuide,equinorm_uc,-0.26181436405367187,0.2648209069991449,False
NNGuide,equinorm_wc,0.1801898858487036,0.4471340980578635,False
NNGuide,max_equiangular_uc,0.16632912539880332,0.4833924808907115,False
NNGuide,max_equiangular_wc,0.4196730247330916,0.06546025905134192,False
NNGuide,self_duality,-0.24487343461490488,0.29808748927168055,False
NeCo,var_collapse,-0.06723881873160793,0.7782059644150097,False
NeCo,equiangular_uc,0.21109861694807142,0.3716418151561188,False
NeCo,equiangular_wc,-0.06098404489610952,0.7984100147744035,False
NeCo,equinorm_uc,-0.08913052715585239,0.7086400905295243,False
NeCo,equinorm_wc,0.32993931982254127,0.15541165133533932,False
NeCo,max_equiangular_uc,0.2329903253723159,0.32287532953390563,False
NeCo,max_equiangular_wc,0.41125137968402065,0.07163585877728992,False
NeCo,self_duality,-0.09851268790909999,0.6794584638452545,False
PCA RecError global,var_collapse,-0.13534228076562732,0.5694073605873755,False
PCA RecError global,equiangular_uc,-0.07097217162099968,0.7662106668572433,False
PCA RecError global,equiangular_wc,-0.2814129130553592,0.22937867045699045,False
PCA RecError global,equinorm_uc,0.2508783741021384,0.2860165114096869,False
PCA RecError global,equinorm_wc,-0.5009314903947303,0.024459775483922083,True
PCA RecError global,max_equiangular_uc,-0.0726226872400927,0.7609236552449588,False
PCA RecError global,max_equiangular_wc,-0.6981681068763457,0.0006186175921888879,True
PCA RecError global,self_duality,0.18733352276705725,0.4290161452430028,False
PCE,var_collapse,-0.4868704813005584,0.02947497992996899,True
PCE,equiangular_uc,-0.436171571677525,0.05453388126557629,False
PCE,equiangular_wc,0.27683214143370594,0.23737105178414622,False
PCE,equinorm_uc,-0.3548923673612335,0.1246822715722691,False
PCE,equinorm_wc,0.1166879665926958,0.6241887078340738,False
PCE,max_equiangular_uc,-0.4739945677455023,0.03474448571926035,True
PCE,max_equiangular_wc,-0.06437956777528045,0.7874256898751184,False
PCE,self_duality,-0.39593434181797477,0.08397071390138892,False
PE,var_collapse,-0.25894231587945143,0.27028884676684606,False
PE,equiangular_uc,-0.2332040736384216,0.32241892366929203,False
PE,equiangular_wc,0.2800008777130213,0.23182344259212406,False
PE,equinorm_uc,-0.1474099328349889,0.5351310908919837,False
PE,equinorm_wc,-0.04289707040171634,0.8574894364393836,False
PE,max_equiangular_uc,-0.2839006113859045,0.2251124294813169,False
PE,max_equiangular_wc,-0.13259094487803236,0.577353729337355,False
PE,self_duality,-0.10607275590242587,0.6562571552280975,False
REN,var_collapse,0.03257766546440581,0.8915475465841083,False
REN,equiangular_uc,-0.3309204965594906,0.15411268058899757,False
REN,equiangular_wc,0.19117945785690776,0.41942612677712077,False
REN,equinorm_uc,-0.2194705883917865,0.3525217295196924,False
REN,equinorm_wc,0.3617835480520855,0.11701975504442137,False
REN,max_equiangular_uc,-0.3549250921648422,0.12464506032449708,False
REN,max_equiangular_wc,0.14574218760392074,0.5398107929449685,False
REN,self_duality,-0.22289981633540815,0.34485749630049245,False
Residual,var_collapse,0.04544891164112698,0.8491023063073544,False
Residual,equiangular_uc,-0.5544767220217491,0.011175839782782129,True
Residual,equiangular_wc,0.5362971573652984,0.014783575407443038,True
Residual,equinorm_uc,-0.3363219461443397,0.14709660479802633,False
Residual,equinorm_wc,0.44539933408304444,0.04906197262632685,True
Residual,max_equiangular_uc,-0.5544767220217491,0.011175839782782129,True
Residual,max_equiangular_wc,0.46357889873949526,0.03952169645902292,True
Residual,self_duality,-0.40904020477014286,0.07332724712528839,False
ViM,var_collapse,0.6884702601823163,0.0007901132155593416,True
ViM,equiangular_uc,0.633049184816166,0.00273564729803201,True
ViM,equiangular_wc,-0.4269764538772414,0.06043688405273438,False
ViM,equinorm_uc,0.46210248756001265,0.04023810082990725,True
ViM,equinorm_wc,-0.08820537347006999,0.7115396889290657,False
ViM,max_equiangular_uc,0.633049184816166,0.00273564729803201,True
ViM,max_equiangular_wc,0.20373099536007316,0.388943499351886,False
ViM,self_duality,0.4269764538772414,0.06043688405273438,False
fDBD,var_collapse,0.4216084231924007,0.06409950895218251,False
fDBD,equiangular_uc,-0.15366314325144273,0.5177529343453147,False
fDBD,equiangular_wc,0.2988323439110972,0.20059649684995115,False
fDBD,equinorm_uc,-0.09574989830743165,0.6880083246244727,False
fDBD,equinorm_wc,0.2200703307872421,0.35117426834425414,False
fDBD,max_equiangular_uc,-0.16910667523651232,0.4760121477549323,False
fDBD,max_equiangular_wc,0.4246971295894146,0.06197220413638752,False
fDBD,self_duality,-0.12200390268205,0.6083661011688395,False
pNML,var_collapse,-0.41181187585647694,0.07121179584549342,False
pNML,equiangular_uc,0.1255714242668424,0.597840177650463,False
pNML,equiangular_wc,-0.05849600509324956,0.8064820202451449,False
pNML,equinorm_uc,-0.087354034272586,0.7142113135385656,False
pNML,equinorm_wc,-0.22384471282350166,0.34276288273032085,False
pNML,max_equiangular_uc,0.11075243630988583,0.6420442978314342,False
pNML,max_equiangular_wc,-0.3408367230100008,0.14140592365291121,False
pNML,self_duality,0.08033451366139606,0.7363591623902179,False
