method,nc_metric,rho,p,significant
CTM,var_collapse,0.4176361401620376,0.06691573215038406,False
CTM,equiangular_uc,0.5277402134774838,0.01677856511298912,True
CTM,equiangular_wc,0.47382718447474803,0.03481751617251204,True
CTM,equinorm_uc,0.26424977595707105,0.260239237305065,False
CTM,equinorm_wc,0.47382718447474803,0.03481751617251204,True
CTM,max_equiangular_uc,0.5421676437739906,0.013528767248614525,True
CTM,max_equiangular_wc,0.5649477968737382,0.009445878574068948,True
CTM,self_duality,0.8603304487337975,1.14417419295995e-06,True
CTMmean,var_collapse,0.6720286622394611,0.0011725681727433688,True
CTMmean,equiangular_uc,-0.5579966494160231,0.01056780980697477,True
CTMmean,equiangular_wc,0.5298687529195751,0.016263262798181768,True
CTMmean,equinorm_uc,-0.8278724130981596,6.621831013719974e-06,True
CTMmean,equinorm_wc,-0.6499824730935965,0.0019204778343156726,True
CTMmean,max_equiangular_uc,-0.5671192104418982,0.009115996025339917,True
CTMmean,max_equiangular_wc,0.0881847565834587,0.7116043495906127,False
CTMmean,self_duality,-0.17941036684220907,0.449134877612413,False
CTMmeanOC,var_collapse,0.7638695241121228,8.859417735983191e-05,True
CTMmeanOC,equiangular_uc,-0.38690488408481893,0.0919407542435433,False
CTMmeanOC,equiangular_wc,0.5964146434509067,0.005509024706032485,True
CTMmeanOC,equinorm_uc,-0.7676926949034748,7.766381951367359e-05,True
CTMmeanOC,equinorm_wc,-0.476367080602455,0.033722129535262574,True
CTMmeanOC,max_equiangular_uc,-0.3815524449769262,0.09691963346659496,False
CTMmeanOC,max_equiangular_wc,0.22403780837322523,0.34233575166745533,False
CTMmeanOC,self_duality,0.015292683165407864,0.9489776529627836,False
Confidence,var_collapse,0.04727881758621875,0.8430975025083146,False
Confidence,equiangular_uc,0.3286640383816174,0.1571113037969463,False
Confidence,equiangular_wc,0.018301477775310483,0.9389555913369871,False
Confidence,equinorm_uc,0.285198028665255,0.22290812687610534,False
Confidence,equinorm_wc,0.28367290551731245,0.22550076191884907,False
Confidence,max_equiangular_uc,0.3240886689377898,0.1633150068418892,False
Confidence,max_equiangular_wc,0.29129852125702516,0.2127329871395376,False
Confidence,self_duality,-0.020589162497224294,0.9313413221186724,False
Energy,var_collapse,-0.6997530577312021,0.0005938414161555674,True
Energy,equiangular_uc,0.2839906890142866,0.22495893049837523,False
Energy,equiangular_wc,-0.3922858050917345,0.08712717049965787,False
Energy,equinorm_uc,0.6300806753596971,0.0029046305832565555,True
Energy,equinorm_wc,0.3483619118575249,0.13226732426825455,False
Energy,max_equiangular_uc,0.2809614549981342,0.23015848645035192,False
Energy,max_equiangular_wc,-0.11283896710167654,0.6357452606009284,False
Energy,self_duality,0.13177167970262899,0.5797291018438783,False
GE,var_collapse,-0.6956633606594221,0.0006595572089874234,True
GE,equiangular_uc,0.514942118053333,0.020159131821576297,True
GE,equiangular_wc,-0.46503583348428756,0.03882447099110457,True
GE,equinorm_uc,0.762961229244953,9.137718325209922e-05,True
GE,equinorm_wc,0.5610676234883599,0.010059517512753592,True
GE,max_equiangular_uc,0.4884766641152029,0.02886434580878572,True
GE,max_equiangular_wc,-0.009830025748448355,0.9671912040091833,False
GE,self_duality,-0.010586181575252075,0.9646689047635278,False
GEN,var_collapse,0.6938527168126336,0.0006905612432268886,True
GEN,equiangular_uc,0.4605551221498438,0.04099968245330641,True
GEN,equiangular_wc,0.705932851164105,0.0005051088074404629,True
GEN,equinorm_uc,-0.009815109160570443,0.9672409641724626,False
GEN,equinorm_wc,0.41298959314092554,0.0703268780620346,False
GEN,max_equiangular_uc,0.4945305000133569,0.026651637502532247,True
GEN,max_equiangular_wc,0.651572246582484,0.0018557305234224025,True
GEN,self_duality,0.634962061849211,0.002631157674496407,True
GradNorm,var_collapse,0.2248504094340456,0.34054167330689145,False
GradNorm,equiangular_uc,-0.4231137772120386,0.06305594708505552,False
GradNorm,equiangular_wc,0.16332039874432366,0.4914506107363249,False
GradNorm,equinorm_uc,-0.492999715279377,0.02719807425760872,True
GradNorm,equinorm_wc,-0.42007525816563246,0.06517568033951507,False
GradNorm,max_equiangular_uc,-0.4064019224568054,0.07538416194733846,False
GradNorm,max_equiangular_wc,-0.027346671417654195,0.908885726047667,False
GradNorm,self_duality,-0.38893043793997073,0.09010640592031793,False
KPCA RecError global,var_collapse,0.33848591250086346,0.1443494010437671,False
KPCA RecError global,equiangular_uc,-0.1409729746941235,0.5532955371416903,False
KPCA RecError global,equiangular_wc,0.15981962906499567,0.5009087641818966,False
KPCA RecError global,equinorm_uc,-0.18922040988355615,0.424296630720706,False
KPCA RecError global,equinorm_wc,-0.18168174813520732,0.4433179100724849,False
KPCA RecError global,max_equiangular_uc,-0.1213724541484165,0.6102370089102374,False
KPCA RecError global,max_equiangular_wc,0.0354317102172396,0.8821072376656652,False
KPCA RecError global,self_duality,0.07237115278414898,0.7617287302028568,False
MLS,var_collapse,-0.1856348153252611,0.4332887168578343,False
MLS,equiangular_uc,0.02662794482124647,0.9112712279047389,False
MLS,equiangular_wc,0.06010307545367061,0.8012659571482283,False
MLS,equinorm_uc,0.13390052252969653,0.5735654755926052,False
MLS,equinorm_wc,0.07075425338216919,0.7669094627520594,False
MLS,max_equiangular_uc,0.01901996058660462,0.9365636324418372,False
MLS,max_equiangular_wc,0.1757444358202267,0.4586060910732751,False
MLS,self_duality,-0.12324934460119794,0.6046828700415421,False
MSR,var_collapse,0.3682791417792513,0.11011192061079121,False
MSR,equiangular_uc,0.7950273431811878,2.8047347679568804e-05,True
MSR,equiangular_wc,0.5376116131540412,0.014494790270895681,True
MSR,equinorm_uc,0.4267482014019366,0.060589321368062714,False
MSR,equinorm_wc,0.7654131441515162,8.403157992923568e-05,True
MSR,max_equiangular_uc,0.7874339588146054,3.776429156417554e-05,True
MSR,max_equiangular_wc,0.7995833738011374,2.3324176918458042e-05,True
MSR,self_duality,0.6074707493266002,0.004499129841110318,True
Maha,var_collapse,-0.8857895467085195,2.0603850509382884e-07,True
Maha,equiangular_uc,0.11909121322179568,0.6170154012551223,False
Maha,equiangular_wc,-0.8079521524459079,1.6418245299201244e-05,True
Maha,equinorm_uc,0.5822237090843344,0.007071663638709381,True
Maha,equinorm_wc,0.23896080038621745,0.31027181732781006,False
Maha,max_equiangular_uc,0.10196698648402114,0.6688215062310661,False
Maha,max_equiangular_wc,-0.5238456633873758,0.017755217842014795,True
Maha,self_duality,-0.19692860748440724,0.4053077130932915,False
NNGuide,var_collapse,0.670741003148362,0.0012081698201398922,True
NNGuide,equiangular_uc,-0.17223779153244134,0.46776056553839773,False
NNGuide,equiangular_wc,0.7337178167923823,0.00023149224406176518,True
NNGuide,equinorm_uc,-0.5341647807878359,0.01526188291974971,True
NNGuide,equinorm_wc,-0.2336970915946782,0.32136767475784767,False
