method,nc_metric,rho,p,significant
CTM,var_collapse,0.2431887968401693,0.30152889026713686,False
CTM,equiangular_uc,0.06969896981088965,0.770295870687493,False
CTM,equiangular_wc,0.19546015446966877,0.4088889221498909,False
CTM,equinorm_uc,-0.18864177698816867,0.42574095964645686,False
CTM,equinorm_wc,0.41667862386944887,0.06760827939513248,False
CTM,max_equiangular_uc,0.06136539733350065,0.7971745015726286,False
CTM,max_equiangular_wc,0.694716905615063,0.0006756130513521331,True
CTM,self_duality,-0.23788561435455816,0.3125192845262089,False
CTMmean,var_collapse,0.27562129061979707,0.23951335671822568,False
CTMmean,equiangular_uc,-0.0038069239035883576,0.9872911881712648,False
CTMmean,equiangular_wc,-0.19491450386372391,0.4102240056350829,False
CTMmean,equinorm_uc,0.4263754772018961,0.060838868611786286,False
CTMmean,equinorm_wc,-0.7324521590504,0.00024035200510772023,True
CTMmean,max_equiangular_uc,-0.01446631083363576,0.9517315887064222,False
CTMmean,max_equiangular_wc,-0.7324521590504,0.00024035200510772023,True
CTMmean,self_duality,0.5177416508880167,0.019376908714442188,True
CTMmeanOC,var_collapse,0.3183354453858464,0.17135246073594887,False
CTMmeanOC,equiangular_uc,-0.0076522943602366925,0.9744570300945522,False
CTMmeanOC,equiangular_wc,-0.16528955818111257,0.4861692690180349,False
CTMmeanOC,equinorm_uc,0.4208761898130181,0.06461179988972529,False
CTMmeanOC,equinorm_wc,-0.6879412629852786,0.000800520811043889,True
CTMmeanOC,max_equiangular_uc,-0.017600277028544394,0.941290500716871,False
CTMmeanOC,max_equiangular_wc,-0.6772280508809472,0.0010376599115535536,True
CTMmeanOC,self_duality,0.5241821636762135,0.017669079066631073,True
Confidence,var_collapse,-0.8041798904001222,1.9272832227291693e-05,True
Confidence,equiangular_uc,-0.5366507387422597,0.014705442866206005,True
Confidence,equiangular_wc,0.6911169751161444,0.0007397428433365637,True
Confidence,equinorm_uc,-0.7572030453173426,0.00011083122168596899,True
Confidence,equinorm_wc,0.40925590461946804,0.07316095190371702,False
Confidence,max_equiangular_uc,-0.5111717719177014,0.021252128167156523,True
Confidence,max_equiangular_wc,0.4403083954368985,0.052026119388105606,False
Confidence,self_duality,-0.7030602408151562,0.0005448420897897864,True
Energy,var_collapse,-0.570056092802295,0.008684808697558425,True
Energy,equiangular_uc,0.13481056248702922,0.5709393359341093,False
Energy,equiangular_wc,0.06702010820783737,0.7789102115783194,False
Energy,equinorm_uc,-0.2973535835428187,0.2029414206207717,False
Energy,equinorm_wc,0.2503624731901971,0.287041532457783,False
Energy,max_equiangular_uc,0.14482506141463708,0.5423922034062955,False
Energy,max_equiangular_wc,0.19566790212403098,0.40838123258296166,False
Energy,self_duality,-0.2757838935448941,0.23922494902273944,False
GE,var_collapse,-0.7960100041498969,2.6964125621349628e-05,True
GE,equiangular_uc,-0.5869412287408773,0.006516373521574986,True
GE,equiangular_wc,0.7603908794505825,9.966372255974444e-05,True
GE,equinorm_uc,-0.7565192354615266,0.0001133618188985327,True
GE,equinorm_wc,0.724771754751268,0.0003005770994484533,True
GE,max_equiangular_uc,-0.5869412287408773,0.006516373521574986,True
