nc_metric,method_distance,r,p,significant
var_collapse,spearman_rank,0.5129292340053438,0.0001,True
var_collapse,jaccard_top1,0.35101199101487346,0.0002,True
equiangular_uc,spearman_rank,0.5459527007879296,0.0002,True
equiangular_uc,jaccard_top1,0.2245356065670969,0.0096,True
equiangular_wc,spearman_rank,0.4414095902893944,0.0001,True
equiangular_wc,jaccard_top1,0.31765851410354,0.0007,True
equinorm_uc,spearman_rank,0.479241798711818,0.0001,True
equinorm_uc,jaccard_top1,0.33847108369621204,0.0004,True
equinorm_wc,spearman_rank,0.3391033275938546,0.0002,True
equinorm_wc,jaccard_top1,0.3624855870723722,0.0002,True
max_equiangular_uc,spearman_rank,0.5007442308579361,0.0002,True
max_equiangular_uc,jaccard_top1,0.17623977199948607,0.0252,True
max_equiangular_wc,spearman_rank,0.7016904953407823,0.0001,True
max_equiangular_wc,jaccard_top1,0.4233223289586444,0.0001,True
self_duality,spearman_rank,0.5810555524855407,0.0001,True
self_duality,jaccard_top1,0.4249232958503884,0.0003,True
