nc_metric,method_distance,r,p,significant
var_collapse,spearman_rank,0.33114821365646047,0.0017,True
var_collapse,jaccard_top1,0.15948985020586018,0.0394,True
equiangular_uc,spearman_rank,0.739679147548906,0.0001,True
equiangular_uc,jaccard_top1,0.49626930561836136,0.0002,True
equiangular_wc,spearman_rank,0.8007948489758863,0.0001,True
equiangular_wc,jaccard_top1,0.6234970998853063,0.0001,True
equinorm_uc,spearman_rank,0.6032461430092568,0.0001,True
equinorm_uc,jaccard_top1,0.4084841502736013,0.0002,True
equinorm_wc,spearman_rank,0.3380644304192458,0.0004,True
equinorm_wc,jaccard_top1,0.198932489128045,0.0168,True
max_equiangular_uc,spearman_rank,0.8071730600076933,0.0001,True
max_equiangular_uc,jaccard_top1,0.5518935399958015,0.0002,True
max_equiangular_wc,spearman_rank,0.7976324250450149,0.0001,True
max_equiangular_wc,jaccard_top1,0.5603888776098106,0.0001,True
self_duality,spearman_rank,0.4251846169829012,0.0001,True
self_duality,jaccard_top1,0.2757950675405077,0.0025,True
