,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-0.9561385333818095,-0.1636464296510685,-0.4969558034802139,0.09498397329542883,0.37088315257472326,-0.3433990618664955,-0.5648272056297327,0.09367010155680863
CTMmean,-0.850630354481259,-0.336170702871893,-0.43743729503452483,-0.13105639013601608,0.016912643670852077,-0.45865508264729027,-0.4390968903082689,-0.49986421736609254
CTMmeanOC,-1.0327612660700907,-0.26793519306644453,-0.4136375404868628,-0.09344822752642733,0.19841205574367435,-0.3864795551790139,-0.39750751472305945,-0.6272755989546008
Energy,0.8857619663386781,0.062036643799910626,0.8016697094924515,-0.29657402507642266,-0.552408115454162,0.39565884058116296,0.9578001631646121,-0.8155159352740717
GEN,-0.1591825888849147,0.3582502196384932,0.15988239321379796,0.4678558489681841,0.4883358179098734,0.26968435450805067,0.1181967272044232,0.48726474299435146
KPCA RecError global,0.610358684252166,-0.24782699517646092,-0.35362760299101126,-0.34842645566698666,-0.5355770322373922,-0.23659404463229744,-0.37819330573303656,0.31311803480446054
NNGuide,0.8279741483960396,-0.13493898306234814,0.49480427787597187,-0.23694151304549355,-0.5454623028375476,0.08720005380809864,0.6170353545992211,-0.46388525390334107
NeCo,0.8857619663386781,0.062036643799910626,0.8016697094924515,-0.29657402507642266,-0.552408115454162,0.39565884058116296,0.9578001631646121,-0.8155159352740717
REN,-0.18929634237718396,0.37574184097225044,0.14975330168233142,0.37334328713699766,0.4851793033651033,0.27481605520678415,0.09927933009960317,0.4867938384388508
fDBD,0.6801952779431434,0.19105410185539287,-0.6832358383102666,0.2893109705560497,0.1371782873072518,-0.051132096951048575,-0.8810854695205838,1.8221635126076967
