,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-1.604848834799498,-0.16448295758091797,-0.8792829796832572,-0.21958465581419312,-1.365615761376526,0.1921031716933594,-0.808557727840106,1.0710927924454354
CTMmeanOC,-2.536536286961742,0.12601218791533897,0.6631965665168247,-1.4276898376858498,1.2852032840246865,-0.07767283592136727,0.881488026272529,-0.38397980018044975
Confidence,-0.7021837907264681,-0.12357231594548376,-0.3208092396071622,-1.186263072545764,1.4176821666514976,-0.2853152444291804,-1.2892130220298599,-1.0806625975504984
Energy,1.6098314994812586,1.0984051048163732,-0.15769293537574666,-0.39877526386944917,-0.854446485463991,0.8160480385306407,-0.6150439824950219,1.9988480584539805
GradNorm,-0.5661156920205382,0.37401367600954627,0.8450686704357319,0.8108131497096306,-0.13448758760617932,0.4220902211425513,0.8239694532995732,0.8208861332236372
NNGuide,0.8927360183984009,1.634080117478902,-0.4823768700114366,-1.0158403160796512,0.675423580733455,0.7912965340741637,-0.4910342551508015,0.7558882409579994
PCA RecError global,1.6376696982522445,-0.40668982633338197,1.5510141798251604,0.6087109449973223,0.3629399010606004,0.4889759615210903,2.067725842046393,-0.5302696780822095
PE,0.04953426759415443,-0.9320023305594074,1.3107472290150268,-1.418497496929536,-1.003838985188645,-0.5937534880804916,1.5054621066167724,-0.9700375977008372
REN,-0.29033168430311257,-0.9348825831276742,0.5303109612840712,-1.1158935142292763,0.8144548272148574,-0.7721436289029645,0.8530826907992165,0.9296994113729197
Residual,0.7149349620294588,-0.8548397506278818,-0.135187749473888,3.170377184618416,-0.8359621606550558,-1.4753679852428534,-0.5552697281863284,-1.094240570939197
ViM,0.33960947801753066,0.6098011162475628,-1.9920176229278503,1.9527636215033277,-0.5225711106228452,0.7825874521409614,-1.5548249163137278,-2.5057994311539757
fDBD,0.4557003650383113,-0.4258424382929783,-0.9329702099974799,0.2398792563250207,0.16121833122815057,-0.28884819652591465,-0.8177844870186388,0.9885750391531908
