,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-1.06320340731308,-0.11762318113211731,0.09084505158150367,-0.007783528631397078,-0.5723199099447513,0.03328374784992285,0.16273255055021402,-0.7477231272341833
CTMmean,-1.2775962532670133,0.2630868578396218,-0.6803771805995545,0.643733398832465,0.29004379393888624,0.09080431418231459,-0.23773693970337562,-0.16586688296316773
CTMmeanOC,-1.0917098259620914,0.316928431307719,-0.6251608436555447,0.8617712428299257,0.24683592151566716,0.1399433535092931,-0.3355442999538182,-0.21763684578586737
Confidence,1.0008006586954974,-0.49057521234214385,-0.35599333606344413,-0.6836392879421436,0.6092508560216513,-0.4987686747204733,-0.6151356561371865,0.29153610642039274
GE,0.555493684423009,-0.6101199513642768,0.0630391086087784,-0.6541038320563026,-0.15139676240366487,-0.6581829171948413,-0.2792874062809194,-0.1478259196575374
KPCA RecError global,0.18977391742197602,-0.26378987740402704,0.5862240191186151,-0.5602626438800938,-0.13642918716652858,-0.07648822925498432,0.3412867753757346,-0.13867004523310814
Maha,0.7582613665394953,0.25600061081913716,0.5901963224715885,-0.003206932073125359,-0.6865496120473191,0.38251067548964596,0.3055347355894155,0.15002005832171375
NNGuide,-0.09804594764430916,0.2912147664060866,-0.3271539439318796,0.4270152180063138,0.5977761041573476,0.22345784796344834,-0.12418712690854602,0.45255843590578765
PE,0.75295963360254,-0.5872431058091604,-0.2272629215518426,-0.8497391112194557,-0.1760116466928004,-0.5863908843704931,-0.44560291771588345,-0.12777754094605367
Residual,0.6097330353003686,0.206421362598316,0.5401316781398444,0.05200486016311182,-0.5755599374491563,0.351481574111913,0.2805434661061367,0.12034290707937915
ViM,0.7582613665394953,0.25600061081913716,0.5901963224715885,-0.003206932073125359,-0.6865496120473191,0.38251067548964596,0.3055347355894155,0.15002005832171375
fDBD,-0.1960246168190862,0.2510639784857101,-0.23897932526451882,0.2635970851383767,0.506821700440186,0.1996422200947747,0.009351093413551679,0.3305776347013033
pNML,0.3153810890483509,0.07820622879814786,0.6070318784153413,-0.22420306106328353,-0.2638109507423678,0.17584790085758262,0.5389361681781903,0.08270446335643133
