,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-0.5126955748027008,-0.6498209927798798,-0.7957870668378582,-0.2291133292030109,0.4405738197735915,-0.7708356557684028,-0.7520176289438003,-0.2956642342271828
CTMmeanOC,0.1002632026585122,0.42979163830195977,-0.67223374642798,0.34952071260328516,0.7759398822304419,0.31473057170912705,-0.604471447309123,0.6608895526105805
Energy,0.812653221885805,-0.028272604027274655,0.7154143072482172,-0.743127914611061,-0.5940431936167935,0.17824012160309172,0.7631854226648411,0.05059963345933381
GE,0.5085572049224224,0.8648284486367671,0.07411572560109252,0.45218980873655495,0.3137652280739142,0.8648495222541233,0.10423895747748557,0.7936963075806786
GEN,0.1002632026585122,0.42979163830195977,-0.67223374642798,0.34952071260328516,0.7759398822304419,0.31473057170912705,-0.604471447309123,0.6608895526105805
GradNorm,0.1002632026585122,0.42979163830195977,-0.67223374642798,0.34952071260328516,0.7759398822304419,0.31473057170912705,-0.604471447309123,0.6608895526105805
MLS,0.812653221885805,-0.028272604027274655,0.7154143072482172,-0.743127914611061,-0.5940431936167935,0.17824012160309172,0.7631854226648411,0.05059963345933381
MSR,0.1002632026585122,0.42979163830195977,-0.67223374642798,0.34952071260328516,0.7759398822304419,0.31473057170912705,-0.604471447309123,0.6608895526105805
NNGuide,1.1704612920252686,0.39524270137284756,0.19946991805246134,-0.6081578622210818,0.07067462363099704,0.532683557966786,0.3406759461826228,0.7731108745550916
NeCo,0.5085572049224224,0.8648284486367671,0.07411572560109252,0.45218980873655495,0.3137652280739142,0.8648495222541233,0.10423895747748557,0.7936963075806786
PCE,0.1002632026585122,0.42979163830195977,-0.67223374642798,0.34952071260328516,0.7759398822304419,0.31473057170912705,-0.604471447309123,0.6608895526105805
PE,0.1002632026585122,0.42979163830195977,-0.67223374642798,0.34952071260328516,0.7759398822304419,0.31473057170912705,-0.604471447309123,0.6608895526105805
REN,0.1002632026585122,0.42979163830195977,-0.67223374642798,0.34952071260328516,0.7759398822304419,0.31473057170912705,-0.604471447309123,0.6608895526105805
fDBD,0.1002632026585122,0.42979163830195977,-0.67223374642798,0.34952071260328516,0.7759398822304419,0.31473057170912705,-0.604471447309123,0.6608895526105805
