,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-1.0311316213738584,1.8726486880452735,-1.0685638638920538,1.6460734552590126,-0.03382692457199874,0.7952211418025662,-1.4633167905738198,-3.19795450443377
CTMmean,2.1999238536401404,0.0833990167300244,-0.2247451017997191,-1.2152566448279305,-2.317629530724614,0.5368860099300388,-0.7972419577117922,1.752705975363244
CTMmeanOC,2.1999238536401404,0.0833990167300244,-0.2247451017997191,-1.2152566448279305,-2.317629530724614,0.5368860099300388,-0.7972419577117922,1.752705975363244
Energy,0.6509242305140369,-1.062001059258363,1.5994955878850994,-1.7783805287631143,-1.0673248675636977,0.05294387960649137,2.1645390090301286,-2.0688930630587303
KPCA RecError global,2.1999238536401404,0.0833990167300244,-0.2247451017997191,-1.2152566448279305,-2.317629530724614,0.5368860099300388,-0.7972419577117922,1.752705975363244
MLS,0.6509242305140369,-1.062001059258363,1.5994955878850994,-1.7783805287631143,-1.0673248675636977,0.05294387960649137,2.1645390090301286,-2.0688930630587303
NNGuide,0.6509242305140369,-1.062001059258363,1.5994955878850994,-1.7783805287631143,-1.0673248675636977,0.05294387960649137,2.1645390090301286,-2.0688930630587303
NeCo,0.6509242305140369,-1.062001059258363,1.5994955878850994,-1.7783805287631143,-1.0673248675636977,0.05294387960649137,2.1645390090301286,-2.0688930630587303
ViM,2.1999238536401404,0.0833990167300244,-0.2247451017997191,-1.2152566448279305,-2.317629530724614,0.5368860099300388,-0.7972419577117922,1.752705975363244
fDBD,0.4879748005218214,-0.6246974030887213,-0.4031822058456459,-0.4775734963393346,0.48988547160087037,-0.4935861259862925,-0.4996931858430341,4.4024991640204485
