,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,-1.8644530576641734,-0.16945854663127297,-0.41228750611521664,-0.5979564291865228,-0.9348674737880667,0.0006708137856873801,-0.44599999820499303,0.3517981119640274
CTMmeanOC,-1.2888002170944017,-0.035877682629382235,-0.0682379466195659,-0.5169082836371536,0.8655928460028205,-0.18701413871746725,-0.00022837181407298236,-0.35809876404452645
Confidence,-0.16785355416169365,0.026537653560188834,-0.34890984739763536,0.0762981065487133,0.25267130109281327,0.07942450996509125,-0.44003508928852847,-1.10275591662447
Energy,1.2459611661469179,0.2706045354358241,0.7474526927575456,-0.1670964688245015,0.12217822775591618,-0.30382486889088506,0.517142671382879,0.6911495660649793
GE,1.3393427550418469,0.2878116492668974,0.05330707271175949,0.19616236126831738,-0.09672937030117996,0.22888133187213686,-0.09540045442788231,0.6819201501377651
GradNorm,0.025592682412937762,0.7338887164506699,0.9481115426836281,1.2928922306842705,-0.42671907681226406,0.8007616992694307,0.9814134094949801,-0.11601521943985059
Maha,-0.3891875258718508,0.7222364320705437,-0.34948274537942586,0.14858990476399295,-1.050358317859357,0.6327783170570604,-0.3831016257571054,-0.11481014866114675
NNGuide,0.48924111043625307,0.6256741079289133,0.13265545075240287,-1.0849878059947402,0.6645671604228149,0.4471835939610482,0.12538053368237856,0.4540522153358353
NeCo,-0.11298141842087772,-0.0005276804885408926,0.7471471226907042,0.10866067839300933,0.5674687611112654,0.14760744636074336,0.8465695937204134,0.5620058434515415
PCA RecError global,0.6280050406359109,0.1462836934648246,0.5107418447193862,-0.40507025046152295,0.13970753672337868,0.8971581143167686,1.002742109800932,-0.8839752923499782
PE,-0.06254747482797675,-0.5032920744302513,0.1971082537424027,-0.5413337355810988,-0.4646344418365931,-0.35407967802482787,0.2239708958417737,-0.4877257526452835
REN,-0.057948956230111225,-0.6925299140353666,-0.045445562858995134,-1.1778830074403364,0.418469813844746,-0.5918564121512311,0.11741071735795731,0.6956690878225332
Residual,0.2647444370508847,-1.2732183566437465,-0.1067955718107932,1.2708399969478168,-0.9104035978229394,-1.6851625841904734,-0.4933855316899274,-0.08470374773663512
ViM,0.026902186467466078,0.3773208344784867,-0.9755064282667703,0.9669899958815139,-0.17188342202374962,0.3036301194114141,-0.9262365870216365,-1.4256445096620634
fDBD,-0.4104595171716973,-0.29732132377638787,-0.34037833973852316,0.306486173752673,1.4435408376614338,-0.3141535854691974,-0.3431490954063526,0.8904210973298498
pNML,0.33444234325056704,-0.21813204402139666,-0.6894800318709029,0.1243165328855711,-0.41860078417103846,-0.10200467855529435,-0.6870931776708125,0.24671327905742685
