,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTMmean,-0.6480614756136855,0.9978375001879201,-0.5674521401611795,-0.09074655037240503,0.32457285243777645,1.0508161898217774,0.4912253997566706,0.3330772140593771
CTMmeanOC,-0.6480614756136855,0.9978375001879201,-0.5674521401611795,-0.09074655037240503,0.32457285243777645,1.0508161898217774,0.4912253997566706,0.3330772140593771
Energy,1.1946792733968716,-0.1612583413946199,-0.07281463164301244,0.8524473823037574,-0.5018458242738383,-0.19872263432835335,-0.4744035213035238,0.31242948366651285
GE,1.1946792733968716,-0.1612583413946199,-0.07281463164301244,0.8524473823037574,-0.5018458242738383,-0.19872263432835335,-0.4744035213035238,0.31242948366651285
KPCA RecError global,-0.9656731394705875,-0.4168635932594759,-0.11425443298916113,-0.7333702978071028,-0.37359586180439525,-0.5645656592590426,-1.283589716284463,0.18022828004386318
MLS,1.1946792733968716,-0.1612583413946199,-0.07281463164301244,0.8524473823037574,-0.5018458242738383,-0.19872263432835335,-0.4744035213035238,0.31242948366651285
Maha,-0.9656731394705875,-0.4168635932594759,-0.11425443298916113,-0.7333702978071028,-0.37359586180439525,-0.5645656592590426,-1.283589716284463,0.18022828004386318
PE,1.1946792733968716,-0.1612583413946199,-0.07281463164301244,0.8524473823037574,-0.5018458242738383,-0.19872263432835335,-0.4744035213035238,0.31242948366651285
ViM,-0.9656731394705875,-0.4168635932594759,-0.11425443298916113,-0.7333702978071028,-0.37359586180439525,-0.5645656592590426,-1.283589716284463,0.18022828004386318
fDBD,-0.9656731394705875,-0.4168635932594759,-0.11425443298916113,-0.7333702978071028,-0.37359586180439525,-0.5645656592590426,-1.283589716284463,0.18022828004386318
pNML,0.04743928448634417,-0.3851160363991508,0.5766441645434525,-0.2036717819259407,0.46568900797228924,-0.2883906008379582,0.9523162391675583,-0.6888775792137085
