feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
self_duality,0.4648829627636719,0.14218277072661964,1,1
var_collapse,0.35457143157156806,0.13921630740329108,4,2
cdnv_score,0.24352166542223982,0.13316122604689937,7,3
max_equiangular_wc,0.4167459120647228,0.0915379936414003,2,4
wM_etf_diff,0.22502735975816102,0.08645710785630496,8,5
equiangular_wc,0.36643121982978405,0.0841796503557584,3,6
M_etf_diff,0.22048430248918935,0.08331490915053882,9,7
w_etf_diff,0.25986225940371277,0.06466244562057347,6,8
equiangular_uc,0.1707169809208462,0.05939693243432458,11,9
max_equiangular_uc,0.21324442076206432,0.05932168478434744,10,10
bias_collapse,0.28373187989656645,0.031172751365050114,5,11
equinorm_wc,0.0686565188845533,0.014508249140565968,13,12
equinorm_uc,0.10980947241924444,0.01088797147432586,12,13
