feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
equiangular_wc,0.13116369863557992,0.10868325261024421,12,1
bias_collapse,0.2417348948740943,0.1073334160747805,4,2
max_equiangular_uc,0.13930813568689032,0.10398380647637934,9,3
self_duality,0.2808974680669696,0.10304545240838216,2,4
equinorm_wc,0.2835819664720815,0.10240498558402664,1,5
equinorm_uc,0.26356617535846366,0.08876257277854263,3,6
max_equiangular_wc,0.06052911713730428,0.08271582257601022,13,7
equiangular_uc,0.16920550805811554,0.08176559187462264,6,8
cdnv_score,0.1564296502458705,0.08155795166878924,7,9
w_etf_diff,0.13598587492579883,0.05535758644007816,11,10
var_collapse,0.22953125406681796,0.03133317514028855,5,11
wM_etf_diff,0.1366415113911941,0.02698901075902052,10,12
M_etf_diff,0.14333123446538742,0.026067375608835378,8,13
