feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
equinorm_wc,0.6491131420503605,0.10544597553070666,1,1
equinorm_uc,0.2985135321841988,0.09669815302651708,6,2
var_collapse,0.2239585526928554,0.08905545671402415,11,3
max_equiangular_wc,0.5577084634816311,0.08783695890446339,2,4
cdnv_score,0.25553029071589656,0.08634179709608791,10,5
self_duality,0.3086875882742222,0.08400167418022891,5,6
equiangular_uc,0.2669397750595019,0.07485088048322928,9,7
w_etf_diff,0.2941112533509775,0.0731043310218896,7,8
equiangular_wc,0.48203185476410293,0.07065395684845943,3,9
max_equiangular_uc,0.2678846675275753,0.06799494688751273,8,10
bias_collapse,0.3901688351691679,0.06685377518053405,4,11
wM_etf_diff,0.2054158418005442,0.06134883596570217,13,12
M_etf_diff,0.20985763338698213,0.03581325816064452,12,13
