feature,lr_mean_abs_coef,rf_gini_importance,lr_rank,rf_rank
max_equiangular_wc,0.28782493023311906,0.1317344992013531,2,1
equinorm_wc,0.21715111769463966,0.10889291224554679,9,2
self_duality,0.22062894754769952,0.10184529387848223,8,3
wM_etf_diff,0.23209245747233076,0.09780217065136236,4,4
M_etf_diff,0.2296374246436409,0.08090911915448483,5,5
cdnv_score,0.22514564228898176,0.08047223466793717,7,6
equiangular_uc,0.22882400237270728,0.07080764910025578,6,7
max_equiangular_uc,0.21187785514134125,0.06249851484981888,10,8
bias_collapse,0.20687657617554578,0.061960177704710795,11,9
var_collapse,0.2610569720528015,0.05974045919615447,3,10
equinorm_uc,0.16999367016047295,0.05533120686190221,13,11
w_etf_diff,0.1942874632973237,0.04927739806180417,12,12
equiangular_wc,0.3909795162847431,0.03872836442618718,1,13
