method,feature,iv,n_bins,quality_score
CTM,var_collapse,0.0,1,0.0
CTM,equiangular_uc,0.0,1,0.0
CTM,equiangular_wc,0.0,1,0.0
CTM,equinorm_uc,0.0,1,0.0
CTM,equinorm_wc,0.0,1,0.0
CTM,max_equiangular_uc,0.0,1,0.0
CTM,max_equiangular_wc,0.0,1,0.0
CTM,self_duality,0.0,1,0.0
Energy,var_collapse,0.0,1,0.0
Energy,equiangular_uc,0.0,1,0.0
Energy,equiangular_wc,0.0,1,0.0
Energy,equinorm_uc,0.0,1,0.0
Energy,equinorm_wc,0.0,1,0.0
Energy,max_equiangular_uc,0.0,1,0.0
Energy,max_equiangular_wc,0.0,1,0.0
Energy,self_duality,0.0,1,0.0
GE,var_collapse,0.0,1,0.0
GE,equiangular_uc,0.0,1,0.0
GE,equiangular_wc,0.0,1,0.0
GE,equinorm_uc,0.0,1,0.0
GE,equinorm_wc,0.0,1,0.0
GE,max_equiangular_uc,0.0,1,0.0
GE,max_equiangular_wc,0.0,1,0.0
GE,self_duality,0.0,1,0.0
MLS,var_collapse,0.0,1,0.0
MLS,equiangular_uc,0.0,1,0.0
MLS,equiangular_wc,0.0,1,0.0
MLS,equinorm_uc,0.0,1,0.0
MLS,equinorm_wc,0.0,1,0.0
MLS,max_equiangular_uc,0.0,1,0.0
MLS,max_equiangular_wc,0.0,1,0.0
MLS,self_duality,0.0,1,0.0
MSR,var_collapse,0.0,1,0.0
MSR,equiangular_uc,0.0,1,0.0
MSR,equiangular_wc,0.0,1,0.0
MSR,equinorm_uc,0.0,1,0.0
MSR,equinorm_wc,0.0,1,0.0
MSR,max_equiangular_uc,0.0,1,0.0
MSR,max_equiangular_wc,0.0,1,0.0
MSR,self_duality,0.0,1,0.0
NNGuide,var_collapse,0.0,1,0.0
NNGuide,equiangular_uc,0.0,1,0.0
NNGuide,equiangular_wc,0.0,1,0.0
NNGuide,equinorm_uc,0.0,1,0.0
NNGuide,equinorm_wc,0.0,1,0.0
NNGuide,max_equiangular_uc,0.0,1,0.0
NNGuide,max_equiangular_wc,0.0,1,0.0
NNGuide,self_duality,0.0,1,0.0
NeCo,var_collapse,0.0,1,0.0
NeCo,equiangular_uc,0.0,1,0.0
NeCo,equiangular_wc,0.0,1,0.0
NeCo,equinorm_uc,0.0,1,0.0
NeCo,equinorm_wc,0.0,1,0.0
NeCo,max_equiangular_uc,0.0,1,0.0
NeCo,max_equiangular_wc,0.0,1,0.0
NeCo,self_duality,0.0,1,0.0
PCE,var_collapse,0.0,1,0.0
PCE,equiangular_uc,0.0,1,0.0
PCE,equiangular_wc,0.0,1,0.0
PCE,equinorm_uc,0.0,1,0.0
PCE,equinorm_wc,0.0,1,0.0
PCE,max_equiangular_uc,0.0,1,0.0
PCE,max_equiangular_wc,0.0,1,0.0
PCE,self_duality,0.0,1,0.0
PE,var_collapse,0.0,1,0.0
PE,equiangular_uc,0.0,1,0.0
PE,equiangular_wc,0.0,1,0.0
PE,equinorm_uc,0.0,1,0.0
PE,equinorm_wc,0.0,1,0.0
PE,max_equiangular_uc,0.0,1,0.0
PE,max_equiangular_wc,0.0,1,0.0
PE,self_duality,0.0,1,0.0
fDBD,var_collapse,0.0,1,0.0
fDBD,equiangular_uc,0.0,1,0.0
fDBD,equiangular_wc,0.0,1,0.0
fDBD,equinorm_uc,0.0,1,0.0
fDBD,equinorm_wc,0.0,1,0.0
fDBD,max_equiangular_uc,0.0,1,0.0
fDBD,max_equiangular_wc,0.0,1,0.0
fDBD,self_duality,0.0,1,0.0
