method,feature,iv,n_bins,quality_score
CTM,var_collapse,0.80350669258148,2,0.27502421509576314
CTM,equiangular_uc,0.2871957406031942,2,0.6014367857281914
CTM,equiangular_wc,0.0020675404137665146,2,0.0014061449829221695
CTM,equinorm_uc,0.1510435941014754,3,0.38503069631453146
CTM,equinorm_wc,0.36277191309800755,3,0.7268222616824004
CTM,max_equiangular_uc,0.1314063214875527,2,0.3150093987323595
CTM,max_equiangular_wc,0.20938545674362904,2,0.4541452522985444
CTM,self_duality,0.9925990515642887,3,0.1172687859082383
CTM,dropout,0.0,1,0.0
CTMmean,var_collapse,1.7803708015323545,3,0.00022447733325125154
CTMmean,equiangular_uc,0.8567927103218016,3,0.2749323659275385
CTMmean,equiangular_wc,1.121822349847191,3,0.06837037985632526
CTMmean,equinorm_uc,1.0313050393010625,3,0.11599519742842654
CTMmean,equinorm_wc,0.1706410458697241,3,0.3420054046344917
CTMmean,max_equiangular_uc,1.763519023755331,3,0.0002906469276300298
CTMmean,max_equiangular_wc,0.8219616617196005,3,0.3239025932396445
CTMmean,self_duality,0.9423730656192694,3,0.18696720356251556
CTMmean,dropout,0.0,1,0.0
Energy,var_collapse,0.2425428439150628,3,0.4191258992478638
Energy,equiangular_uc,1.148690160499149,3,0.054478245061602336
Energy,equiangular_wc,0.40026832704361937,3,0.8119371337915474
Energy,equinorm_uc,1.8833731041274338,3,7.577302668285881e-05
Energy,equinorm_wc,1.3345022968271383,3,0.004949990685961416
Energy,max_equiangular_uc,0.9946528059748543,3,0.11770569850388844
Energy,max_equiangular_wc,0.1486705396396602,2,0.36860717733690934
Energy,self_duality,0.7229843272539053,3,0.13372182693196188
Energy,dropout,0.0,1,0.0
KPCA RecError global,var_collapse,1.7803708015323545,3,0.00022447733325125154
KPCA RecError global,equiangular_uc,0.8567927103218016,3,0.2749323659275385
KPCA RecError global,equiangular_wc,1.121822349847191,3,0.06837037985632526
KPCA RecError global,equinorm_uc,1.0313050393010625,3,0.11599519742842654
KPCA RecError global,equinorm_wc,0.1706410458697241,3,0.3420054046344917
KPCA RecError global,max_equiangular_uc,1.763519023755331,3,0.0002906469276300298
KPCA RecError global,max_equiangular_wc,0.8219616617196005,3,0.3239025932396445
KPCA RecError global,self_duality,0.9423730656192694,3,0.18696720356251556
KPCA RecError global,dropout,0.0,1,0.0
MLS,var_collapse,0.2425428439150628,3,0.4191258992478638
MLS,equiangular_uc,1.148690160499149,3,0.054478245061602336
MLS,equiangular_wc,0.40026832704361937,3,0.8119371337915474
MLS,equinorm_uc,1.8833731041274338,3,7.577302668285881e-05
MLS,equinorm_wc,1.3345022968271383,3,0.004949990685961416
MLS,max_equiangular_uc,0.9946528059748543,3,0.11770569850388844
MLS,max_equiangular_wc,0.1486705396396602,2,0.36860717733690934
MLS,self_duality,0.7229843272539053,3,0.13372182693196188
MLS,dropout,0.0,1,0.0
NNGuide,var_collapse,0.2425428439150628,3,0.4191258992478638
NNGuide,equiangular_uc,1.148690160499149,3,0.054478245061602336
NNGuide,equiangular_wc,0.40026832704361937,3,0.8119371337915474
NNGuide,equinorm_uc,1.8833731041274338,3,7.577302668285881e-05
NNGuide,equinorm_wc,1.3345022968271383,3,0.004949990685961416
NNGuide,max_equiangular_uc,0.9946528059748543,3,0.11770569850388844
NNGuide,max_equiangular_wc,0.1486705396396602,2,0.36860717733690934
NNGuide,self_duality,0.7229843272539053,3,0.13372182693196188
NNGuide,dropout,0.0,1,0.0
fDBD,var_collapse,0.5153999374135743,3,0.6954492784542382
fDBD,equiangular_uc,0.9664408377267739,3,0.038955273001233214
fDBD,equiangular_wc,3.115228385652471,3,3.7625586558186533e-13
fDBD,equinorm_uc,0.6295545176156256,3,0.5886256309460001
fDBD,equinorm_wc,0.7287852227655421,3,0.3795515169786263
fDBD,max_equiangular_uc,1.2033451249118676,2,0.029284399043349233
fDBD,max_equiangular_wc,2.0441752815450394,3,1.1360335211999403e-05
fDBD,self_duality,1.3114476286310994,2,0.011881127555578616
fDBD,dropout,0.0,1,0.0
