method,feature,iv,n_bins,quality_score
CTM,var_collapse,0.0,1,0.0
CTM,equiangular_uc,0.0,1,0.0
CTM,equiangular_wc,0.0,1,0.0
CTM,equinorm_uc,0.8514325413285857,3,0.27812573677372543
CTM,equinorm_wc,0.17871135938853533,3,0.13715088499119168
CTM,max_equiangular_uc,1.6042059477329698,3,0.0011205439981145707
CTM,max_equiangular_wc,0.0,1,0.0
CTM,self_duality,0.0,1,0.0
Energy,var_collapse,0.0,1,0.0
Energy,equiangular_uc,0.10161867360625293,2,0.15200716817396664
Energy,equiangular_wc,0.7445307405023648,2,0.2515259025931834
Energy,equinorm_uc,0.9924796206775053,3,0.09279720267582453
Energy,equinorm_wc,0.68189923689537,3,0.0
Energy,max_equiangular_uc,0.5545177444479562,3,0.49011378353331386
Energy,max_equiangular_wc,0.16945957207744072,2,0.3653226991775842
Energy,self_duality,0.0,1,0.0
MLS,var_collapse,0.0,1,0.0
MLS,equiangular_uc,0.0,1,0.0
MLS,equiangular_wc,0.0,1,0.0
MLS,equinorm_uc,0.8514325413285857,3,0.27812573677372543
MLS,equinorm_wc,0.17871135938853536,3,0.1371508849911917
MLS,max_equiangular_uc,1.6042059477329698,3,0.0011205439981145707
MLS,max_equiangular_wc,0.0,1,0.0
MLS,self_duality,0.0,1,0.0
NNGuide,var_collapse,0.08310684842008985,3,0.09062068280527608
NNGuide,equiangular_uc,0.0,1,0.0
NNGuide,equiangular_wc,0.019178804830118742,2,0.020159490255272777
NNGuide,equinorm_uc,0.15271512197902587,2,0.2551224107827671
NNGuide,equinorm_wc,0.30945789755496556,3,0.23844191160682235
NNGuide,max_equiangular_uc,0.7377758908227872,3,0.36824852529987007
NNGuide,max_equiangular_wc,0.28092698767605184,2,0.4704695756369256
NNGuide,self_duality,0.0,1,0.0
NeCo,var_collapse,0.08310684842008985,3,0.09062068280527608
NeCo,equiangular_uc,0.0,1,0.0
NeCo,equiangular_wc,1.0051808059391372,3,0.11761850511804041
NeCo,equinorm_uc,0.5792866063849288,3,0.3402036807787903
NeCo,equinorm_wc,0.37195035510038676,3,0.014553614711920534
NeCo,max_equiangular_uc,0.0,1,0.0
NeCo,max_equiangular_wc,0.0,1,0.0
NeCo,self_duality,0.0,1,0.0
PCE,var_collapse,0.0,1,0.0
PCE,equiangular_uc,1.2148432510074667,2,0.021698335073197943
PCE,equiangular_wc,0.1146935020297482,2,0.15510866870948423
PCE,equinorm_uc,0.0,1,0.0
PCE,equinorm_wc,0.0,1,0.0
PCE,max_equiangular_uc,0.09241962407465937,2,0.12684049428877142
PCE,max_equiangular_wc,0.03373241081821368,2,0.04097246599941033
PCE,self_duality,0.0,1,0.0
PE,var_collapse,0.0,1,0.0
PE,equiangular_uc,1.2148432510074667,2,0.021698335073197943
PE,equiangular_wc,0.1146935020297482,2,0.15510866870948423
PE,equinorm_uc,0.0,1,0.0
PE,equinorm_wc,0.0,1,0.0
PE,max_equiangular_uc,0.09241962407465937,2,0.12684049428877142
PE,max_equiangular_wc,0.03373241081821368,2,0.04097246599941033
PE,self_duality,0.0,1,0.0
fDBD,var_collapse,0.0,1,0.0
fDBD,equiangular_uc,1.2148432510074667,2,0.021698335073197943
fDBD,equiangular_wc,0.1146935020297482,2,0.15510866870948423
fDBD,equinorm_uc,0.0,1,0.0
fDBD,equinorm_wc,0.0,1,0.0
fDBD,max_equiangular_uc,0.09241962407465937,2,0.12684049428877142
fDBD,max_equiangular_wc,0.03373241081821368,2,0.04097246599941033
fDBD,self_duality,0.0,1,0.0
