method,feature,iv,n_bins,quality_score
GE,var_collapse,0.0,1,0.0
GE,equiangular_uc,0.2699853433898032,2,0.26513899825334886
GE,equiangular_wc,0.6240307722527672,3,0.45455162776743857
GE,equinorm_uc,0.0,1,0.0
GE,equinorm_wc,2.2514699724623357,3,6.06129279859338e-07
GE,max_equiangular_uc,0.0,2,0.0
GE,max_equiangular_wc,0.6863274648639169,2,0.290740633182414
GE,self_duality,0.0,1,0.0
GE,dropout,0.0,1,0.0
GradNorm,var_collapse,0.0,1,0.0
GradNorm,equiangular_uc,0.2699853433898032,2,0.26513899825334886
GradNorm,equiangular_wc,0.6240307722527672,3,0.45455162776743857
GradNorm,equinorm_uc,0.0,1,0.0
GradNorm,equinorm_wc,2.2514699724623357,3,6.06129279859338e-07
GradNorm,max_equiangular_uc,0.0,2,0.0
GradNorm,max_equiangular_wc,0.6863274648639169,2,0.290740633182414
GradNorm,self_duality,0.0,1,0.0
GradNorm,dropout,0.0,1,0.0
Residual,var_collapse,0.0,1,0.0
Residual,equiangular_uc,0.2699853433898031,2,0.26513899825334897
Residual,equiangular_wc,0.6240307722527672,3,0.45455162776743857
Residual,equinorm_uc,0.0,1,0.0
Residual,equinorm_wc,2.2514699724623357,3,6.06129279859338e-07
Residual,max_equiangular_uc,0.0,2,0.0
Residual,max_equiangular_wc,0.6863274648639169,2,0.290740633182414
Residual,self_duality,0.0,1,0.0
Residual,dropout,0.0,1,0.0
ViM,var_collapse,0.0,1,0.0
ViM,equiangular_uc,0.0,1,0.0
ViM,equiangular_wc,0.5468216403343434,3,0.580814682021346
ViM,equinorm_uc,1.637877329474493,2,0.0008637574148519122
ViM,equinorm_wc,0.588301785660695,3,0.4553521353491264
ViM,max_equiangular_uc,0.5364793041447002,2,0.4302469180658073
ViM,max_equiangular_wc,0.28092698767605184,2,0.369737303113458
ViM,self_duality,0.0,1,0.0
ViM,dropout,0.0,1,0.0
pNML,var_collapse,0.0,1,0.0
pNML,equiangular_uc,0.0,1,0.0
pNML,equiangular_wc,0.2917607683889164,3,0.289894867747496
pNML,equinorm_uc,1.0627247330045528,2,0.059951651270015144
pNML,equinorm_wc,1.8583216173314017,3,9.26651325928213e-05
pNML,max_equiangular_uc,0.5364793041447002,2,0.4302469180658073
pNML,max_equiangular_wc,0.0,1,0.0
pNML,self_duality,0.0,1,0.0
pNML,dropout,0.0,1,0.0
