Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
"(-inf, 0.01)",31,0.775,15,16,0.5161290322580645,-0.06453852113757116,0.003226926056878561,0.0004032957672104997,CTM,var_collapse,,,,
"[0.01, inf)",9,0.225,5,4,0.4444444444444444,0.22314355131420974,0.011157177565710483,0.0013917608915899552,CTM,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
,40,1.0,20,20,0.5,,0.014384103622589043,0.001795056658800455,CTM,var_collapse,,,,
"(-inf, inf)",40,1.0,20,20,0.5,0.0,0.0,0.0,CTM,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
,40,1.0,20,20,0.5,,0.0,0.0,CTM,equiangular_uc,,,,
"(-inf, inf)",40,1.0,20,20,0.5,0.0,0.0,0.0,CTM,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
,40,1.0,20,20,0.5,,0.0,0.0,CTM,equiangular_wc,,,,
"(-inf, 0.07)",20,0.5,6,14,0.7,-0.8472978603872036,0.33891914415488145,0.04114143925252589,CTM,equinorm_uc,,,,
"[0.07, 0.10)",10,0.25,5,5,0.5,0.0,0.0,0.0,CTM,equinorm_uc,,,,
"[0.10, inf)",10,0.25,9,1,0.1,2.197224577336219,0.8788898309344877,0.09201605179212427,CTM,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
,40,1.0,20,20,0.5,,1.217808975089369,0.13315749104465016,CTM,equinorm_uc,,,,
"(-inf, 0.02)",21,0.525,4,17,0.8095238095238095,-1.4469189829363251,0.9404973389086113,0.10827309732505505,CTM,equinorm_wc,,,,
"[0.02, 0.03)",10,0.25,8,2,0.2,1.3862943611198906,0.41588830833596724,0.04818618925543938,CTM,equinorm_wc,,,,
"[0.03, inf)",9,0.225,8,1,0.1111111111111111,2.0794415416798357,0.7278045395879426,0.07747089406130553,CTM,equinorm_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
,40,1.0,20,20,0.5,,2.084190186832521,0.23393018064179996,CTM,equinorm_wc,,,,
"(-inf, inf)",40,1.0,20,20,0.5,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
