Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
"(-inf, 0.01)",31,0.775,5,26,0.8387096774193549,-0.5500463369192721,0.20168365687039974,0.024897377886213698,CTM,var_collapse,,,,
"[0.01, inf)",9,0.225,5,4,0.4444444444444444,1.3217558399823193,0.4846438079935172,0.056523104791488435,CTM,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
,40,1.0,10,30,0.75,,0.6863274648639169,0.08142048267770213,CTM,var_collapse,,,,
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,CTM,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
,40,1.0,10,30,0.75,,0.0,0.0,CTM,equiangular_uc,,,,
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,CTM,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
,40,1.0,10,30,0.75,,0.0,0.0,CTM,equiangular_wc,,,,
"(-inf, 0.03)",6,0.15,3,3,0.5,1.0986122886681096,0.2197224577336219,0.02616240718822737,CTM,equinorm_uc,,,,
"[0.03, inf)",34,0.85,7,27,0.7941176470588235,-0.2513144282809061,0.05026288565618125,0.006266378626789602,CTM,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
,40,1.0,10,30,0.75,,0.2699853433898031,0.03242878581501697,CTM,equinorm_uc,,,,
"(-inf, 0.02)",28,0.7,5,23,0.8214285714285714,-0.4274440148269394,0.11398507062051727,0.01414064624298101,CTM,equinorm_wc,,,,
"[0.02, inf)",12,0.3,5,7,0.5833333333333334,0.7621400520468965,0.20323734721250578,0.024807134305936514,CTM,equinorm_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
,40,1.0,10,30,0.75,,0.3172224178330231,0.038947780548917524,CTM,equinorm_wc,,,,
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,CTM,max_equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
,40,1.0,10,30,0.75,,0.0,0.0,CTM,max_equiangular_uc,,,,
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,CTM,max_equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
,40,1.0,10,30,0.75,,0.0,0.0,CTM,max_equiangular_wc,,,,
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,CTM,self_duality,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,self_duality,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,self_duality,,,,
,40,1.0,10,30,0.75,,0.0,0.0,CTM,self_duality,,,,
"(-inf, 0.01)",31,0.775,5,26,0.8387096774193549,-0.5500463369192721,0.20168365687039974,0.024897377886213698,CTM,,var_collapse,0.0,-0.9493531504196151,-8.61945706665606
"[0.01, inf)",9,0.225,5,4,0.4444444444444444,1.3217558399823193,0.4846438079935172,0.056523104791488435,CTM,,var_collapse,1.0,-0.9493531504196151,31.91796036263495
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,2.0,-0.9493531504196151,3.2928369996208207
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,3.0,-0.9493531504196151,3.2928369996208207
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,CTM,,equiangular_uc,0.0,-7.656952451719453e-18,3.2928369996208207
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_uc,1.0,-7.656952451719453e-18,3.2928369996208207
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_uc,2.0,-7.656952451719453e-18,3.2928369996208207
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,CTM,,equiangular_wc,0.0,-7.656952451719453e-18,3.2928369996208207
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_wc,1.0,-7.656952451719453e-18,3.2928369996208207
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equiangular_wc,2.0,-7.656952451719453e-18,3.2928369996208207
"(-inf, 0.03)",6,0.15,3,3,0.5,1.0986122886681096,0.2197224577336219,0.02616240718822737,CTM,,equinorm_uc,0.0,-1.3007352971190222,35.891644336508804
"[0.03, inf)",34,0.85,7,27,0.7941176470588235,-0.2513144282809061,0.05026288565618125,0.006266378626789602,CTM,,equinorm_uc,1.0,-1.3007352971190222,-4.164343948574798
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_uc,2.0,-1.3007352971190222,3.2928369996208207
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_uc,3.0,-1.3007352971190222,3.2928369996208207
"(-inf, 0.02)",28,0.7,5,23,0.8214285714285714,-0.4274440148269394,0.11398507062051727,0.01414064624298101,CTM,,equinorm_wc,0.0,-0.7151314120927174,-3.6803839828732436
"[0.02, inf)",12,0.3,5,7,0.5833333333333334,0.7621400520468965,0.20323734721250578,0.024807134305936514,CTM,,equinorm_wc,1.0,-0.7151314120927174,15.726210302752143
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_wc,2.0,-0.7151314120927174,3.2928369996208207
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,equinorm_wc,3.0,-0.7151314120927174,3.2928369996208207
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,CTM,,max_equiangular_uc,0.0,-7.656952451719453e-18,3.2928369996208207
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,max_equiangular_uc,1.0,-7.656952451719453e-18,3.2928369996208207
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,max_equiangular_uc,2.0,-7.656952451719453e-18,3.2928369996208207
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,CTM,,max_equiangular_wc,0.0,-7.656952451719453e-18,3.2928369996208207
