Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
"(-inf, inf)",60,1.0,45,15,0.25,-2.220446049250313e-16,0.0,0.0,CTM,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,var_collapse,,,,
,60,1.0,45,15,0.25,,0.0,0.0,CTM,var_collapse,,,,
"(-inf, inf)",60,1.0,45,15,0.25,-2.220446049250313e-16,0.0,0.0,CTM,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_uc,,,,
,60,1.0,45,15,0.25,,0.0,0.0,CTM,equiangular_uc,,,,
"(-inf, inf)",60,1.0,45,15,0.25,-2.220446049250313e-16,0.0,0.0,CTM,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equiangular_wc,,,,
,60,1.0,45,15,0.25,,0.0,0.0,CTM,equiangular_wc,,,,
"(-inf, 0.06)",21,0.35,17,4,0.19047619047619047,0.3483066942682156,0.03870074380757952,0.004813286811581639,CTM,equinorm_uc,,,,
"[0.06, 0.07)",14,0.23333333333333334,6,8,0.5714285714285714,-1.3862943611198908,0.5545177444479562,0.06424825234058584,CTM,equinorm_uc,,,,
"[0.07, inf)",25,0.4166666666666667,22,3,0.12,0.8938178760220963,0.25821405307305006,0.031243493646974388,CTM,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_uc,,,,
,60,1.0,45,15,0.25,,0.8514325413285857,0.10030503279914187,CTM,equinorm_uc,,,,
"(-inf, 0.02)",14,0.23333333333333334,10,4,0.2857142857142857,-0.1823215567939548,0.008103180301953538,0.0010114969536923063,CTM,equinorm_wc,,,,
"[0.02, 0.02)",17,0.2833333333333333,11,6,0.35294117647058826,-0.4924764850977944,0.07660745323743468,0.009480320106041197,CTM,equinorm_wc,,,,
"[0.02, inf)",29,0.48333333333333334,24,5,0.1724137931034483,0.47000362924573547,0.09400072584914712,0.011643119862949983,CTM,equinorm_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,equinorm_wc,,,,
,60,1.0,45,15,0.25,,0.17871135938853533,0.022134936922683486,CTM,equinorm_wc,,,,
"(-inf, 0.07)",10,0.16666666666666666,8,2,0.2,0.2876820724517808,0.012785869886745821,0.0015927451336958942,CTM,max_equiangular_uc,,,,
"[0.07, 0.07)",10,0.16666666666666666,2,8,0.8,-2.4849066497880004,1.2148432510074667,0.12189892217189591,CTM,max_equiangular_uc,,,,
"[0.07, inf)",40,0.6666666666666666,35,5,0.125,0.8472978603872034,0.3765768268387572,0.04571271028058435,CTM,max_equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_uc,,,,
,60,1.0,45,15,0.25,,1.6042059477329698,0.16920437758617615,CTM,max_equiangular_uc,,,,
"(-inf, inf)",60,1.0,45,15,0.25,-2.220446049250313e-16,0.0,0.0,CTM,max_equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,max_equiangular_wc,,,,
,60,1.0,45,15,0.25,,0.0,0.0,CTM,max_equiangular_wc,,,,
"(-inf, inf)",60,1.0,45,15,0.25,-2.220446049250313e-16,0.0,0.0,CTM,self_duality,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,self_duality,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,self_duality,,,,
,60,1.0,45,15,0.25,,0.0,0.0,CTM,self_duality,,,,
"(-inf, inf)",60,1.0,45,15,0.25,-2.220446049250313e-16,0.0,0.0,CTM,,var_collapse,0.0,0.0,8.342505539139458
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,1.0,0.0,8.342505539139458
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTM,,var_collapse,2.0,0.0,8.342505539139458
"(-inf, inf)",60,1.0,45,15,0.25,-2.220446049250313e-16,0.0,0.0,CTM,,equiangular_uc,0.0,0.0,8.342505539139458
