Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,method,feature,Variable,Bin id,Coefficient,Points
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmeanOC,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,var_collapse,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTMmeanOC,var_collapse,,,,
"(-inf, 0.26)",34,0.85,26,8,0.23529411764705882,0.08004270767353616,0.00533618051156909,0.0006668445583198415,CTMmeanOC,equiangular_uc,,,,
"[0.26, inf)",6,0.15,4,2,0.3333333333333333,-0.4054651081081645,0.027031007207210963,0.0033559189251148036,CTMmeanOC,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,equiangular_uc,,,,
,40,1.0,30,10,0.25,,0.032367187718780055,0.004022763483434645,CTMmeanOC,equiangular_uc,,,,
"(-inf, 0.04)",7,0.175,2,5,0.7142857142857143,-2.014903020542265,0.8731246422349814,0.09376537663694065,CTMmeanOC,equiangular_wc,,,,
"[0.04, inf)",33,0.825,28,5,0.15151515151515152,0.6241543090729935,0.270466867264964,0.033270051511555446,CTMmeanOC,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,equiangular_wc,,,,
,40,1.0,30,10,0.25,,1.1435915094999454,0.1270354281484961,CTMmeanOC,equiangular_wc,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmeanOC,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,equinorm_uc,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTMmeanOC,equinorm_uc,,,,
"(-inf, 0.02)",7,0.175,5,2,0.2857142857142857,-0.1823215567939548,0.006077385226465163,0.0007586227152692193,CTMmeanOC,equinorm_wc,,,,
"[0.02, 0.02)",15,0.375,12,3,0.2,0.2876820724517808,0.028768207245178118,0.003583676550815821,CTMmeanOC,equinorm_wc,,,,
"[0.02, inf)",18,0.45,13,5,0.2777777777777778,-0.14310084364067355,0.009540056242711547,0.0011914905717647882,CTMmeanOC,equinorm_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,equinorm_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,equinorm_wc,,,,
,40,1.0,30,10,0.25,,0.044385648714354825,0.0055337898378498285,CTMmeanOC,equinorm_wc,,,,
"(-inf, 0.21)",33,0.825,26,7,0.21212121212121213,0.2135741002980589,0.03559568338300988,0.0044410231115848756,CTMmeanOC,max_equiangular_uc,,,,
"[0.21, inf)",7,0.175,4,3,0.42857142857142855,-0.8109302162163288,0.13515503603605478,0.01644617234641413,CTMmeanOC,max_equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,max_equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,max_equiangular_uc,,,,
,40,1.0,30,10,0.25,,0.17075071941906467,0.020887195457999004,CTMmeanOC,max_equiangular_uc,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmeanOC,max_equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,max_equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,max_equiangular_wc,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTMmeanOC,max_equiangular_wc,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmeanOC,self_duality,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,self_duality,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,self_duality,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTMmeanOC,self_duality,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmeanOC,dropout,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,dropout,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,dropout,,,,
,40,1.0,30,10,0.25,,0.0,0.0,CTMmeanOC,dropout,,,,
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmeanOC,,var_collapse,0.0,0.0,8.511697048537485
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,var_collapse,1.0,0.0,8.511697048537485
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,var_collapse,2.0,0.0,8.511697048537485
"(-inf, 0.26)",34,0.85,26,8,0.23529411764705882,0.08004270767353616,0.00533618051156909,0.0006668445583198415,CTMmeanOC,,equiangular_uc,0.0,-0.009216875372185965,8.535854733341353
"[0.26, inf)",6,0.15,4,2,0.3333333333333333,-0.4054651081081645,0.027031007207210963,0.0033559189251148036,CTMmeanOC,,equiangular_uc,1.0,-0.009216875372185965,8.389323648569633
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,equiangular_uc,2.0,-0.009216875372185965,8.511697048537485
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,equiangular_uc,3.0,-0.009216875372185965,8.511697048537485
"(-inf, 0.04)",7,0.175,2,5,0.7142857142857143,-2.014903020542265,0.8731246422349814,0.09376537663694065,CTMmeanOC,,equiangular_wc,0.0,-0.8873894367988869,-50.03713372175626
"[0.04, inf)",33,0.825,28,5,0.15151515151515152,0.6241543090729935,0.270466867264964,0.033270051511555446,CTMmeanOC,,equiangular_wc,1.0,-0.8873894367988869,26.6483044405049
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,equiangular_wc,2.0,-0.8873894367988869,8.511697048537485
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,equiangular_wc,3.0,-0.8873894367988869,8.511697048537485
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmeanOC,,equinorm_uc,0.0,0.0,8.511697048537485
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,equinorm_uc,1.0,0.0,8.511697048537485
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,equinorm_uc,2.0,0.0,8.511697048537485
"(-inf, 0.02)",7,0.175,5,2,0.2857142857142857,-0.1823215567939548,0.006077385226465163,0.0007586227152692193,CTMmeanOC,,equinorm_wc,0.0,-0.06507209968331143,8.123204525452024
"[0.02, 0.02)",15,0.375,12,3,0.2,0.2876820724517808,0.028768207245178118,0.003583676550815821,CTMmeanOC,,equinorm_wc,1.0,-0.06507209968331143,9.124692769606012
"[0.02, inf)",18,0.45,13,5,0.2777777777777778,-0.14310084364067355,0.009540056242711547,0.0011914905717647882,CTMmeanOC,,equinorm_wc,2.0,-0.06507209968331143,8.206776397467953
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,equinorm_wc,3.0,-0.06507209968331143,8.511697048537485
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,equinorm_wc,4.0,-0.06507209968331143,8.511697048537485
"(-inf, 0.21)",33,0.825,26,7,0.21212121212121213,0.2135741002980589,0.03559568338300988,0.0044410231115848756,CTMmeanOC,,max_equiangular_uc,0.0,-0.6607456940003227,13.132662813860309
"[0.21, inf)",7,0.175,4,3,0.42857142857142855,-0.8109302162163288,0.13515503603605478,0.01644617234641413,CTMmeanOC,,max_equiangular_uc,1.0,-0.6607456940003227,-9.03387969495283
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,max_equiangular_uc,2.0,-0.6607456940003227,8.511697048537485
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,max_equiangular_uc,3.0,-0.6607456940003227,8.511697048537485
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmeanOC,,max_equiangular_wc,0.0,0.0,8.511697048537485
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,max_equiangular_wc,1.0,0.0,8.511697048537485
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,max_equiangular_wc,2.0,0.0,8.511697048537485
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmeanOC,,self_duality,0.0,0.0,8.511697048537485
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,self_duality,1.0,0.0,8.511697048537485
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,self_duality,2.0,0.0,8.511697048537485
"(-inf, inf)",40,1.0,30,10,0.25,-2.220446049250313e-16,0.0,0.0,CTMmeanOC,,dropout,0.0,0.0,8.511697048537485
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,dropout,1.0,0.0,8.511697048537485
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,CTMmeanOC,,dropout,2.0,0.0,8.511697048537485
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,KPCA RecError global,var_collapse,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,KPCA RecError global,var_collapse,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,KPCA RecError global,var_collapse,,,,
,40,1.0,10,30,0.75,,0.0,0.0,KPCA RecError global,var_collapse,,,,
"(-inf, 0.26)",34,0.85,7,27,0.7941176470588235,-0.2513144282809061,0.05026288565618125,0.006266378626789602,KPCA RecError global,equiangular_uc,,,,
"[0.26, inf)",6,0.15,3,3,0.5,1.0986122886681096,0.2197224577336219,0.02616240718822737,KPCA RecError global,equiangular_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,KPCA RecError global,equiangular_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,KPCA RecError global,equiangular_uc,,,,
,40,1.0,10,30,0.75,,0.2699853433898031,0.03242878581501697,KPCA RecError global,equiangular_uc,,,,
"(-inf, 0.04)",12,0.3,1,11,0.9166666666666666,-1.2992829841302593,0.3464754624347361,0.04049904633353364,KPCA RecError global,equiangular_wc,,,,
"[0.04, 0.04)",11,0.275,5,6,0.5454545454545454,0.9162907318741551,0.2748872195622465,0.03320715719114084,KPCA RecError global,equiangular_wc,,,,
"[0.04, inf)",17,0.425,4,13,0.7647058823529411,-0.08004270767353638,0.0026680902557845447,0.00033342227915992076,KPCA RecError global,equiangular_wc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,KPCA RecError global,equiangular_wc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,KPCA RecError global,equiangular_wc,,,,
,40,1.0,10,30,0.75,,0.6240307722527672,0.0740396258038344,KPCA RecError global,equiangular_wc,,,,
"(-inf, inf)",40,1.0,10,30,0.75,-4.440892098500626e-16,0.0,0.0,KPCA RecError global,equinorm_uc,,,,
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,KPCA RecError global,equinorm_uc,,,,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,KPCA RecError global,equinorm_uc,,,,
