method,feature,mean_abs_shap,mean_shap
CTM,var_collapse,0.011269051414272006,-0.0026097829866212224
CTM,equiangular_uc,0.10059776334776342,0.0007642496392496368
CTM,equiangular_wc,0.11522420634920642,-0.0002857142857142947
CTM,equinorm_uc,0.07000000000000003,0.0
CTM,equinorm_wc,0.011287608225108225,0.00048439754689754805
CTM,max_equiangular_uc,0.10377678571428577,-0.0011904761904761932
CTM,max_equiangular_wc,0.078333400974026,-3.997564935065562e-05
CTM,self_duality,0.009475859618322854,0.0016273019260151615
Energy,var_collapse,0.011269051414272004,0.002609782986621221
Energy,equiangular_uc,0.10059776334776341,-0.0007642496392496368
Energy,equiangular_wc,0.11522420634920642,0.0002857142857142933
Energy,equinorm_uc,0.07000000000000003,4.163336342344337e-18
Energy,equinorm_wc,0.011287608225108225,-0.00048439754689754707
Energy,max_equiangular_uc,0.1037767857142858,0.0011904761904761954
Energy,max_equiangular_wc,0.078333400974026,3.997564935065839e-05
Energy,self_duality,0.009475859618322854,-0.0016273019260151622
MLS,var_collapse,0.005000000000000003,-0.0030886561355311353
MLS,equiangular_uc,0.08083245798319333,-0.0410544467787115
MLS,equiangular_wc,0.09125000000000003,-0.04500000000000002
MLS,equinorm_uc,0.06664583333333332,-0.03371600877192983
MLS,equinorm_wc,0.08000000000000004,-0.04000000000000002
MLS,max_equiangular_uc,0.08750000000000008,-0.04375000000000001
MLS,max_equiangular_wc,0.006857509122069882,-0.000890888313827554
MLS,self_duality,0.08250000000000003,-0.041250000000000016
NNGuide,var_collapse,0.13924575455182078,-0.07114220224273923
NNGuide,equiangular_uc,0.04597601780234086,-0.022127995168080575
NNGuide,equiangular_wc,0.05244724719603576,-0.028688019342459542
NNGuide,equinorm_uc,0.03791803592219615,-0.0200833614722541
NNGuide,equinorm_wc,0.04357558688580708,-0.01538671427005984
NNGuide,max_equiangular_uc,0.06163323460246108,-0.02972134756089518
NNGuide,max_equiangular_wc,0.0729104238260673,-0.04601529538585857
NNGuide,self_duality,0.056220577943546,-0.020085064557652983
NeCo,var_collapse,0.011269051414272004,0.002609782986621221
NeCo,equiangular_uc,0.10059776334776341,-0.0007642496392496368
NeCo,equiangular_wc,0.11522420634920642,0.0002857142857142933
NeCo,equinorm_uc,0.07000000000000003,4.163336342344337e-18
NeCo,equinorm_wc,0.011287608225108225,-0.00048439754689754707
NeCo,max_equiangular_uc,0.1037767857142858,0.0011904761904761954
NeCo,max_equiangular_wc,0.078333400974026,3.997564935065839e-05
NeCo,self_duality,0.009475859618322854,-0.0016273019260151622
fDBD,var_collapse,0.005000000000000003,-0.0030886561355311353
fDBD,equiangular_uc,0.08083245798319333,-0.0410544467787115
fDBD,equiangular_wc,0.09125000000000003,-0.04500000000000002
fDBD,equinorm_uc,0.06664583333333332,-0.03371600877192983
fDBD,equinorm_wc,0.08000000000000004,-0.04000000000000002
fDBD,max_equiangular_uc,0.08750000000000008,-0.04375000000000001
fDBD,max_equiangular_wc,0.006857509122069882,-0.000890888313827554
fDBD,self_duality,0.08250000000000003,-0.041250000000000016
