method,feature,mean_abs_shap,mean_shap
CTM,var_collapse,0.015524460194844622,0.0018439317193036555
CTM,equiangular_uc,0.04286009907100517,0.0006152776605945851
CTM,equiangular_wc,0.10641860042016689,0.0062815570787275845
CTM,equinorm_uc,0.01393003122909923,0.0006627715813855216
CTM,equinorm_wc,0.062349189936315316,-0.0049383943512411755
CTM,max_equiangular_uc,0.049240905828189435,-1.8667589444015115e-05
CTM,max_equiangular_wc,0.07283176456249696,0.004615272085110677
CTM,self_duality,0.13216052471404263,-0.00706174818443681
CTMmeanOC,var_collapse,0.11416067290708035,-0.045991230984471484
CTMmeanOC,equiangular_uc,0.04799867865330464,-0.026714824746314363
CTMmeanOC,equiangular_wc,0.04164109975686077,-0.0241174847620049
CTMmeanOC,equinorm_uc,0.036624148225738465,-0.020773829105315392
CTMmeanOC,equinorm_wc,0.057767797681738765,-0.029359806296582913
CTMmeanOC,max_equiangular_uc,0.04925478735743914,-0.024091534744537346
CTMmeanOC,max_equiangular_wc,0.02797354611423858,-0.0156734193665191
CTMmeanOC,self_duality,0.14533291190042735,-0.0660278699942545
Energy,var_collapse,0.13952051079484634,-0.012353572250951681
Energy,equiangular_uc,0.08163457290474681,0.006960270231001012
Energy,equiangular_wc,0.058487457953833234,-0.006066256321446653
Energy,equinorm_uc,0.05942308731429765,0.007983230464524014
Energy,equinorm_wc,0.020818159423008315,-0.0019366298998692432
Energy,max_equiangular_uc,0.08745758108919924,0.0029137903967453634
Energy,max_equiangular_wc,0.04073507197926934,-0.0034069859770137815
Energy,self_duality,0.02230512345344397,0.0037811533570110073
GE,var_collapse,0.1197427046421822,-0.06871855286309853
GE,equiangular_uc,0.042223433097139135,-0.01789122970750913
GE,equiangular_wc,0.10962867942170555,-0.05624779419373428
GE,equinorm_uc,0.026892480359620146,-0.011796623993344097
GE,equinorm_wc,0.01912243320535913,-0.008387880671349515
GE,max_equiangular_uc,0.04572790553444017,-0.023766545039123926
GE,max_equiangular_wc,0.07879007556222914,-0.04491682459674808
GE,self_duality,0.046531837109458546,-0.021024548935092393
Maha,var_collapse,0.1197427046421822,-0.06871855286309853
Maha,equiangular_uc,0.042223433097139135,-0.01789122970750913
Maha,equiangular_wc,0.10962867942170555,-0.05624779419373428
Maha,equinorm_uc,0.026892480359620146,-0.011796623993344097
Maha,equinorm_wc,0.01912243320535913,-0.008387880671349515
Maha,max_equiangular_uc,0.04572790553444017,-0.023766545039123926
Maha,max_equiangular_wc,0.07879007556222914,-0.04491682459674808
Maha,self_duality,0.046531837109458546,-0.021024548935092393
NNGuide,var_collapse,0.11416067290708035,-0.045991230984471484
NNGuide,equiangular_uc,0.04799867865330464,-0.026714824746314363
NNGuide,equiangular_wc,0.04164109975686077,-0.0241174847620049
NNGuide,equinorm_uc,0.036624148225738465,-0.020773829105315392
NNGuide,equinorm_wc,0.057767797681738765,-0.029359806296582913
NNGuide,max_equiangular_uc,0.04925478735743914,-0.024091534744537346
NNGuide,max_equiangular_wc,0.02797354611423858,-0.0156734193665191
NNGuide,self_duality,0.14533291190042735,-0.0660278699942545
NeCo,var_collapse,0.1197427046421822,-0.06871855286309853
NeCo,equiangular_uc,0.042223433097139135,-0.01789122970750913
NeCo,equiangular_wc,0.10962867942170555,-0.05624779419373428
NeCo,equinorm_uc,0.026892480359620146,-0.011796623993344097
NeCo,equinorm_wc,0.01912243320535913,-0.008387880671349515
NeCo,max_equiangular_uc,0.04572790553444017,-0.023766545039123926
NeCo,max_equiangular_wc,0.07879007556222914,-0.04491682459674808
NeCo,self_duality,0.046531837109458546,-0.021024548935092393
fDBD,var_collapse,0.11416067290708035,-0.045991230984471484
fDBD,equiangular_uc,0.04799867865330464,-0.026714824746314363
fDBD,equiangular_wc,0.04164109975686077,-0.0241174847620049
fDBD,equinorm_uc,0.036624148225738465,-0.020773829105315392
fDBD,equinorm_wc,0.057767797681738765,-0.029359806296582913
fDBD,max_equiangular_uc,0.04925478735743914,-0.024091534744537346
fDBD,max_equiangular_wc,0.02797354611423858,-0.0156734193665191
fDBD,self_duality,0.14533291190042735,-0.0660278699942545
