method,feature,mean_abs_shap,mean_shap
CTM,var_collapse,0.011717997766122767,0.0002382668026418011
CTM,equiangular_uc,0.10833945879332041,0.0008048952203682944
CTM,equiangular_wc,0.015545254117304983,-0.0022389814452182287
CTM,equinorm_uc,0.01264737623007119,0.0014533364607179663
CTM,equinorm_wc,0.032806462953610026,-0.0032493860662056945
CTM,max_equiangular_uc,0.12567808369711247,0.0014457614894008472
CTM,max_equiangular_wc,0.07601141826923077,0.00034795673076921664
CTM,self_duality,0.11445299179986683,0.00019815080752581192
CTMmean,var_collapse,0.15297882728500561,-0.0014044766692816707
CTMmean,equiangular_uc,0.02710570021428337,-0.00025835832655517514
CTMmean,equiangular_wc,0.09346776323787569,0.005991959524347635
CTMmean,equinorm_uc,0.09425143514447383,0.0033998949100568026
CTMmean,equinorm_wc,0.037620043946071796,-0.0019098512008673362
CTMmean,max_equiangular_uc,0.02539475089590535,-0.0001497799227063317
CTMmean,max_equiangular_wc,0.015751083203359186,0.0009500016311082569
CTMmean,self_duality,0.03805611804596925,-0.004119389946102202
CTMmeanOC,var_collapse,0.15297882728500561,-0.0014044766692816707
CTMmeanOC,equiangular_uc,0.02710570021428337,-0.00025835832655517514
CTMmeanOC,equiangular_wc,0.09346776323787569,0.005991959524347635
CTMmeanOC,equinorm_uc,0.09425143514447383,0.0033998949100568026
CTMmeanOC,equinorm_wc,0.037620043946071796,-0.0019098512008673362
CTMmeanOC,max_equiangular_uc,0.02539475089590535,-0.0001497799227063317
CTMmeanOC,max_equiangular_wc,0.015751083203359186,0.0009500016311082569
CTMmeanOC,self_duality,0.03805611804596925,-0.004119389946102202
Confidence,var_collapse,0.07547980496771507,0.005165081626637915
Confidence,equiangular_uc,0.08284246480807994,-0.005853658857485908
Confidence,equiangular_wc,0.06309932140715731,0.007717491696622891
Confidence,equinorm_uc,0.05593256111242055,-0.0020146952965565796
Confidence,equinorm_wc,0.06512503356164581,-0.002466477630474866
Confidence,max_equiangular_uc,0.05191556618804709,-0.0020686655323523266
Confidence,max_equiangular_wc,0.01943261633710519,0.002137468446850883
Confidence,self_duality,0.06518032522488351,-0.0026165444532420907
Energy,var_collapse,0.14214700642450406,-0.07696240607940262
Energy,equiangular_uc,0.03372265027150136,-0.015212603598029697
Energy,equiangular_wc,0.13312596997082662,-0.07812874651619074
Energy,equinorm_uc,0.01635391538576933,-0.004611019957847321
Energy,equinorm_wc,0.018181208436101635,-0.007896356811842156
Energy,max_equiangular_uc,0.033724048325615284,-0.013450157276032437
Energy,max_equiangular_wc,0.07461355343143272,-0.0411960416588271
Energy,self_duality,0.03286963640424119,-0.014792668101828036
GE,var_collapse,0.14214700642450406,-0.07696240607940262
GE,equiangular_uc,0.03372265027150136,-0.015212603598029697
GE,equiangular_wc,0.13312596997082662,-0.07812874651619074
GE,equinorm_uc,0.01635391538576933,-0.004611019957847321
GE,equinorm_wc,0.018181208436101635,-0.007896356811842156
GE,max_equiangular_uc,0.033724048325615284,-0.013450157276032437
GE,max_equiangular_wc,0.07461355343143272,-0.0411960416588271
GE,self_duality,0.03286963640424119,-0.014792668101828036
Maha,var_collapse,0.14214700642450406,-0.07696240607940262
Maha,equiangular_uc,0.03372265027150136,-0.015212603598029697
Maha,equiangular_wc,0.13312596997082662,-0.07812874651619074
Maha,equinorm_uc,0.01635391538576933,-0.004611019957847321
Maha,equinorm_wc,0.018181208436101635,-0.007896356811842156
Maha,max_equiangular_uc,0.033724048325615284,-0.013450157276032437
Maha,max_equiangular_wc,0.07461355343143272,-0.0411960416588271
Maha,self_duality,0.03286963640424119,-0.014792668101828036
NNGuide,var_collapse,0.01702462022028837,-0.006868902266744336
NNGuide,equiangular_uc,0.08935714285714288,-0.050733001373626394
NNGuide,equiangular_wc,0.00450994318181818,-0.00134659090909091
NNGuide,equinorm_uc,0.0789704705017205,-0.041352501869046
NNGuide,equinorm_wc,0.08414583333333334,-0.04246600877192983
NNGuide,max_equiangular_uc,0.10268181818181824,-0.05644597001020437
NNGuide,max_equiangular_wc,0.009829453901679299,-0.0014736506734840957
NNGuide,self_duality,0.10661931818181825,-0.053813374125874155
NeCo,var_collapse,0.14214700642450406,-0.07696240607940262
NeCo,equiangular_uc,0.03372265027150136,-0.015212603598029697
NeCo,equiangular_wc,0.13312596997082662,-0.07812874651619074
NeCo,equinorm_uc,0.01635391538576933,-0.004611019957847321
