method,feature,mean_abs_shap,mean_shap
CTM,var_collapse,0.08726215047804065,-0.004324329671169118
CTM,equiangular_uc,0.08149078658353062,-0.004425696737701551
CTM,equiangular_wc,0.04238971081002916,0.0028731538794925507
CTM,equinorm_uc,0.06738022404992576,-0.0076701774668939135
CTM,equinorm_wc,0.050653046019346136,-0.007374882413297401
CTM,max_equiangular_uc,0.045327117464786904,0.008121218210782348
CTM,max_equiangular_wc,0.08376175524438575,-0.0016090024842222346
CTM,self_duality,0.053410493613676176,0.00943447504009071
CTM,dropout,0.003241459346889367,0.0012669083095850583
Energy,var_collapse,0.1923938173094474,-0.015439769589043289
Energy,equiangular_uc,0.06735715429180167,0.0027353763434363213
Energy,equiangular_wc,0.030788683026093777,-0.0020746313465626874
Energy,equinorm_uc,0.0583227986831353,0.003526207723510118
Energy,equinorm_wc,0.09951387332319693,0.007918607297356368
Energy,max_equiangular_uc,0.04926363983667523,0.000223241439495248
Energy,max_equiangular_wc,0.03358255944861787,0.0007774010027061159
Energy,self_duality,0.01615957345938121,-0.00029749947131060773
Energy,dropout,0.0010326599767037836,0.00013106660041218578
fDBD,var_collapse,0.03380099637805931,-0.00876341179271305
fDBD,equiangular_uc,0.03073295361515344,-0.014358440308970022
fDBD,equiangular_wc,0.03418447900780492,-0.019037749133215105
fDBD,equinorm_uc,0.014030452787817031,-0.007734918089962749
fDBD,equinorm_wc,0.15108608881432298,-0.06282488948920244
fDBD,max_equiangular_uc,0.029703911340154637,-0.013221879644598032
fDBD,max_equiangular_wc,0.0661750908046156,-0.040406575413689534
fDBD,self_duality,0.17133014337210561,-0.08208707831620106
fDBD,dropout,0.0009564575274540531,-0.00023172447811453184
