method,feature,mean_abs_shap,mean_shap
CTM,var_collapse,0.07369863785776753,-0.003577960726317913
CTM,equiangular_uc,0.07342648044009854,-0.0021096362761583924
CTM,equiangular_wc,0.052301986193010984,0.002865624375964728
CTM,equinorm_uc,0.0539868243736159,-0.006152172488754744
CTM,equinorm_wc,0.04994143847672959,-0.0034307378701852027
CTM,max_equiangular_uc,0.0564047643592499,0.0036286165926669198
CTM,max_equiangular_wc,0.07766672171538819,0.002095744167028806
CTM,self_duality,0.05850346123058161,0.005388855559089105
CTMmean,var_collapse,0.0322991080068359,-0.008835519699424178
CTMmean,equiangular_uc,0.045779514717202936,-0.024341159892595075
CTMmean,equiangular_wc,0.052449523804518776,-0.03136388473242999
CTMmean,equinorm_uc,0.01258752596138176,-0.002822017700603196
CTMmean,equinorm_wc,0.1324451762056338,-0.0616892421205628
CTMmean,max_equiangular_uc,0.04536437434678986,-0.021346128730697293
CTMmean,max_equiangular_wc,0.054613904470072305,-0.033700371395920234
CTMmean,self_duality,0.14849660356756814,-0.06348500906110048
CTMmeanOC,var_collapse,0.0322991080068359,-0.008835519699424178
CTMmeanOC,equiangular_uc,0.045779514717202936,-0.024341159892595075
CTMmeanOC,equiangular_wc,0.052449523804518776,-0.03136388473242999
CTMmeanOC,equinorm_uc,0.01258752596138176,-0.002822017700603196
CTMmeanOC,equinorm_wc,0.1324451762056338,-0.0616892421205628
CTMmeanOC,max_equiangular_uc,0.04536437434678986,-0.021346128730697293
CTMmeanOC,max_equiangular_wc,0.054613904470072305,-0.033700371395920234
CTMmeanOC,self_duality,0.14849660356756814,-0.06348500906110048
Energy,var_collapse,0.16317308290479962,-0.015189484452195074
Energy,equiangular_uc,0.06678288017746589,0.00424964731586694
Energy,equiangular_wc,0.04257073709984148,-0.0043783833002223466
Energy,equinorm_uc,0.04071847764659852,0.0017090690164351823
Energy,equinorm_wc,0.08409868284535427,0.005964948714371915
Energy,max_equiangular_uc,0.07322222231044259,0.003440799234696221
Energy,max_equiangular_wc,0.04507300720554089,0.0015581429198490994
Energy,self_duality,0.022486179774603984,-0.0011047394488020586
NNGuide,var_collapse,0.0322991080068359,-0.008835519699424178
NNGuide,equiangular_uc,0.045779514717202936,-0.024341159892595075
NNGuide,equiangular_wc,0.052449523804518776,-0.03136388473242999
NNGuide,equinorm_uc,0.01258752596138176,-0.002822017700603196
NNGuide,equinorm_wc,0.1324451762056338,-0.0616892421205628
NNGuide,max_equiangular_uc,0.04536437434678986,-0.021346128730697293
NNGuide,max_equiangular_wc,0.054613904470072305,-0.033700371395920234
NNGuide,self_duality,0.14849660356756814,-0.06348500906110048
fDBD,var_collapse,0.0322991080068359,-0.008835519699424178
fDBD,equiangular_uc,0.045779514717202936,-0.024341159892595075
fDBD,equiangular_wc,0.052449523804518776,-0.03136388473242999
fDBD,equinorm_uc,0.01258752596138176,-0.002822017700603196
fDBD,equinorm_wc,0.1324451762056338,-0.0616892421205628
fDBD,max_equiangular_uc,0.04536437434678986,-0.021346128730697293
fDBD,max_equiangular_wc,0.054613904470072305,-0.033700371395920234
fDBD,self_duality,0.14849660356756814,-0.06348500906110048
