method,feature,mean_abs_shap,mean_shap
GE,var_collapse,0.14182227462999214,-0.07530615156577801
GE,equiangular_uc,0.019534238241618405,-0.007141642314870041
GE,equiangular_wc,0.013720762511586498,-0.0053156161042513155
GE,equinorm_uc,0.14550668099165667,-0.08179192639334791
GE,equinorm_wc,0.010601663854695464,-0.00310199114600565
GE,max_equiangular_uc,0.033345112354109065,-0.012810503375506271
GE,max_equiangular_wc,0.08150735711055238,-0.031824953443095376
GE,self_duality,0.07809284007947963,-0.030082215657145434
GradNorm,var_collapse,0.14182227462999214,-0.07530615156577801
GradNorm,equiangular_uc,0.019534238241618405,-0.007141642314870041
GradNorm,equiangular_wc,0.013720762511586498,-0.0053156161042513155
GradNorm,equinorm_uc,0.14550668099165667,-0.08179192639334791
GradNorm,equinorm_wc,0.010601663854695464,-0.00310199114600565
GradNorm,max_equiangular_uc,0.033345112354109065,-0.012810503375506271
GradNorm,max_equiangular_wc,0.08150735711055238,-0.031824953443095376
GradNorm,self_duality,0.07809284007947963,-0.030082215657145434
Residual,var_collapse,0.1418222746299922,0.07530615156577804
Residual,equiangular_uc,0.019534238241618398,0.007141642314870045
Residual,equiangular_wc,0.013720762511586502,0.005315616104251313
Residual,equinorm_uc,0.14550668099165665,0.0817919263933479
Residual,equinorm_wc,0.010601663854695464,0.003101991146005645
Residual,max_equiangular_uc,0.03334511235410908,0.012810503375506266
Residual,max_equiangular_wc,0.08150735711055236,0.03182495344309538
Residual,self_duality,0.07809284007947963,0.030082215657145445
ViM,var_collapse,0.12263513516011719,0.0009235259097170572
ViM,equiangular_uc,0.06432655052676892,-0.0030516334401082547
ViM,equiangular_wc,0.008728698592239074,-0.002490061917221267
ViM,equinorm_uc,0.11501708036005716,0.004467286236590967
ViM,equinorm_wc,0.010396311018517807,-0.0006237924055527836
ViM,max_equiangular_uc,0.08606828328167362,-0.00023947037373717867
ViM,max_equiangular_wc,0.044179960291359295,-0.0007147010920952547
ViM,self_duality,0.06858307045478029,-0.005396152917593199
pNML,var_collapse,0.10797765379160822,0.012924308675903629
pNML,equiangular_uc,0.05201858796073563,0.001936609886284067
pNML,equiangular_wc,0.02430426276823186,-0.0046816474736333154
pNML,equinorm_uc,0.057863590012347255,-0.0011640097431249454
pNML,equinorm_wc,0.011589032712084777,-0.002276194855928633
pNML,max_equiangular_uc,0.05448596624191835,0.000871021414802989
pNML,max_equiangular_wc,0.17521866410075831,0.0019804733057534633
pNML,self_duality,0.031305612407853414,-0.0034655612100572613
