method,feature,mean_abs_shap,mean_shap
CTMmeanOC,var_collapse,0.03812406769703923,-0.018732091361340436
CTMmeanOC,equiangular_uc,0.13315026398126734,-0.0714393884167733
CTMmeanOC,equiangular_wc,0.03125890088909265,-0.018811266044544313
CTMmeanOC,equinorm_uc,0.03756523995816274,-0.01790813212872961
CTMmeanOC,equinorm_wc,0.012501223594106048,-0.005955419017593433
CTMmeanOC,max_equiangular_uc,0.15763558528916272,-0.08342798863602421
CTMmeanOC,max_equiangular_wc,0.044042822037521856,-0.020530217230833057
CTMmeanOC,self_duality,0.04072552019298668,-0.015695497164161666
KPCA RecError global,var_collapse,0.08168750000000002,0.04108035714285717
KPCA RecError global,equiangular_uc,0.0070148355015082955,0.003501335617749124
KPCA RecError global,equiangular_wc,0.05490139768668938,0.02183453823626279
KPCA RecError global,equinorm_uc,0.08656162380817714,0.04485936125251386
KPCA RecError global,equinorm_wc,0.08144794257496098,0.047157229095156385
KPCA RecError global,max_equiangular_uc,0.012581137540131643,0.0050175382651226905
KPCA RecError global,max_equiangular_wc,0.06717187500000002,0.03387966409389844
KPCA RecError global,self_duality,0.10188342927631584,0.051669976296439615
Residual,var_collapse,0.08168750000000002,-0.041080357142857175
Residual,equiangular_uc,0.007014835501508295,-0.003501335617749123
Residual,equiangular_wc,0.054901397686689404,-0.021834538236262795
Residual,equinorm_uc,0.08656162380817714,-0.04485936125251386
Residual,equinorm_wc,0.08144794257496099,-0.04715722909515639
Residual,max_equiangular_uc,0.012581137540131643,-0.005017538265122691
Residual,max_equiangular_wc,0.06717187500000002,-0.03387966409389844
Residual,self_duality,0.10188342927631584,-0.05166997629643962
ViM,var_collapse,0.08168750000000002,-0.041080357142857175
ViM,equiangular_uc,0.007014835501508295,-0.003501335617749123
ViM,equiangular_wc,0.054901397686689404,-0.021834538236262795
ViM,equinorm_uc,0.08656162380817714,-0.04485936125251386
ViM,equinorm_wc,0.08144794257496099,-0.04715722909515639
ViM,max_equiangular_uc,0.012581137540131643,-0.005017538265122691
ViM,max_equiangular_wc,0.06717187500000002,-0.03387966409389844
ViM,self_duality,0.10188342927631584,-0.05166997629643962
pNML,var_collapse,0.08168750000000002,-0.041080357142857175
pNML,equiangular_uc,0.007014835501508295,-0.003501335617749123
pNML,equiangular_wc,0.054901397686689404,-0.021834538236262795
pNML,equinorm_uc,0.08656162380817714,-0.04485936125251386
pNML,equinorm_wc,0.08144794257496099,-0.04715722909515639
pNML,max_equiangular_uc,0.012581137540131643,-0.005017538265122691
pNML,max_equiangular_wc,0.06717187500000002,-0.03387966409389844
pNML,self_duality,0.10188342927631584,-0.05166997629643962
