method,feature,mean_abs_shap,mean_shap
CTMmean,var_collapse,0.07819851325261686,-0.03893799021929923
CTMmean,equiangular_uc,0.08829565943174542,-0.036489307076666574
CTMmean,equiangular_wc,0.03733471530946578,-0.015833298461743705
CTMmean,equinorm_uc,0.08836005976534977,-0.045320667413630916
CTMmean,equinorm_wc,0.01155272173336315,-0.006650820148387131
CTMmean,max_equiangular_uc,0.06076671929885691,-0.024209902822601066
CTMmean,max_equiangular_wc,0.08536728803609393,-0.045668310085543576
CTMmean,self_duality,0.06764437588564999,-0.03335521296183132
CTMmean,dropout,0.0005619377177726788,-3.449081029647445e-05
CTMmeanOC,var_collapse,0.07819851325261686,-0.03893799021929923
CTMmeanOC,equiangular_uc,0.08829565943174542,-0.036489307076666574
CTMmeanOC,equiangular_wc,0.03733471530946578,-0.015833298461743705
CTMmeanOC,equinorm_uc,0.08836005976534977,-0.045320667413630916
CTMmeanOC,equinorm_wc,0.01155272173336315,-0.006650820148387131
CTMmeanOC,max_equiangular_uc,0.06076671929885691,-0.024209902822601066
CTMmeanOC,max_equiangular_wc,0.08536728803609393,-0.045668310085543576
CTMmeanOC,self_duality,0.06764437588564999,-0.03335521296183132
CTMmeanOC,dropout,0.0005619377177726788,-3.449081029647445e-05
GE,var_collapse,0.07819851325261686,-0.03893799021929923
GE,equiangular_uc,0.08829565943174542,-0.036489307076666574
GE,equiangular_wc,0.03733471530946578,-0.015833298461743705
GE,equinorm_uc,0.08836005976534977,-0.045320667413630916
GE,equinorm_wc,0.01155272173336315,-0.006650820148387131
GE,max_equiangular_uc,0.06076671929885691,-0.024209902822601066
GE,max_equiangular_wc,0.08536728803609393,-0.045668310085543576
GE,self_duality,0.06764437588564999,-0.03335521296183132
GE,dropout,0.0005619377177726788,-3.449081029647445e-05
MLS,var_collapse,0.07819851325261686,-0.03893799021929923
MLS,equiangular_uc,0.08829565943174542,-0.036489307076666574
MLS,equiangular_wc,0.03733471530946578,-0.015833298461743705
MLS,equinorm_uc,0.08836005976534977,-0.045320667413630916
MLS,equinorm_wc,0.01155272173336315,-0.006650820148387131
MLS,max_equiangular_uc,0.06076671929885691,-0.024209902822601066
MLS,max_equiangular_wc,0.08536728803609393,-0.045668310085543576
MLS,self_duality,0.06764437588564999,-0.03335521296183132
MLS,dropout,0.0005619377177726788,-3.449081029647445e-05
Maha,var_collapse,0.15666393376476326,-0.08375341226411255
Maha,equiangular_uc,0.1053057037978917,-0.05273355637493813
Maha,equiangular_wc,0.01422644890940066,-0.006954304156461722
