method,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,0.0018439317193036555,0.0006152776605945851,0.0062815570787275845,0.0006627715813855216,-0.0049383943512411755,-1.8667589444015115e-05,0.004615272085110677,-0.00706174818443681
CTMmean,-0.02077647429585482,-0.02232560057349044,-0.05482213629744197,-0.012988394103886644,-0.022873296154619197,-0.016042774707115546,-0.03451525490700734,-0.0632810689605841
CTMmeanOC,-0.02077647429585482,-0.02232560057349044,-0.05482213629744197,-0.012988394103886644,-0.022873296154619197,-0.016042774707115546,-0.03451525490700734,-0.0632810689605841
Energy,-0.035135595658396766,-0.03389364560478938,-0.03318440117765455,-0.041297602178219414,-0.024901449830248938,-0.03769136770938117,-0.02425883180171915,-0.02338710603959059
KPCA RecError global,-0.02077647429585482,-0.02232560057349044,-0.05482213629744197,-0.012988394103886644,-0.022873296154619197,-0.016042774707115546,-0.03451525490700734,-0.0632810689605841
MLS,-0.035135595658396766,-0.03389364560478938,-0.03318440117765455,-0.041297602178219414,-0.024901449830248938,-0.03769136770938117,-0.02425883180171915,-0.02338710603959059
Maha,-0.06871855286309853,-0.01789122970750913,-0.05624779419373428,-0.011796623993344097,-0.008387880671349515,-0.023766545039123926,-0.04491682459674808,-0.021024548935092393
NNGuide,-0.035135595658396766,-0.03389364560478938,-0.03318440117765455,-0.041297602178219414,-0.024901449830248938,-0.03769136770938117,-0.02425883180171915,-0.02338710603959059
Residual,-0.06871855286309853,-0.01789122970750913,-0.05624779419373428,-0.011796623993344097,-0.008387880671349515,-0.023766545039123926,-0.04491682459674808,-0.021024548935092393
fDBD,-0.045991230984471484,-0.026714824746314363,-0.0241174847620049,-0.020773829105315392,-0.029359806296582913,-0.024091534744537346,-0.0156734193665191,-0.0660278699942545
