method,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTM,0.0007217248794852665,0.003666615407740883,0.006237693532193812,0.0032031313074897907,-0.005821169343659135,-0.0015439765038086928,0.0015595036486549334,-0.0055235229280968055
CTMmean,0.005096662962733126,0.00025873210424123534,-0.00035364691683342786,0.0011856151731815165,-0.011745770533448437,0.0033779414555743605,-0.0012855853360120215,0.004966051090563638
CTMmeanOC,0.005096662962733126,0.00025873210424123534,-0.00035364691683342786,0.0011856151731815165,-0.011745770533448437,0.0033779414555743605,-0.0012855853360120215,0.004966051090563638
Confidence,0.0026718557133983056,0.0009950949931480865,-0.00943222063845146,0.010385664315255717,-0.002743626334927854,-0.0020855305065047977,-0.0035084242140864417,0.0007171866721685262
Energy,-0.10091493312043084,-0.013743704905519094,-0.016351099679886856,-0.023880239731936433,-0.0039749992600398585,-0.013652375987127634,-0.01646826772595754,-0.06426437958910172
GE,-0.10091493312043084,-0.013743704905519094,-0.016351099679886856,-0.023880239731936433,-0.0039749992600398585,-0.013652375987127634,-0.01646826772595754,-0.06426437958910172
Maha,-0.10091493312043084,-0.013743704905519094,-0.016351099679886856,-0.023880239731936433,-0.0039749992600398585,-0.013652375987127634,-0.01646826772595754,-0.06426437958910172
NNGuide,-0.009448321261652721,-0.011300323464383037,-0.06413490230458944,-0.03063337770308087,-0.033360641015581186,-0.016546442625206485,-0.04519224715972,-0.04238374446578621
NeCo,-0.10091493312043084,-0.013743704905519094,-0.016351099679886856,-0.023880239731936433,-0.0039749992600398585,-0.013652375987127634,-0.01646826772595754,-0.06426437958910172
PE,-0.01144830695169031,-0.02386969323070585,-0.007024798142083397,-0.04955921688723248,-0.09977282131435002,-0.022969432884494705,-0.006469196838919146,-0.03176153375052414
Residual,-0.10091493312043084,-0.013743704905519094,-0.016351099679886856,-0.023880239731936433,-0.0039749992600398585,-0.013652375987127634,-0.01646826772595754,-0.06426437958910172
fDBD,-0.009448321261652721,-0.011300323464383037,-0.06413490230458944,-0.03063337770308087,-0.033360641015581186,-0.016546442625206485,-0.04519224715972,-0.04238374446578621
pNML,-0.10091493312043084,-0.013743704905519094,-0.016351099679886856,-0.023880239731936433,-0.0039749992600398585,-0.013652375987127634,-0.01646826772595754,-0.06426437958910172
