method,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality,dropout
CTM,-0.05307501969071859,-0.017970484945630447,-0.02461724143322307,-0.016124868913942634,-0.012878268992491932,-0.023208318813734894,-0.0421442072871819,-0.057705047079347684,-0.0011098761770621652
CTMmean,-0.08508022642856859,-0.023152721806790035,-0.019471727587779576,-0.02381439515614166,-0.01603761366095408,-0.021693887641856206,-0.020990277844431297,-0.04328991844927974,-0.001635898090865374
CTMmeanOC,-0.08508022642856859,-0.023152721806790035,-0.019471727587779576,-0.02381439515614166,-0.01603761366095408,-0.021693887641856206,-0.020990277844431297,-0.04328991844927974,-0.001635898090865374
Energy,-0.023802948865299562,-0.04564449110505465,-0.023415312766278347,-0.03692884810958212,-0.020250469664472075,-0.019322830636493035,-0.03495554820424669,-0.049108869805891596,-0.0009040141760151596
KPCA RecError global,-0.08508022642856859,-0.023152721806790035,-0.019471727587779576,-0.02381439515614166,-0.01603761366095408,-0.021693887641856206,-0.020990277844431297,-0.04328991844927974,-0.001635898090865374
MLS,-0.023802948865299562,-0.04564449110505465,-0.023415312766278347,-0.03692884810958212,-0.020250469664472075,-0.019322830636493035,-0.03495554820424669,-0.049108869805891596,-0.0009040141760151596
NNGuide,-0.023802948865299562,-0.04564449110505465,-0.023415312766278347,-0.03692884810958212,-0.020250469664472075,-0.019322830636493035,-0.03495554820424669,-0.049108869805891596,-0.0009040141760151596
NeCo,-0.023802948865299562,-0.04564449110505465,-0.023415312766278347,-0.03692884810958212,-0.020250469664472075,-0.019322830636493035,-0.03495554820424669,-0.049108869805891596,-0.0009040141760151596
ViM,-0.08508022642856859,-0.023152721806790035,-0.019471727587779576,-0.02381439515614166,-0.01603761366095408,-0.021693887641856206,-0.020990277844431297,-0.04328991844927974,-0.001635898090865374
fDBD,3.919734241510906e-05,-0.008654764235887704,-0.007025508387602604,0.002298302551502827,0.0020638594534277454,-0.0015051697634082155,-0.0026534255003247856,0.018814945608047463,-0.0030857704015033304
