method,var_collapse,equiangular_uc,equiangular_wc,equinorm_uc,equinorm_wc,max_equiangular_uc,max_equiangular_wc,self_duality
CTMmean,-0.018732091361340436,-0.0714393884167733,-0.018811266044544313,-0.01790813212872961,-0.005955419017593433,-0.08342798863602421,-0.020530217230833057,-0.015695497164161666
CTMmeanOC,-0.018732091361340436,-0.0714393884167733,-0.018811266044544313,-0.01790813212872961,-0.005955419017593433,-0.08342798863602421,-0.020530217230833057,-0.015695497164161666
Energy,-0.041080357142857175,-0.003501335617749123,-0.021834538236262795,-0.04485936125251386,-0.04715722909515639,-0.005017538265122691,-0.03387966409389844,-0.05166997629643962
GE,-0.041080357142857175,-0.003501335617749123,-0.021834538236262795,-0.04485936125251386,-0.04715722909515639,-0.005017538265122691,-0.03387966409389844,-0.05166997629643962
KPCA RecError global,-0.08916926075292525,-0.028038439092095895,-0.028202505527645493,-0.019625987276446523,-0.0071280386669681384,-0.033180581158156905,-0.01937984313975573,-0.01952534438600615
MLS,-0.041080357142857175,-0.003501335617749123,-0.021834538236262795,-0.04485936125251386,-0.04715722909515639,-0.005017538265122691,-0.03387966409389844,-0.05166997629643962
Maha,-0.08916926075292525,-0.028038439092095895,-0.028202505527645493,-0.019625987276446523,-0.0071280386669681384,-0.033180581158156905,-0.01937984313975573,-0.01952534438600615
PE,-0.041080357142857175,-0.003501335617749123,-0.021834538236262795,-0.04485936125251386,-0.04715722909515639,-0.005017538265122691,-0.03387966409389844,-0.05166997629643962
ViM,-0.08916926075292525,-0.028038439092095895,-0.028202505527645493,-0.019625987276446523,-0.0071280386669681384,-0.033180581158156905,-0.01937984313975573,-0.01952534438600615
fDBD,-0.08916926075292525,-0.028038439092095895,-0.028202505527645493,-0.019625987276446523,-0.0071280386669681384,-0.033180581158156905,-0.01937984313975573,-0.01952534438600615
pNML,-0.0010533234126984133,-0.044822655981252194,-0.04589797794117646,-0.008948327526017152,-0.02287472850560602,-0.045500000000000006,-0.04250000000000003,-0.040902986633249816
