nc_metric,low,mid,high
M_etf_diff,"CTM, Confidence, Energy, Maha, PE, ViM","CTM, CTMmean, CTMmeanOC, Confidence, Energy, GE, KPCA RecError global, MLS, Maha, NNGuide, NeCo, PE, REN, ViM, fDBD","CTM, CTMmean, CTMmeanOC, fDBD"
bias_collapse,"CTM, Confidence, NNGuide, PE","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, NNGuide, REN, ViM, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, PE, REN, fDBD"
cdnv_score,"CTM, Confidence, Energy, ViM","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, Maha, NNGuide, NeCo, PCE, PE, REN, ViM, fDBD","CTMmean, CTMmeanOC, fDBD"
equiangular_uc,"CTM, Confidence, NNGuide","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, REN, ViM, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD"
equiangular_wc,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD","CTM, CTMmean, CTMmeanOC, Confidence, NNGuide, PCE, PE, REN, fDBD","CTM, Maha, ViM"
equinorm_uc,"CTM, Confidence, Energy, ViM","CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, NNGuide, REN, ViM, fDBD","CTMmean, CTMmeanOC, NNGuide, fDBD"
equinorm_wc,"CTM, NNGuide, PE","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, Maha, REN, ViM, fDBD, pNML","CTM, CTMmean, CTMmeanOC, NNGuide, fDBD"
max_equiangular_uc,"CTM, Confidence, NNGuide","CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, REN, ViM, fDBD","CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD"
max_equiangular_wc,"CTM, NNGuide","CTM, CTMmean, CTMmeanOC, Confidence, KPCA RecError global, MLS, NNGuide, PCE, PE, REN, fDBD","CTM, CTMmean, CTMmeanOC, Maha, ViM, fDBD, pNML"
self_duality,"CTM, NNGuide","CTM, Energy, KPCA RecError global, Maha, ViM","CTM, CTMmean, CTMmeanOC, Confidence, NNGuide, NeCo, PE, REN, ViM, fDBD"
var_collapse,"CTM, CTMmean, CTMmeanOC, fDBD","CTM, CTMmeanOC, Confidence, NNGuide, PE, fDBD","CTM, Energy, GE, MLS, Maha, ViM"
wM_etf_diff,"CTM, Confidence, Energy, GE, MLS, Maha, NNGuide, PE, ViM","CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, NeCo, PE, REN, ViM, fDBD","CTM, CTMmean, CTMmeanOC, fDBD"
w_etf_diff,"CTM, Confidence, Energy, GE, MLS, Maha, NNGuide, PE, ViM","CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, NeCo, PE, REN, ViM, fDBD","CTM, CTMmean, CTMmeanOC, fDBD"
