nc_metric,ood_set,clip_fid,low,mid,high
var_collapse,cifar100,0.19080717366812822,"PCA RecError global, ViM, pNML","PCA RecError global, ViM, pNML","GE, PE"
var_collapse,cifar10,0.2171741844853313,NeCo,"CTMmeanOC, Energy, GE, MLS, NNGuide, PCE, PE, fDBD","Energy, GE, MLS, NNGuide, NeCo, PE"
var_collapse,tinyimagenet,0.25916467614357813,"Maha, Residual, ViM, pNML","Maha, PCA RecError global, Residual, ViM, pNML","Maha, PCA RecError global, Residual, ViM, pNML"
var_collapse,isun,0.40957509267432773,"CTMmeanOC, KPCA RecError global, Maha, ViM, fDBD","CTMmean, CTMmeanOC, KPCA RecError global, Maha, PCA RecError global, Residual, ViM, pNML","GE, GEN, GradNorm, KPCA RecError global, MSR, PCE, PE, REN"
var_collapse,lsun resize,0.44339047660145725,"CTMmeanOC, KPCA RecError global, Maha, ViM, fDBD","CTMmean, CTMmeanOC, KPCA RecError global, Maha, PCA RecError global, Residual, ViM, pNML","GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, PCE, PE, REN"
var_collapse,lsun cropped,0.452894850417105,KPCA RecError global,"CTMmean, CTMmeanOC, Energy, KPCA RecError global, MLS, NNGuide","GE, GradNorm, KPCA RecError global"
var_collapse,places365,0.5321273594354652,"Maha, Residual, ViM, pNML","PCA RecError global, Residual, pNML","Maha, Residual, pNML"
var_collapse,textures,0.5468303877588535,"Maha, Residual, ViM","PCA RecError global, Residual, ViM, pNML","Residual, ViM, pNML"
var_collapse,svhn,0.6846676149471842,"CTMmeanOC, KPCA RecError global","CTMmean, CTMmeanOC, KPCA RecError global, NNGuide","Energy, GE, GradNorm, KPCA RecError global, MLS"
cdnv_score,cifar100,0.19080717366812822,"PCA RecError global, ViM, pNML",,"GE, PE"
cdnv_score,cifar10,0.2171741844853313,"CTM, Energy, GE, MLS, Maha, NeCo, ViM, fDBD","CTM, Energy, GE, MLS, NNGuide, NeCo, PE, fDBD","Energy, GE, MLS, NNGuide, NeCo, PE"
cdnv_score,tinyimagenet,0.25916467614357813,"Maha, PCA RecError global, Residual, ViM, pNML","Maha, Residual, ViM, pNML","CTMmean, CTMmeanOC, KPCA RecError global, Maha, PCA RecError global, Residual, ViM, pNML"
cdnv_score,isun,0.40957509267432773,"KPCA RecError global, Residual, ViM, pNML","CTMmeanOC, KPCA RecError global, Maha, Residual, ViM","GE, GEN, GradNorm, KPCA RecError global, MSR, PCE, PE, REN"
cdnv_score,lsun resize,0.44339047660145725,"CTMmeanOC, KPCA RecError global, ViM","KPCA RecError global, Maha, REN, Residual, ViM, fDBD","GE, GEN, GradNorm, MSR, PCE, PE, REN"
cdnv_score,lsun cropped,0.452894850417105,"Energy, KPCA RecError global, MLS, NNGuide","GradNorm, KPCA RecError global, REN","GradNorm, KPCA RecError global"
cdnv_score,places365,0.5321273594354652,"Residual, ViM, pNML","Maha, Residual, ViM, pNML","Maha, Residual, pNML"
cdnv_score,textures,0.5468303877588535,"Residual, ViM, pNML","Maha, Residual, ViM, pNML","Maha, Residual, ViM, pNML"
cdnv_score,svhn,0.6846676149471842,"CTMmean, CTMmeanOC, KPCA RecError global","CTMmeanOC, GradNorm, KPCA RecError global","GE, GradNorm, KPCA RecError global"
bias_collapse,cifar100,0.19080717366812822,"PCA RecError global, ViM, pNML","PCA RecError global, ViM, pNML","GE, PE"
bias_collapse,cifar10,0.2171741844853313,"GE, MLS, NNGuide","CTM, GE, NeCo, fDBD","Energy, GE, MLS, NeCo, PE"
bias_collapse,tinyimagenet,0.25916467614357813,"Maha, Residual, ViM, pNML","Maha, PCA RecError global, Residual, ViM, pNML","Maha, Residual, ViM, pNML"
bias_collapse,isun,0.40957509267432773,"CTMmean, CTMmeanOC, KPCA RecError global, Residual, ViM, pNML","CTMmeanOC, KPCA RecError global, Maha, Residual, ViM","GradNorm, KPCA RecError global, PCE, PE, REN"
bias_collapse,lsun resize,0.44339047660145725,"CTMmean, CTMmeanOC, KPCA RecError global, REN, Residual, ViM, pNML","KPCA RecError global, Maha, Residual, ViM, fDBD","CTM, GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, PCE, PE, REN, fDBD"
bias_collapse,lsun cropped,0.452894850417105,"CTMmeanOC, GradNorm, KPCA RecError global","Energy, KPCA RecError global, MLS",GradNorm
bias_collapse,places365,0.5321273594354652,"Residual, pNML","Maha, PCA RecError global, Residual, ViM, pNML","Maha, Residual, pNML"
bias_collapse,textures,0.5468303877588535,"Residual, ViM, pNML","Maha, Residual, ViM, pNML","Maha, Residual, ViM, pNML"
bias_collapse,svhn,0.6846676149471842,"CTMmean, CTMmeanOC, KPCA RecError global, NNGuide","CTMmean, CTMmeanOC, KPCA RecError global","GE, GradNorm, KPCA RecError global, PE"
equiangular_uc,cifar100,0.19080717366812822,"PCA RecError global, ViM, pNML","CTM, GE, PE","GE, GradNorm, PE"
equiangular_uc,cifar10,0.2171741844853313,"CTM, Energy, GE, NeCo, ViM, fDBD","Energy, GE, MLS, NeCo","Energy, GE, MLS, NNGuide, PE"
