nc_metric,bin,ood_set,clip_fid,method,avg_rank
var_collapse,low,cifar100,0.19080717366812822,CTM,1.0
var_collapse,low,cifar100,0.19080717366812822,fDBD,2.4
var_collapse,low,cifar100,0.19080717366812822,CTMmeanOC,3.2
var_collapse,low,cifar100,0.19080717366812822,CTMmean,4.2
var_collapse,low,cifar100,0.19080717366812822,NNGuide,4.6
var_collapse,low,cifar100,0.19080717366812822,REN,6.0
var_collapse,low,cifar100,0.19080717366812822,GEN,7.0
var_collapse,low,cifar100,0.19080717366812822,Confidence,8.8
var_collapse,low,cifar100,0.19080717366812822,MSR,9.0
var_collapse,low,cifar100,0.19080717366812822,PCE,9.8
var_collapse,low,cifar100,0.19080717366812822,PE,11.2
var_collapse,low,cifar100,0.19080717366812822,MLS,12.2
var_collapse,low,cifar100,0.19080717366812822,KPCA RecError global,12.4
var_collapse,low,cifar100,0.19080717366812822,NeCo,13.2
var_collapse,low,cifar100,0.19080717366812822,GE,15.2
var_collapse,low,cifar100,0.19080717366812822,Energy,15.8
var_collapse,low,cifar100,0.19080717366812822,GradNorm,17.6
var_collapse,low,cifar100,0.19080717366812822,ViM,17.6
var_collapse,low,cifar100,0.19080717366812822,PCA RecError global,19.0
var_collapse,low,cifar100,0.19080717366812822,pNML,19.8
var_collapse,low,cifar100,0.19080717366812822,Maha,21.0
var_collapse,low,cifar100,0.19080717366812822,Residual,22.0
var_collapse,low,cifar10,0.2171741844853313,fDBD,4.571428571428571
var_collapse,low,cifar10,0.2171741844853313,CTM,5.0
var_collapse,low,cifar10,0.2171741844853313,CTMmeanOC,5.714285714285714
var_collapse,low,cifar10,0.2171741844853313,GEN,6.0
var_collapse,low,cifar10,0.2171741844853313,REN,6.285714285714286
var_collapse,low,cifar10,0.2171741844853313,NNGuide,6.285714285714286
var_collapse,low,cifar10,0.2171741844853313,CTMmean,6.714285714285714
var_collapse,low,cifar10,0.2171741844853313,MSR,7.714285714285714
var_collapse,low,cifar10,0.2171741844853313,PCE,7.857142857142857
var_collapse,low,cifar10,0.2171741844853313,PE,9.714285714285714
var_collapse,low,cifar10,0.2171741844853313,Confidence,10.428571428571429
var_collapse,low,cifar10,0.2171741844853313,KPCA RecError global,10.571428571428571
var_collapse,low,cifar10,0.2171741844853313,MLS,11.428571428571429
var_collapse,low,cifar10,0.2171741844853313,NeCo,11.857142857142858
var_collapse,low,cifar10,0.2171741844853313,GE,13.571428571428571
var_collapse,low,cifar10,0.2171741844853313,Energy,14.0
var_collapse,low,cifar10,0.2171741844853313,GradNorm,16.285714285714285
var_collapse,low,cifar10,0.2171741844853313,ViM,17.714285714285715
var_collapse,low,cifar10,0.2171741844853313,PCA RecError global,18.714285714285715
var_collapse,low,cifar10,0.2171741844853313,pNML,19.571428571428573
var_collapse,low,cifar10,0.2171741844853313,Maha,21.0
var_collapse,low,cifar10,0.2171741844853313,Residual,22.0
var_collapse,low,tinyimagenet,0.25916467614357813,NNGuide,4.5
var_collapse,low,tinyimagenet,0.25916467614357813,Energy,5.0
var_collapse,low,tinyimagenet,0.25916467614357813,NeCo,5.0
var_collapse,low,tinyimagenet,0.25916467614357813,CTMmean,6.0
var_collapse,low,tinyimagenet,0.25916467614357813,CTMmeanOC,6.0
var_collapse,low,tinyimagenet,0.25916467614357813,KPCA RecError global,6.0
var_collapse,low,tinyimagenet,0.25916467614357813,MLS,6.5
var_collapse,low,tinyimagenet,0.25916467614357813,GE,6.5
var_collapse,low,tinyimagenet,0.25916467614357813,PCA RecError global,8.0
var_collapse,low,tinyimagenet,0.25916467614357813,pNML,8.0
var_collapse,low,tinyimagenet,0.25916467614357813,GradNorm,9.0
var_collapse,low,tinyimagenet,0.25916467614357813,Confidence,11.0
var_collapse,low,tinyimagenet,0.25916467614357813,ViM,12.5
var_collapse,low,tinyimagenet,0.25916467614357813,CTM,12.5
var_collapse,low,tinyimagenet,0.25916467614357813,fDBD,13.5
var_collapse,low,tinyimagenet,0.25916467614357813,REN,16.0
var_collapse,low,tinyimagenet,0.25916467614357813,PE,17.5
var_collapse,low,tinyimagenet,0.25916467614357813,GEN,18.0
var_collapse,low,tinyimagenet,0.25916467614357813,PCE,18.5
var_collapse,low,tinyimagenet,0.25916467614357813,MSR,20.0
var_collapse,low,tinyimagenet,0.25916467614357813,Maha,21.0
var_collapse,low,tinyimagenet,0.25916467614357813,Residual,22.0
var_collapse,low,isun,0.40957509267432773,CTM,3.7142857142857144
