nc_metric,bin,ood_set,clip_fid,n_models,n_methods_input,n_methods_used,n_blocks_used,friedman_stat,friedman_p,significant,top_clique,top_clique_size
var_collapse,low,cifar100,0.19080717366812822,10,22,22,5,102.72332015810281,9.489618747091272e-13,True,CTM,1
var_collapse,low,cifar10,0.2171741844853313,14,22,22,7,108.56070016939589,8.564784277707032e-14,True,"CTM, CTMmean, CTMmeanOC, GEN, MSR, NNGuide, PCE, REN, fDBD",9
var_collapse,low,tinyimagenet,0.25916467614357813,4,22,22,2,34.69565217391303,0.030483393794349674,True,"CTMmean, CTMmeanOC, Confidence, Energy, GE, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PCA RecError global, pNML",12
var_collapse,low,isun,0.40957509267432773,14,22,22,7,93.79616036137782,3.544883841307436e-11,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
var_collapse,low,lsun resize,0.44339047660145725,14,22,22,7,93.03049124788254,4.818379940096161e-11,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, fDBD",6
var_collapse,low,lsun cropped,0.452894850417105,14,22,22,7,85.77357425183516,8.561616636341704e-10,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, NNGuide, fDBD",6
var_collapse,low,places365,0.5321273594354652,14,22,22,7,118.60926030491248,1.2839964183650544e-15,True,"CTM, GEN, NNGuide, REN, fDBD",5
var_collapse,low,textures,0.5468303877588535,14,22,22,7,109.23150762281205,6.48530348798329e-14,True,"CTM, CTMmean, CTMmeanOC, fDBD",4
var_collapse,low,svhn,0.6846676149471842,14,22,22,7,125.85940146809719,5.94921726390512e-17,True,"CTM, CTMmean, CTMmeanOC, fDBD",4
var_collapse,mid,cifar10,0.2171741844853313,12,22,22,6,97.399209486166,8.296707165324111e-12,True,"GEN, MSR, PCE, REN",4
var_collapse,mid,tinyimagenet,0.25916467614357813,12,22,22,6,43.217391304347814,0.002948629618418596,True,"CTM, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, pNML",8
var_collapse,mid,isun,0.40957509267432773,12,22,22,6,38.545454545454504,0.011116259040237568,True,"CTM, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, ViM, fDBD, pNML",10
var_collapse,mid,lsun resize,0.44339047660145725,12,22,22,6,50.996047430830004,0.0002647067192500765,True,"CTM, Energy, GE, KPCA RecError global, MLS, NNGuide, NeCo, ViM, pNML",9
var_collapse,mid,lsun cropped,0.452894850417105,12,22,22,6,89.86561264822132,1.7023166832479732e-10,True,"Energy, GradNorm, KPCA RecError global, MLS, NeCo",5
var_collapse,mid,places365,0.5321273594354652,12,22,22,6,85.26482213438732,1.0451361722731917e-09,True,"GEN, REN, fDBD",3
var_collapse,mid,textures,0.5468303877588535,12,22,22,6,99.05928853754938,4.231474543894223e-12,True,"CTM, CTMmean, CTMmeanOC, KPCA RecError global, ViM, fDBD",6
var_collapse,mid,svhn,0.6846676149471842,12,22,22,6,76.395256916996,3.2033011330701475e-08,True,"CTM, CTMmean, GEN, KPCA RecError global, REN, ViM, fDBD",7
var_collapse,high,cifar100,0.19080717366812822,10,22,22,5,103.2640316205534,7.603381454975543e-13,True,"NNGuide, NeCo",2
var_collapse,high,cifar10,0.2171741844853313,4,22,22,2,37.162055335968375,0.016127064784324345,True,"Confidence, Energy, GEN, GradNorm, MSR, PCE, REN",7
var_collapse,high,tinyimagenet,0.25916467614357813,14,22,22,7,86.6544325239978,6.05709900732507e-10,True,"Energy, GradNorm, NNGuide",3
var_collapse,high,isun,0.40957509267432773,14,22,22,7,85.87521174477695,8.226880683167606e-10,True,"Energy, NNGuide",2
var_collapse,high,lsun resize,0.44339047660145725,14,22,22,7,90.42857142857144,1.3610765941361815e-10,True,"Energy, GradNorm, MLS, NNGuide, NeCo",5
var_collapse,high,lsun cropped,0.452894850417105,14,22,22,7,113.31733483907396,1.183280579733355e-14,True,"CTM, Energy, NNGuide",3
var_collapse,high,places365,0.5321273594354652,14,22,22,7,89.58836815358563,1.9003447808794494e-10,True,"Energy, GradNorm, NNGuide, NeCo",4
var_collapse,high,textures,0.5468303877588535,14,22,22,7,84.18125352907964,1.5965895023906192e-09,True,"CTM, MLS, NNGuide, NeCo",4
var_collapse,high,svhn,0.6846676149471842,14,22,22,7,34.08752117447773,0.03546517548163701,True,"CTM, Energy, GE, GEN, GradNorm, KPCA RecError global, MLS, NNGuide, NeCo, PCE, PE, REN",12
cdnv_score,low,cifar100,0.19080717366812822,10,22,22,5,103.2640316205534,7.603381454975543e-13,True,"NNGuide, NeCo",2
cdnv_score,low,cifar10,0.2171741844853313,4,22,22,2,37.162055335968375,0.016127064784324345,True,"Confidence, Energy, GEN, GradNorm, MSR, PCE, REN",7
cdnv_score,low,tinyimagenet,0.25916467614357813,14,22,22,7,86.6544325239978,6.05709900732507e-10,True,"Energy, GradNorm, NNGuide",3
cdnv_score,low,isun,0.40957509267432773,14,22,22,7,85.87521174477695,8.226880683167606e-10,True,"Energy, NNGuide",2
cdnv_score,low,lsun resize,0.44339047660145725,14,22,22,7,90.42857142857144,1.3610765941361815e-10,True,"Energy, GradNorm, MLS, NNGuide, NeCo",5
cdnv_score,low,lsun cropped,0.452894850417105,14,22,22,7,113.31733483907396,1.183280579733355e-14,True,"CTM, Energy, NNGuide",3
