nc_metric,bin,method,avg_rank
var_collapse,low,CTMmeanOC,3.7142857142857144
var_collapse,low,CTMmean,3.857142857142857
var_collapse,low,CTM,4.428571428571429
var_collapse,low,NNGuide,4.857142857142857
var_collapse,low,fDBD,5.285714285714286
var_collapse,low,REN,8.428571428571429
var_collapse,low,KPCA RecError global,8.857142857142858
var_collapse,low,Confidence,9.714285714285714
var_collapse,low,GEN,9.857142857142858
var_collapse,low,MLS,10.428571428571429
var_collapse,low,NeCo,10.571428571428571
var_collapse,low,Energy,12.0
var_collapse,low,PCE,12.428571428571429
var_collapse,low,MSR,12.571428571428571
var_collapse,low,GE,12.857142857142858
var_collapse,low,PE,13.857142857142858
var_collapse,low,ViM,15.857142857142858
var_collapse,low,GradNorm,16.142857142857142
var_collapse,low,PCA RecError global,16.571428571428573
var_collapse,low,pNML,17.714285714285715
var_collapse,low,Maha,21.0
var_collapse,low,Residual,22.0
var_collapse,mid,fDBD,3.1666666666666665
var_collapse,mid,KPCA RecError global,5.333333333333333
var_collapse,mid,CTM,6.0
var_collapse,mid,Energy,6.333333333333333
var_collapse,mid,NeCo,6.666666666666667
var_collapse,mid,NNGuide,6.666666666666667
var_collapse,mid,CTMmean,7.0
var_collapse,mid,CTMmeanOC,7.833333333333333
var_collapse,mid,MLS,8.0
var_collapse,mid,REN,10.5
var_collapse,mid,GE,11.0
var_collapse,mid,pNML,11.166666666666666
var_collapse,mid,ViM,12.333333333333334
var_collapse,mid,PE,12.833333333333334
var_collapse,mid,GEN,14.166666666666666
var_collapse,mid,PCE,15.166666666666666
var_collapse,mid,GradNorm,15.666666666666666
var_collapse,mid,PCA RecError global,17.166666666666668
var_collapse,mid,Confidence,17.166666666666668
var_collapse,mid,MSR,17.5
var_collapse,mid,Residual,20.166666666666668
var_collapse,mid,Maha,21.166666666666668
var_collapse,high,Energy,1.5714285714285714
var_collapse,high,NNGuide,4.428571428571429
var_collapse,high,GradNorm,6.428571428571429
var_collapse,high,NeCo,6.571428571428571
var_collapse,high,MLS,7.571428571428571
var_collapse,high,CTM,8.285714285714286
var_collapse,high,PE,8.428571428571429
var_collapse,high,GE,8.857142857142858
var_collapse,high,PCE,9.428571428571429
var_collapse,high,MSR,10.857142857142858
var_collapse,high,Confidence,11.142857142857142
var_collapse,high,KPCA RecError global,11.428571428571429
var_collapse,high,GEN,11.714285714285714
var_collapse,high,CTMmeanOC,11.714285714285714
var_collapse,high,CTMmean,12.285714285714286
