nc_metric,bin,n_models,n_methods_input,n_methods_used,n_blocks_used,friedman_stat,friedman_p,significant,top_clique,top_clique_size
var_collapse,low,18,22,22,7,130.77188029361946,7.293339382645378e-18,True,"CTM, CTMmean, CTMmeanOC, fDBD",4
var_collapse,mid,27,22,22,6,66.30039525691694,1.359531695996123e-06,True,"CTM, CTMmeanOC, Confidence, NNGuide, PE, fDBD",6
var_collapse,high,30,22,22,7,63.89440993788821,3.2305886063059424e-06,True,"CTM, Energy, GE, MLS, Maha, ViM",6
cdnv_score,low,33,22,22,7,74.04460756634671,7.785785238345944e-08,True,"CTM, Confidence, Energy, ViM",4
cdnv_score,mid,20,22,22,6,37.019762845849755,0.01674636630274413,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, Maha, NNGuide, NeCo, PCE, PE, REN, ViM, fDBD",15
cdnv_score,high,22,22,22,7,120.25578769057029,6.409471658426334e-16,True,"CTMmean, CTMmeanOC, fDBD",3
bias_collapse,low,29,22,22,7,83.87634105025415,1.7982956556148413e-09,True,"CTM, Confidence, NNGuide, PE",4
bias_collapse,mid,18,22,22,6,39.343873517786506,0.008927024464040065,True,"CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, NNGuide, REN, ViM, fDBD",9
bias_collapse,high,28,22,22,7,62.200451722190905,5.898723304029422e-06,True,"CTM, CTMmean, CTMmeanOC, NNGuide, PE, REN, fDBD",7
equiangular_uc,low,29,22,22,7,84.14737436476571,1.6178440338342301e-09,True,"CTM, Confidence, NNGuide",3
equiangular_uc,mid,18,22,22,6,33.37549407114619,0.0422157615361913,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, REN, ViM, fDBD",11
equiangular_uc,high,28,22,22,7,77.06662902315077,2.4817622417428973e-08,True,"CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD",6
equiangular_wc,low,19,22,22,7,107.46301524562398,1.3490911038013657e-13,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
equiangular_wc,mid,26,22,22,6,74.40316205533594,6.80318998099144e-08,True,"CTM, CTMmean, CTMmeanOC, Confidence, NNGuide, PCE, PE, REN, fDBD",9
equiangular_wc,high,30,22,22,7,70.3517786561265,3.085763869142375e-07,True,"CTM, Maha, ViM",3
equinorm_uc,low,33,22,22,7,73.44833427442131,9.739529407154636e-08,True,"CTM, Confidence, Energy, ViM",4
equinorm_uc,mid,18,22,22,6,35.50988142292488,0.02480262241860225,True,"CTM, CTMmean, CTMmeanOC, Energy, KPCA RecError global, NNGuide, REN, ViM, fDBD",9
equinorm_uc,high,24,22,22,7,118.67701863354046,1.2478470834758942e-15,True,"CTMmean, CTMmeanOC, NNGuide, fDBD",4
equinorm_wc,low,29,22,22,7,84.2490118577075,1.5549077412330655e-09,True,"CTM, NNGuide, PE",3
equinorm_wc,mid,20,22,22,6,39.51778656126481,0.008506918095452006,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, Maha, REN, ViM, fDBD, pNML",11
equinorm_wc,high,26,22,22,7,88.52456239412766,2.8964511124787357e-10,True,"CTM, CTMmean, CTMmeanOC, NNGuide, fDBD",5
max_equiangular_uc,low,29,22,22,7,84.08639186900064,1.6568117246652254e-09,True,"CTM, Confidence, NNGuide",3
max_equiangular_uc,mid,18,22,22,6,33.841897233201564,0.037676157888428895,True,"CTM, CTMmean, CTMmeanOC, Energy, GE, KPCA RecError global, MLS, NNGuide, REN, ViM, fDBD",11
max_equiangular_uc,high,28,22,22,7,77.06662902315077,2.4817622417428973e-08,True,"CTM, CTMmean, CTMmeanOC, NNGuide, REN, fDBD",6
max_equiangular_wc,low,23,22,22,7,89.72388481084135,1.8008451307082297e-10,True,"CTM, NNGuide",2
