base,variant,mean_diff,median_diff,std_diff,n_better,n_worse,n_tied,n_total,p_value,significant,backbone
CTM,CTM global,0.3428219313289053,0.20505838704340817,1.7990106517453657,70,18,0,88,2.2656668990163367e-07,True,Conv
CTM,CTM class,-0.7052172442960511,-0.6256588607364932,1.215323829644698,16,64,0,80,6.56700501313842e-07,True,Conv
CTM,CTM class pred,-0.6701345309840039,-0.4932135941584903,1.1312832247394842,15,73,0,88,5.6380390273875356e-08,True,Conv
CTM,CTM class avg,0.3642559858569547,0.14334114727789427,3.125341242548988,46,42,0,88,0.591440052580871,False,Conv
CTMmean,CTMmean global,0.35941072237998706,0.298470873880305,0.6320416364346138,60,20,0,80,8.402150866837891e-07,True,Conv
CTMmean,CTMmean class,-1.2109626223539782,-1.07910570205172,0.8195460808667532,6,82,0,88,1.5587502611048382e-15,True,Conv
CTMmean,CTMmean class pred,-1.2184487228328622,-1.0750188311359068,0.8057690384068511,5,83,0,88,1.2731705307823173e-15,True,Conv
CTMmean,CTMmean class avg,0.44354018093047964,0.4080133604804388,1.2280742992173055,49,31,0,80,0.005818019585192073,True,Conv
fDBD,fDBD global,0.20493926558726386,0.1886888835952618,0.8821195686786956,67,29,0,96,0.0010323049213487644,True,Conv
fDBD,fDBD class pred,-0.6892100823535642,-0.33263757155522455,2.40122791600458,37,51,0,88,0.015101335310783656,True,Conv
fDBD,fDBD class avg,-0.6315141817852219,-0.50922118269186,2.875551476556249,39,49,0,88,0.12572123694843695,False,Conv
GradNorm,GradNorm global,0.6068732404296194,0.1386444689275379,1.4611630679550751,60,36,0,96,0.0011895513696812308,True,Conv
GradNorm,GradNorm class pred,1.1299299825607874,0.2812064245817538,2.733188096231548,67,21,0,88,8.072094194841637e-09,True,Conv
GradNorm,GradNorm class avg,-8.12273914668997,-5.355330481029341,8.508604088717043,8,72,0,80,1.351699800901272e-12,True,Conv
KPCA RecError global,KPCA RecError class,-0.5093696044909453,-0.457102026126492,6.308380779980104,30,34,0,64,0.4031897339336439,False,Conv
KPCA RecError global,KPCA RecError class pred,0.7398801362928056,0.3287755243354411,5.2710556557502555,38,34,0,72,0.2991940380145567,False,Conv
KPCA RecError global,KPCA RecError class avg,-161.88830983806346,-158.6090398032496,36.82633126558163,0,24,0,24,1.1920928955078125e-07,True,Conv
PCA RecError global,PCA RecError class,37.41832931620408,43.023286895955536,21.364597563445383,32,0,0,32,4.656612873077393e-10,True,Conv
PCA RecError global,PCA RecError class pred,38.64286115615323,44.91178521096289,22.036938156961273,32,0,0,32,4.656612873077393e-10,True,Conv
PCA RecError global,PCA RecError class avg,-116.1107963258648,-119.64681009481077,41.617415652746324,0,40,0,40,1.8189894035458565e-12,True,Conv
Energy,Energy global,0.006664100157547963,-0.0013991791333438641,0.1998409017582768,47,49,0,96,0.8550212214541975,False,Conv
Energy,Energy class,-1.39713729467396,-0.6752948320368404,2.0086043006538823,10,86,0,96,5.453725620260186e-14,True,Conv
Energy,Energy class pred,-0.2141485094048332,0.05090551583624858,1.1046877068138998,54,42,0,96,1.0,False,Conv
Energy,Energy class avg,-5.505552388843533,-4.49549172463297,4.617157338079088,3,45,0,48,3.2233060665021185e-10,True,Conv
MLS,MLS global,0.013529730532595282,0.0007971492971847738,0.15398784587239897,49,47,0,96,0.6984919728197467,False,Conv
MLS,MLS class,-0.7975814231780013,-0.36862202534726407,1.2055165551417877,18,78,0,96,2.052143667752239e-12,True,Conv
MLS,MLS class pred,-0.7842257720452405,-0.3469094609207275,1.1698146464848063,16,80,0,96,7.315121595629241e-13,True,Conv
MLS,MLS class avg,-4.2340952090528985,-3.2890174288363596,4.452182586390692,7,49,0,56,5.0673066466545484e-08,True,Conv
MSR,MSR global,0.0742325952471526,0.043092127626465526,0.17545456803632206,63,33,0,96,1.9067143834984995e-05,True,Conv
MSR,MSR class,0.07313160323434253,0.03176468044757996,0.9172099735169342,48,40,0,88,0.08801723803296393,False,Conv
MSR,MSR class pred,-1.3260082238680977,-1.0104611345081622,1.3313201203460878,12,68,0,80,1.059971539973373e-12,True,Conv
MSR,MSR class avg,-2.2956605270715555,-1.422552463278791,3.8843592742763655,22,42,0,64,5.362173850915464e-05,True,Conv
GEN,GEN global,0.07232933723823691,0.07861490608527788,0.2012796646806754,68,28,0,96,1.3929117436396909e-05,True,Conv
GEN,GEN class,0.06453362673648012,0.19597905375978542,1.4984196289838378,60,28,0,88,0.023861956860084167,True,Conv
GEN,GEN class pred,-1.3557975319249271,-1.26948557512128,0.9782725362911603,3,69,0,72,1.1602980130584688e-12,True,Conv
