dataset,method,calibration,model,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound
val,CTM,Sigmoid,modelvit,do0,rew0,0,0.034086154507151536,0.0030186656922386677,0.15074582850240195,0.2036106160598622,0.3199352303313528
iid_test,CTM,Sigmoid,modelvit,do0,rew0,0,0.02430437415981776,0.0013897248736381904,0.11396523016016921,0.20983312650094468,0.32944524233921857
ood_sncs_c10,CTM,Sigmoid,modelvit,do0,rew0,0,0.2587390510018965,0.07532505474881945,0.39042113283154767,0.3704207754118871,0.48060542451322114
ood_nsncs_svhn,CTM,Sigmoid,modelvit,do0,rew0,0,0.308218722457348,0.12205343576421605,0.5322922197396912,0.36239585748524533,0.4314510320740009
ood_nsncs_ti,CTM,Sigmoid,modelvit,do0,rew0,0,0.16938556767690258,0.04283299913116024,0.3554188739894822,0.28063166361678554,0.3669644588939827
ood_nsncs_lsun_cropped,CTM,Sigmoid,modelvit,do0,rew0,0,0.17477019207620373,0.04433625677300859,0.34206813161130295,0.28166550411727664,0.36754077239412286
ood_nsncs_lsun_resize,CTM,Sigmoid,modelvit,do0,rew0,0,0.1923722188284425,0.051800355324662394,0.37164732664597594,0.3040539432384332,0.39870271572323207
ood_nsncs_isun,CTM,Sigmoid,modelvit,do0,rew0,0,0.194309124717402,0.050838368567902165,0.3568217809913196,0.3133338371237683,0.41467267082087533
ood_nsncs_textures,CTM,Sigmoid,modelvit,do0,rew0,0,0.15028557685786217,0.036779645021494244,0.32438495158349323,0.29923728354321144,0.40733143364686475
ood_nsncs_places365,CTM,Sigmoid,modelvit,do0,rew0,0,0.1775524673218258,0.047355150656291894,0.35273073252434395,0.2878062410904845,0.3740446354428818
val,CTM,Isotonic,modelvit,do0,rew0,0,0.0442050165884166,0.005846350159065314,0.5,0.2014467725987969,0.322173835656206
iid_test,CTM,Isotonic,modelvit,do0,rew0,0,0.02809340061453652,0.002473010342870379,0.24220151165194392,0.20742328003282737,0.33148997970219735
ood_sncs_c10,CTM,Isotonic,modelvit,do0,rew0,0,0.2558889262532558,0.07277154869302926,0.43901804617521767,0.36644522833968524,0.47866774440902193
ood_nsncs_svhn,CTM,Isotonic,modelvit,do0,rew0,0,0.3007308502562841,0.11717605746167518,0.5596306195492822,0.35831299797294835,0.4265897231200029
ood_nsncs_ti,CTM,Isotonic,modelvit,do0,rew0,0,0.16939777844023618,0.04151787310421597,0.3925849056703236,0.27995880662711936,0.36657014051069525
ood_nsncs_lsun_cropped,CTM,Isotonic,modelvit,do0,rew0,0,0.1706380706262081,0.043361193932727395,0.3799280541270723,0.28119909881309124,0.3670577456019688
ood_nsncs_lsun_resize,CTM,Isotonic,modelvit,do0,rew0,0,0.19293999588586583,0.05088922650229802,0.4109886670494275,0.303501024072749,0.39841019639155023
ood_nsncs_isun,CTM,Isotonic,modelvit,do0,rew0,0,0.19288025988606525,0.04890176713657472,0.4001339295885362,0.3107105911494559,0.4128714941601235
ood_nsncs_textures,CTM,Isotonic,modelvit,do0,rew0,0,0.1471693573628746,0.03427313152013367,0.36347241255935575,0.2944729375387484,0.4049960537034013
ood_nsncs_places365,CTM,Isotonic,modelvit,do0,rew0,0,0.17617863120724658,0.045650773974948176,0.39062652649371,0.2867396593941298,0.3733384862262517
val,CTM,Beta,modelvit,do0,rew0,0,0.034246644130367584,0.00414379846433359,0.9354127158999365,0.20847840092910452,0.3211741257735336
iid_test,CTM,Beta,modelvit,do0,rew0,0,0.01622948207737562,0.0006684163920927859,0.10997867990892085,0.21300866272747715,0.3282765168079676
ood_sncs_c10,CTM,Beta,modelvit,do0,rew0,0,0.2648575789805676,0.07872251635948123,0.4004742901327741,0.3782719881198129,0.48400575546129126
