,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,mce,mce,mce,mce,mce,mce,mce,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound
,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg
,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration
methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD-EMaha,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Isotonic,do1,Sigmoid,do1,12.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid
MCD-Residual,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Isotonic,do1,Sigmoid,do1,15.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid
MCD-EResidual,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,15.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid
MCD-EViM,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,15.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid
MCD-Maha,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,15.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid
MCD-EpNML,do1,Sigmoid,do1,Beta,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid
MCD-NNGuide,do1,Sigmoid,do1,Sigmoid,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Beta
MCD-ENNGuide,do1,Sigmoid,do1,Sigmoid,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Beta
MCD-MSR,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Isotonic,do1,6.0,Beta
