model,drop out,methods,reward,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
modelvit,do1,GEN,rew0,0.0148458206059214,0.38847328122937563,0.523669986127549,0.39671734259852764,0.3905348323522567,0.38657627427898905,0.36973471520657253,0.2680229325953909,0.37897000650895285
modelvit,do1,REN,rew0,0.015039180113789019,0.4209990272391645,0.6051289645135631,0.4262501843481992,0.4366800850401039,0.40645679115068695,0.39218412768813515,0.3143982868352916,0.4195961070675411
modelvit,do1,PE,rew0,0.01510162041112452,0.31715567447944965,0.4004999402871959,0.3262314613969329,0.306549025205491,0.3190541991216273,0.30606721573576323,0.18281875775662024,0.2918212512711327
modelvit,do1,GE,rew0,0.01530041262276556,0.3097485309773596,0.381288275031473,0.3177288894379576,0.29182972744520097,0.312790201558632,0.2991276450166058,0.1710857045064698,0.2813382430275387
modelvit,do1,MSR,rew0,0.015582637842326403,0.3875890430155559,0.5068094803173931,0.39338964510636676,0.3788930887480111,0.38610798105901467,0.36831336986335456,0.2562349717756239,0.3797306588861834
modelvit,do1,PCE,rew0,0.01565972701894986,0.39884467599592244,0.513428774697482,0.40360640646394924,0.38487557537296346,0.39374950796887503,0.37571747538737565,0.2713035704674148,0.3980476322722136
modelvit,do1,NNGuide,rew0,0.01764540775250206,0.33449121582536423,0.40899740037177457,0.33417618671194743,0.3043421788162718,0.325237649230703,0.3130613359329862,0.1945410747881415,0.31290055374848297
modelvit,do1,MLS,rew0,0.01766159736524056,0.33365385957242544,0.41744567778931757,0.3411478891194257,0.31008821541701753,0.3348452470898757,0.31933887189169147,0.20109067109716472,0.3125498623996183
modelvit,do1,CTMmeanOC,rew0,0.01792704511972748,0.34085348981177327,0.3966261566831005,0.33207977210110173,0.3124147187041778,0.3115604321691848,0.3053391102348942,0.19241567757937378,0.3092474212552994
modelvit,do1,CTMmean,rew0,0.01800404888627742,0.3442363062149049,0.4050649235284839,0.33614955135362057,0.3172631350204808,0.31636168218984845,0.3093765204033881,0.19776913925668313,0.31394110003505027
modelvit,do1,NeCo,rew0,0.018186331788147,0.346625680292973,0.45525862025643243,0.3528232108838851,0.33719535713848914,0.3549422033079069,0.33648425602147125,0.21527044884722094,0.3272214921595579
modelvit,do1,fDBD,rew0,0.01827079909437736,0.3207143115870907,0.43400944268066527,0.3251351267353451,0.31825044973221595,0.3188907387862093,0.3072957807193578,0.18833481649008815,0.292087047697034
modelvit,do1,Energy,rew0,0.018319062624047738,0.3550937911619695,0.4484059985143741,0.36167218364602843,0.33265419316942607,0.35919677855556864,0.3410924151795737,0.22135837243977075,0.33912066941779906
modelvit,do1,GradNorm,rew0,0.018796468221481878,0.37379412339105755,0.3370579673832158,0.365961279343883,0.2872669211958137,0.3476288887181735,0.32916867964155455,0.20195217197080811,0.34039984885866326
modelvit,do1,CTM,rew0,0.01887843800410832,0.300566520882371,0.4583710160128593,0.31679675676557906,0.3149357853535494,0.31846622212118325,0.30649189628707074,0.17032095909892897,0.2664430779876267
modelvit,do1,ViM,rew0,0.0196464588778111,0.3321118792667539,0.5504307318384151,0.29790492855697953,0.4208649258848244,0.3539896469473204,0.3307980608674282,0.1554737687803196,0.2505613004828693
modelvit,do1,KPCA RecError global,rew0,0.01986923506034704,0.41005091869585114,0.5117279389508986,0.39934173518809196,0.36599799602151134,0.3813151590506756,0.3659590448131638,0.2692444565692458,0.3919506119085303
modelvit,do1,PCA RecError global,rew0,0.0201523811468688,0.41024873568441056,0.5510444115023658,0.3775726420610409,0.4311353800066585,0.40446313428152747,0.3791893800815389,0.23495690611615133,0.36030089399025145
modelvit,do1,pNML,rew0,0.0201594260969475,0.37530730317350525,0.4910534188794225,0.3052223174811514,0.42039495819361344,0.363623598868862,0.3337579330851168,0.16317884871420477,0.2736632086347631
modelvit,do1,Maha,rew0,0.02039341057728592,0.3399463826836319,0.627365160519361,0.3097048074663774,0.4761791716761089,0.39035020298901707,0.36503568600360603,0.16538017951770514,0.2507436036006952
modelvit,do1,Residual,rew0,0.02055763417301322,0.3357602841228574,0.6067770408428964,0.27365857667953347,0.46775826510694996,0.3690355916773781,0.34075592646105163,0.1372745813330392,0.21653196266048838
modelvit,do1,Confidence,rew0,0.022086666666666678,0.5288205007380571,0.7405449538652107,0.5288205007380571,0.5288205007380571,0.5288205007380571,0.500990257099079,0.39042538495213647,0.5288205007380571
